Glacier Name,ID Code,WGI Code,Mountain Sector,Mountain Group,Glacier Type,Area (km2),Area CGI (km2),Area WGI (km2),Aspect,Year,Region,Has Fragmented
Calderone Superiore,1006,IT4L00A1,APENNINES,Gran Sasso d'Italia,Glacieret,0.01,0.06,0.05,NE,2011,Abruzzo,True
Calderone Inferiore,1006.1,,APENNINES,Gran Sasso d'Italia,Glacieret,0.03,,,NE,2011,Abruzzo,False
Banchi,86,IT4L01503001,GRAIAN ALPS,Gran Paradiso Chain,Glacieret,0.05,,0.34,N,2005,Aosta Valley,False
Tersiva,88,IT4L01505005,GRAIAN ALPS,Emilius-Tersiva Chain,Mountain,0.08,0.11,0.23,N,2005,Aosta Valley,False
Blanchet,91,IT4L01507004,GRAIAN ALPS,Emilius-Tersiva Chain,Mountain,0.11,0.127,0.11,NE,2005,Aosta Valley,False
Arpisson,92,IT4L01507005,GRAIAN ALPS,Emilius-Tersiva Chain,Glacieret,0.03,0.35,0.18,NW,2005,Aosta Valley,True
Arpisson I,92.1,,GRAIAN ALPS,Emilius-Tersiva Chain,Glacieret,0.02,,0.11,NW,2005,Aosta Valley,False
Lac Gelé,93,IT4L01507006,GRAIAN ALPS,Emilius-Tersiva Chain,Glacieret,0.03,,,NW,2005,Aosta Valley,False
Tessonet Sud,95,IT4L01512003,GRAIAN ALPS,Emilius-Tersiva Chain,Mountain,0.26,0.54,0.54,NW,2005,Aosta Valley,False
Lavina,99,IT4L01512009,GRAIAN ALPS,Gran Paradiso Chain,Glacieret,0.02,,0.16,NW,2005,Aosta Valley,False
Lavinetta,100,IT4L01512010,GRAIAN ALPS,Gran Paradiso Chain,Glacieret,0.02,,0.05,NW,2005,Aosta Valley,False
Arolla Nord,101,IT4L01512011,GRAIAN ALPS,Gran Paradiso Chain,Glacieret,0.02,0.5,0.42,NW,2005,Aosta Valley,True
Arolla Sud,101.1,IT4L01512012,GRAIAN ALPS,Gran Paradiso Chain,Mountain,0.19,,,NW,2005,Aosta Valley,False
Sengie Nord,102,IT4L01512013,GRAIAN ALPS,Gran Paradiso Chain,Mountain,0.32,1.0,1.08,NW,2005,Aosta Valley,True
