Mountain Sector, Glacier Name
Maritime Alps - Clapier Maledia Gelas Group, Clapier Glacier
Maritime Alps - Clapier Maledia Gelas Group, Peirabruna Glacier
Maritime Alps - Clapier Maledia Gelas Group, Maledia/Pagari Glacier
Maritime Alps - Clapier Maledia Gelas Group, Murajon Glacier
Maritime Alps - Clapier Maledia Gelas Group, Eastern Gelas/Eastern Murajon Glacier
Maritime Alps - Clapier Maledia Gelas Group, North-eastern Gelas/Lago Bianco Glacier
Maritime Alps - Clapier Maledia Gelas Group, Northern Gelas/Siula Glacier
Maritime Alps - Clapier Maledia Gelas Group, Western Gelas/Maura Glacier
Maritime Alps - Argentera Group, Lourousa Glacier
Maritime Alps - Corborant Tinibras Group, Corborant Glacier
Maritime Alps - Corborant Tinibras Group, Tre Puncias/Schiantala Glacier
Cottian Alps - Monte Viso Group, Vallanta Glacier
Cottian Alps - Monte Viso Group, Caprera Glacier
Cottian Alps - Monte Viso Group, Viso Glacier
Cottian Alps - Monte Viso Group, Coolidge Glacier
Cottian Alps - Ambin Group, Fourneaux Glacier
Cottian Alps - Ambin Group, Vallonnette Glacier
Cottian Alps - Ambin Group, Galambra Glacier
Cottian Alps - Ambin Group, Agnello Glacier
Cottian Alps - Ambin Group, Muttet Glacier
Cottian Alps - Ambin Group, Bard Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Bertà Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Pera Ciaval Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Bessanese Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Pian Gias Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Cimarella Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Sea Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Molinet Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Martellot Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Levanna Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Forno Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Arpiat Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Nel Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Carro Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Losa Glacier
Graian Alps - Rocciamelone Cimarella Levanna Group, Basei Glacier
Graian Alps - Gran Paradiso Group (southern slope), Porta Glacier
Graian Alps - Gran Paradiso Group (southern slope), Eastern Broglio Glacier
Graian Alps - Gran Paradiso Group (southern slope), Dietro il Lago Glacier
Graian Alps - Gran Paradiso Group (southern slope), Ciamosseretto Glacier
Graian Alps - Gran Paradiso Group (southern slope), Goni/Goi Glacier
Graian Alps - Gran Paradiso Group (southern slope), Noaschetta Glacier
Graian Alps - Gran Paradiso Group (southern slope), Gay Glacier
Graian Alps - Gran Paradiso Group (southern slope), Losa Glacier
Graian Alps - Gran Paradiso Group (southern slope), Becchio/Becchi Glacier
Graian Alps - Gran Paradiso Group (southern slope), Roccia Viva Glacier
Graian Alps - Gran Paradiso Group (southern slope), Teleccio Glacier
Graian Alps - Gran Paradiso Group (southern slope), Valsoéra Glacier
Graian Alps - Gran Paradiso Group (southern slope), Guri Glacier
