Mountain Sector,Mountain Group,Glacier Name
MARITIME ALPS,Maritime Alps, Clapier Glacier
MARITIME ALPS,Maritime Alps, Peirabruna Glacier
MARITIME ALPS,Maritime Alps, Maledia/Pagari Glacier
MARITIME ALPS,Maritime Alps, Murajon Glacier
MARITIME ALPS,Maritime Alps, Eastern Gelas/Eastern Murajon Glacier
MARITIME ALPS,Maritime Alps, North-eastern Gelas/Lago Bianco Glacier
MARITIME ALPS,Maritime Alps, Northern Gelas/Siula Glacier
MARITIME ALPS,Maritime Alps, Western Gelas/Maura Glacier
MARITIME ALPS,Maritime Alps, Lourousa Glacier
MARITIME ALPS,Maritime Alps, Corborant Glacier
MARITIME ALPS,Maritime Alps, Tre Puncias/Schiantala Glacier
COTTIAN ALPS,Cottian Alps, Vallanta Glacier
COTTIAN ALPS,Cottian Alps, Caprera Glacier
COTTIAN ALPS,Cottian Alps, Viso Glacier
COTTIAN ALPS,Cottian Alps, Coolidge Glacier
COTTIAN ALPS,Cottian Alps, Fourneaux Glacier
COTTIAN ALPS,Cottian Alps, Vallonnette Glacier
COTTIAN ALPS,Cottian Alps, Galambra Glacier
COTTIAN ALPS,Cottian Alps, Agnello Glacier
COTTIAN ALPS,Cottian Alps, Muttet Glacier
COTTIAN ALPS,Cottian Alps, Bard Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Bertà Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Pera Ciaval Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Bessanese Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Pian Gias Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Cimarella Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Sea Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Molinet Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Martellot Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Levanna Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Forno Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Arpiat Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Nel Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Carro Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Losa Glacier
GRAIAN ALPS,Rocciamelone-Charbonnel Chain, Basei Glacier
GRAIAN ALPS,Gran Paradiso Chain, Porta Glacier
GRAIAN ALPS,Gran Paradiso Chain, Eastern Broglio Glacier
GRAIAN ALPS,Gran Paradiso Chain, Dietro il Lago Glacier
GRAIAN ALPS,Gran Paradiso Chain, Ciamosseretto Glacier
GRAIAN ALPS,Gran Paradiso Chain, Goni/Goi Glacier
GRAIAN ALPS,Gran Paradiso Chain, Noaschetta Glacier
GRAIAN ALPS,Gran Paradiso Chain, Gay Glacier
GRAIAN ALPS,Gran Paradiso Chain, Losa Glacier
GRAIAN ALPS,Gran Paradiso Chain, Becchio/Becchi Glacier
GRAIAN ALPS,Gran Paradiso Chain, Roccia Viva Glacier
GRAIAN ALPS,Gran Paradiso Chain, Teleccio Glacier
GRAIAN ALPS,Gran Paradiso Chain, Valsoéra Glacier
GRAIAN ALPS,Gran Paradiso Chain, Guri Glacier
GRAIAN ALPS,Gran Paradiso Chain, Ciardoney Glacier
GRAIAN ALPS,Gran Paradiso Chain, Southern Sengie Glacier
GRAIAN ALPS,Emilius-Tersiva Chain, Rosa dei Banchi Glacier
GRAIAN ALPS,Emilius-Tersiva Chain, M. Glacier Glacier
GRAIAN ALPS,Emilius-Tersiva Chain, Tessonet Glacier
GRAIAN ALPS,Emilius-Tersiva Chain, Laures Glacier
GRAIAN ALPS,Emilius-Tersiva Chain, Blancheti Glacier
GRAIAN ALPS,Emilius-Tersiva Chain, d'Arpisson Glacier
GRAIAN ALPS,Emilius-Tersiva Chain, Lussert Glacier
GRAIAN ALPS,Emilius-Tersiva Chain, Dorères/Southern Tessonet/Tersiva Glacier
GRAIAN ALPS,Emilius-Tersiva Chain, Pene Blanche Glacier
GRAIAN ALPS,Gran Paradiso Chain, Peradza/Peratzà Glacier
GRAIAN ALPS,Gran Paradiso Chain, Acquarossa (Eaux-Rouges) Glacier
GRAIAN ALPS,Gran Paradiso Chain, Northern Lavina Glacier
GRAIAN ALPS,Gran Paradiso Chain, Southern Lavina Glacier
