Glacier Name,ID Code,WGI Code,Mountain Sector,Mountain Catchment,Glacier Type,Area (km2),Area CGI (km2),Area WGI (km2),Aspect,Year,Notes
Banchi,86,IT4L01503001,GRAIE-Gran Paradiso - Rosa dei Banchi,PO-Dora Baltea- Ayasse,Glacionevato / Glacieret,0.05,,0.34,N,2005,"Nel catasto CGI è denominato anche Rosa dei Banchi; nel catasto CGI non è riportata la superficie / In the CGI inventory it is also named ""Rosa dei Banchi"" and the area value was not reported"
Tersiva,88,IT4L01505005,GRAIE-Gran Paradiso - Emilius Tersiva,PO-Dora Baltea - Clavalité,Montano / Mountain,0.08,0.11,0.23,N,2005,"Ampia copertura detritica; nel catasto CGI l'area riportata dubitativamente / Largely debris-covered; in the CGI inventory the area value was reported as ""uncertain"""
Blanchet,91,IT4L01507004,GRAIE-Gran Paradiso Emilius Tersiva,PO-Dora Baltea - Laures,Montano / Mountain,0.11,0.127,0.11,NE,2005,"Ampia copertura detritica; nel catasto CGI e nel WGI comprende Arpisson (92.1) / Largely debris-covered, in the CGI inventory and in the WGl it includes the Arpisson Glacier (92.1)"
Arpisson,92,IT4L01507005,GRAIE-Gran Paradiso - Emilius Tersiva,PO-Dora Baltea - Arpisson,Glacionevato / Glacieret,0.03,0.35,0.18,NW,2005,"Ampia copertura detritica; nel catasto CGI e nel WGI é compreso in Arpisson (92) / Largely debris-covered; in the CGI inventory and in the WGl it is included in the Arpisson Glacier (92)"
Arpisson I,92.1,,GRAIE Gran Paradiso Emilius Tersiva,PO-Dora Baltea- Arpisson,Glacionevato / Glacieret,0.02,,0.11,NW,2005,"Ampia copertura detritica; nel catasto CGI e nel WGI é compreso in Arpisson (92) / Largely debris-covered; in the CGI inventory and in the WGl it is included in the Arpisson Glacier (92)"
Lac Gelé,93,IT4L01507006,GRAIE Gran Paradiso Emilius Tersiva,PO-Dora Baltea - Comboè,Glacionevato / Glacieret,0.03,0.20?,,NW,2005,"Completa copertura detritica; nel catasto CGI l'area riportata dubitativamente / Totally debris-covered; in the CGI inventory the area value was reported as ""uncertain"""
Tessonet Sud,95,IT4L01512003,GRAIE-Gran Paradiso Emilius Tersiva,PO-Dora Baltea - Grand Eyvia,Montano / Mountain,0.26,0.54,0.54,NW,2005,
Lavina,99,IT4L01512009,GRAIE-Gran Paradiso Gran Paradiso,PO-Dora Baltea - Grand Eyvia,Glacionevato / Glacieret,0.02,0.18?,0.16,NW,2005,"Completa copertura detritica; nel catasto CGI l'area è riportata dubitativamente / Totally debris-covered; in the CGI inventory the area value was reported as ""uncertain"""
Lavinetta,100,IT4L01512010,GRAIE-Gran Paradiso - Gran Paradiso,PO-Dora Baltea- Grand Eyvia,Glacionevato / Glacieret,0.02,,0.05,NW,2005,"Completa copertura detritica; nel catasto CGI è classificato come estinto / Totally debris-covered; in the CGI inventory it is labelled as ""extinct"""
Arolla Nord,101,IT4L01512011,GRAIE-Gran Paradiso - Gran Paradiso,PO-Dora Baltea- Grand Eyvia PO-Dora Baltea - Grand Eyvia,Glacionevato / Glacieret,0.02,0.50,0.42,NW,2005,"Nel catasto CGI forma un unico apparato con Arolla Sud (101.1), con il nome di Arolla, area totale 0,50. Anche nel WGl è indicato come unitario (area totale 0,42) / In the CGI inventory it is considered part of the Arolla Sud Glacier (101.1, total area 0.50) and it is named Arolla; in the WGl it is indicated as part of the Arolla Sud Glacier as well (101.1, total area 0.42)"
