Glacier Name,ID Code,WGI Code,Mountain Sector,Mountain Group,Mountain Catchment,Glacier Type,Area (km2),Area CGI (km2),Area WGI (km2),Aspect,Year,Notes
Pizzo Quadro Nord,364,IT4L01113002,LEPONTINE ALPS,Adula Alps,PO-Adda-Mera-,Glacieret,0.03,0.25,0.15,NE,2007,Copertura detritica quasi completa / Almost totally debris-covered
Pizzo Ferrè,365,IT4L01113003,LEPONTINE ALPS,Adula Alps,PO-Adda-Mera-,Mountain,0.56,0.90,0.79,NE,2007,
Passo Zoccone,368,IT4L01113005,LEPONTINE ALPS,Adula Alps,PO-Adda-Mera -,Glacieret,0.05,0.10,0.14,NE,2007,Copertura detritica quasi completa / Almost totally debris-covered
Pizzo Tambo,369,IT4L01113006,LEPONTINE ALPS,Adula Alps,PO-Adda-Mera -,Mountain,0.09,0:10,0.13,SE,2007,"Nel catasto CGI è denominato Superiore della Spianata del Tambo o del Tambò. Nel catasto CGI e nel WGI comprende Pizzo Tambo 1 (369.1) / In the CGI inventory it is named Superiore della Spianata del Tambò or Tambo Glacier. In the CGI inventory and in the WGI it includes Pizzo Tambo I Glacier (369.1)"
Pizzo Tambo I,369.1,,LEPONTINE ALPS,Adula Alps,PO-Adda-Mera -,Glacieret,0.01,,,SE,2007,Nel catasto CGI e nel WGI è compreso in Pizzo Tambo (369) / In the CGI inventory and in the WGI it is included in Pizzo Tambò Glacier (369)
Suretta Sud,371,IT4L01113007,WESTERN RHAETIAN ALPS,Platta-Unterhalbstein Group,PO-Adda-Mera-,Mountain,0.18,0.25,0.41,SW,2007,
Orsareigis,372,IT4L01113008,WESTERN RHAETIAN ALPS,Platta-Unterhalbstein Group,PO-Adda-Mera -,Glacieret,0.04,0.07,0.13,S,2007,Copertura detritica quasi completa / Almost totally debris-covered
Mortée,373,IT4L01113009,WESTERN RHAETIAN ALPS,Platta-Unterhalbstein Group,,Glacieret,0.07,0.22,0.25,NW,2007,Copertura detritica quasi completa / Almost totally debris-covered
Pizzo Rosso,1002,IT4R01313G12,WESTERN RHAETIAN ALPS,Platta-Unterhalbstein Group,RENO-Reno di Dentro Reno di Lej,Mountain,0.12,0.22,0.19,NW,2007,
Cima di Lago Nord,1003,IT4R01313G13,WESTERN RHAETIAN ALPS,Platta-Unterhalbstein Group,RENO-Reno di Dentro Reno di Lej,Mountain,0.11,0.17,0.14,NW,2007,Nel catasto CGI denominato Pizzo di Lago Nord / In the CGI inventory it is named Pizzo di Lago Nord Glacier
Cima di Lago Ovest,1004,IT4R01313G14,WESTERN RHAETIAN ALPS,Platta-Unterhalbstein Group,RENO-Reno di Dentro -Reno di Lej,Mountain,0.21,0.59,0.47,NW,2007,Nel catasto CGI è denominato Pizzo di Lago Ovest / In the CGI inventory it is named Pizzo di Lago Ovest Glacier
Ponciagna,1005,IT4R01313G1S,WESTERN RHAETIAN ALPS,Platta-Unterhalbstein Group,RENO-Reno di Dentro - Reno di Lej,Mountain,0.36,0.65,0.63,NE,2007,
Sivigia Nord-Est,376,IT4L01111002,WESTERN RHAETIAN ALPS,Bernina Range,POAdda--Mera- Codera,Mountain,0.22,0.15,0.25,W,2007,Nel catasto CGI e nel WGI comprende Sivigia Nord-Est 1 (376.1) / In the CGI inventory and in the WGI it includes Sivigia Nord-Est I Glacier (376.1)
Sivigia Nord-Est I,376.1,,WESTERN RHAETIAN ALPS,Bernina Range,POAdda--Mera - Codera,Mountain,0.06,,,W,2007,Nel catasto CGI e nel WGI è compreso in Sivigia Nord-Est (376) / In the CGI inventory and in the WGI it is included in Stvigia Nord-Est Glacier (376)
Sivigia Sud-Est,377,IT4L01111003,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mera - Codera,Glacieret,0.07,,,NW,2007,Vasta copertura detritica; nel catasto CGI è classificato estinto / Almost totally debris-covered; in the CGI inventory it was labelled as "extinct"
Arnasca Est,378,IT4L01111004,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mera - Codera,Glacieret,0.04,0.07,0.14,NW,2007,
Arnasca Ovest,379,IT4L01111005,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mera Codera,Glacieret,0.07,0.10,0.15,N,2007,Nel catasto CGI e nel WGI comprende Arnasca Ovest I (379.1). Vasta copertura detritica frontale / In the CGI inventory and in the WGI it includes Arnasca Ovest 1 Glacier (379.1). The snout is largely debris-covered
Arnasca Ovest I,379.1,,WESTERN RHAETIAN ALPS,Bernina Range,-,Glacieret,0.01,,,N,2007,Nel catasto CGI e nel WGI è compreso in Arnasca Ovest (379) / In the CGI inventory and in the WGI it is included in Arnasca Ovest Glacier (379)
Spassato Ovest,381,IT4L01111007,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mera Codera,Glacieret,0.03,0.02,0.04,N,2007,Nel catasto CGI è classificato estinto / In the CGI inventory it is labelled as "extinct"
Calvo,383,,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mera- Codera,Glacieret,0.02,0.10,0.04,N,2007,
Cengalo Sud-Est,388,IT4L01104002,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mastno,Mountain,0.12,0.11,0.17,SW,2007,E' quasi frammentato in due unită / It is experiencing a fragmentation in two smaller ice bodies
Passo di Bondo,390,IT4L01104010,WESTERN RHAETIAN ALPS,Bernina Range,POAdda--Masino,Glacieret,0.07,,0.19,SW,2007,Nel catasto CGI è denominato Ovest del Passo / In the CGI inventory it is named Ovest del Passo Glacier
Pizzo del Ferro Ovest,392,IT4L01104012,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino,Glacieret,0.03,0.07,0.13,SW,2007,
Pizzo del Ferro Centrale,393,IT4L01104014,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda,Glacieret,0.03,0.02,0.06,SW,2007,
Zocca Sud,395,IT4L01104016,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino,Glacieret,0.02,0.03,0.09,SE,2007,
Rasica Ovest Inferiore,397,IT4L01104020,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino,Glacieret,0.07,0.06,0.25,SW,2007,Interamente ricoperto da detrito nel WGI comprende Rasica Ovest Superiore (398) / Totally debris-covered in the WGI it includes Rasica Ovest Superiore Glacier (398)
Rasica Ovest Superiore,398,IT4L01104022,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino,Glacieret,0.06,0.09,,W,2007,Nel WGI è compreso in Rasica Ovest Inferiore (397) / In the WGI it is included in Rasica Ovest Inferiore Glacier (397)
Rasica Est,399,IT4L01104023,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino,Glacieret,0.02,0.05,0.13,SW,2007,Nel catasto CGI e nel WGI comprende Rasica Est I (399.1) / In the CGI inventory and in the WGI it includes Rasica Est I Glacier (399.1)
Rasica Est 1,399.1,,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino,Glacieret,0.01,,,SW,2007,Nel catasto CGI e nel WGI è compreso in Rasica Est (399) / In the CGI inventory and in the WGI it is included in Rasica Est Glacier (399)
Pizzo Torrone Ovest,400,IT4L01104025,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino PO-Adda-Masino,Mountain,0.07,0.10,0.15,SW,2007,Vasta copertura detritica / Largely debris-covered
Pizzo Torrone Est,401,IT4L01104026,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masno,Glacieret,0.05,0.08,0.14,S,2007,
Cameraccio Est,403,IT4L01104028,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino,Glacieret,0.01,0.06,0.06,S,2007,Nel catasto CGI è classificato estinto / In the CGI inventory it is labelled as "extinct"
Pioda Sud-Ovest,406,IT4L01104032,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino,Glacieret,0.03,,0.07,W,2007,Nel catasto CGI e nel WGI comprende Pioda Sud-Ovest 1 (406.1) / In the CGI inventory and in the WGI it includes Pioda Sud-Ovest 1 Glacier (406.1)
Pioda Sud-Ovest I,406.1,,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda -Masino,Glacieret,0.01,,,W,2007,Nel catasto CGI e nel WGI compreso in Pioda Sud-Ovest (406) / In the CGI inventory and in the WGI it is included in Pioda Sud-Ovest Glacier (406)
Pioda Sud,407,IT4L01104033,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda- Masino,Mountain,0.18,0.30,0.39,NW,2007,Nel catasto CGI e WGI comprende Pioda Sud 1 (407.1) / In the CGI inventory and in the WGI it includes Pioda Sud I Glacier (407.1)
Pioda Sud I,407.1,,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino,Glacieret,0.01,,,NW,2007,Nel catasto CGI e WGI è compreso in Pioda Sud (407) / In the CGI inventory and in the WGI it is included in Pioda Sud Glacier (407)
Predarossa,408,IT4L01104034,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino,Valley,0.58,0.88,1.00,SW,2007,E' quasi suddiviso in due settori separatı l'inferiore è in gran parte coperto da detrito / It is almost fragmented giving two main parts; the lower one is largely debris-covered
Corna Rossa,409,IT4L01104035,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino,Glacieret,0.05,0.04,0.06,NW,2007,
Corni Bruciati I,409.1,,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino,Glacieret,0.01,,,NW,2007,Vasta copertura detritica; non elencato nel catasto CGI e nel WGI individuato nel catasto regionale SGL (1992) / Largely debris-covered; it is not listed In the CGI inventory and in the WGI; it is described by SGL (1992) regional glacier inventory
Corni Bruciati II,409.2,,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Masino,Glacieret,0.02,,,NW,2007,Non è elencato nel catasto CGI e nel WGI; individuato nel catasto regionale SGL (1992) / It is not listed in the CGI inventory and in the WGI; it is described by SGL (1992) regional inventory
Cassandra Ovest,410,IT4L01122002,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Glacieret,0.02,0.22,0.18,SE,2007,
Cassandra Est,411,IT4L01122003,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Mountain,0.23,0.40,0.47,SE,2007,Non elencato nel catasto CGI individuato nel catasto regionale SGL (1992) / It is not listed in the CGI inventory; it is described by SGL (1992) regional inventory
Cassandra Superiore,411.1,IT4L01122004,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Glacieret,0.03,,,S,2007,
Sassersa,412,IT4101122005,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Glacieret,0.04,0.07,0.11,NE,2007,
Pizzo Rachele,415,IT4L01122008,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Glacieret,0.04,0.05,0.07,NW,2007,Vasta copertura detritica / Largely debris-covered
Ventina,416,IT4L01122009,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda- Mallero,Valley,1.89,2.10,2.26,NE,2007,I due settori che lo formano si stanno separando / It is experiencing a fragmentation in two main parts
Canalone della Vergine,417,IT4L01122010,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda Mallero,Mountain,0.35,0.22,0.38,NE,2007,Abbondante copertura detritica / Largely debris-covered
Pizzo Ventina,418,IT4L01122011,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda- Mallero,Mountain,0.11,0.12,0.16,NE,2007,
Disgrazia,419,IT4L01122012,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda Mallero,Mountain,2.25,2.10,3.23,N,2007,
Punta Baroni,420,IT4L01122013,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Mountain,0.07,0.08,0.09,E,2007,
Passo di Chiareggio,421,IT4L01122014,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda Mallero,Mountain,0.12,0.08,0.25,E,2007,
Sissone,422,IT4L01122015,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda -Mallero,Mountain,0.60,0.60,0.78,E,2007,
Cima di Rosso Sud-Est,423,IT4L01122016,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Mountain,0.06,0.06,0.13,SE,2007,
Cima di Rosso Est,424,IT4L01122017,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Mountain,0.13,0.17,0.17,SE,2007,
Vazzeda,425,IT4L01122018,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Mountain,0.27,0.53,0.40,NE,2007,
Cima di Val Bona Nord,426,IT4L01122019,WESTERN RHAETIAN ALPS,Bernina Range,POAdda--Mallero,Glacieret,0.01,0.03,0.04,NE,2007,
Sassa di Fora,430,IT4L01122023,WESTERN RHAETIAN ALPS,Bernina Range,POAdda--Mallero,Mountain,0.05,0.07,0.10,E,2007,Non elencato nel catasto CGI e nel WGI; individuato da SGL (1992) nel catasto regionale / It is not listed in the CGI inventory and in the WGI; it is described by SGL (1992) regional inventory
Passo delle Tre Mogge,430.1,,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Glacieret,0.02,,,S,2007,
Pizzo delle Tre Mogge,431,IT4L01122025,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Mountain,0.08,0.06,0.11,S,2007,
Scescen Inferiore,432,IT4L01123001,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Mountain,4.78,7.00,6.16,E,2007,Abbondante copertura detritica / Largely debris-covered
Scescen Superiore,433,IT4L01123002,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Mountain,4.92,4.00,5.30,SW,2007,
Marinelli,434,IT4L01123003,WESTERN RHAETIAN ALPS,Bernina Range,PO-Adda-Mallero,Mountain,0.15,,0.30,W,2007,Nel catasto CGI è classificato estinto; a Est si collega con Fellaria Ovest (439) / In the CGI inventory it is labelled as "extinct"; it is connected with Fellaria Ovest Glacier (439)
