Glacier Name,ID Code,WGI Code,Mountain Sector,Mountain Group,Mountain Catchment,Glacier Type,Area (km2),Area CGI (km2),Area WGI (km2),Aspect,Year,Notes
Clapier,1,IT4L01312001,MARITIME ALPS,Maritime Alps,PO-Stura di Demonte- Gesso,Mountain,0.09,0.30,0.19,NE,2010,
Peirabroc,2,IT4L01312002,MARITIME ALPS,Maritime Alps,PO-Stura di Demonte- Gesso,Mountain,0.07,0.10,0.11,E,2010,
Maledia,3,IT4L01312004,MARITIME ALPS,Maritime Alps,PO-Stura di Demonte- Gesso,Glacieret,0.06,0.20,0.11,NE,2010,
Ciafraion (Gelas Nord),5,IT4L01312007,MARITIME ALPS,Maritime Alps,PO-Stura di Demonte- Gesso,Glacieret,0.08,0.05,0.16,N,2010,Nel catasto CGI e nel WGI denominato Ciafraion / In the CGI inventory and in the WGI it is named Ciafraion Glacier
Gelas,6,IT4L01312006,MARITIME ALPS,Maritime Alps,PO-Stura di Demonte- Gesso,Glacieret,0.05,0.20,0.10,N,2010,Nel catasto CGI e nel WGI non è indicata l'area / In the CGI inventory and in the WGI the area is not reported
Lourousa,7,IT4L01312015,MARITIME ALPS,Maritime Alps,PO-Stura di Demonte- Gesso,Glacieret,0.06,2,?,NW,2010,Abbondante copertura detritica / Abundant debris coverage
Vallanta Basso,13,IT4L01482002,COTTIAN ALPS,Cottian Alps,PO-Varaita- Vallanta,Glacieret,0.09,0.15,0.16,NW,2010,Nel catasto CGI I'area è riportata dubitativamente / In the CGI inventory the area value is uncertain
Vallanta Superiore,14,IT4L01482003,COTTIAN ALPS,Cottian Alps,PO Varaita- Vallanta,Glacieret,0.01,0.060,0.05,NW,2010,Abbondante copertura detritica / Abundant debris coverage
Caprera,15,IT4L01482004,COTTIAN ALPS,Cottian Alps,PO Varasta Vallanta,Glacieret,0.05,0.06,0.09,W,2010,
Viso,17,IT4L01482006,COTTIAN ALPS,Cottian Alps,PO-Varaita- Vallanta,Glacieret,0.05,0.81 Vedi note (see  2.Notes 2.),0.08,SE,2010, 2.Copertura detritica quasi completail dato riportato nel catasto CGI è sovrastinmato; si tratta probabilmente di un refuso (valore 0.087) / Almost totally debris-covered; in the CGI inventory the area value is overestimatedit is probably a print error (value 0.087) 2.
Sella,18,IT4L01-482007,COTTIAN ALPS,Cottian Alps,PO-Varnita- Vallanta,Glacieret,0.02,0.04,0.05,SW,2010,
