Glacier Name,ID Code,WGI Code,Mountain Sector,Mountain Catchment,Glacier Type,Area (km2),Area CGI (km2),Area WGI (km2),Aspect,Year,Notes
Fontana Bianca / Weissbrunn,713,IT4L00110103,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Valsura - Lago Verde,Mountain,0.42,0.60,0.75,NE,2008,Include Fontana Bianca 1 (713.1) nel catasto CGI e WGI.
Fontana Bianca 1 / Weissbrunn I,713.1,,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Valsura - Lago Verde,Glacieret,0.01,E,2008,Compreso in Fontana Bianca (713).
Pracupola / Kuppelwies,715,IT4L00110111,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Valsura,Mountain,0.09,0.22,0.23,NE,2008,
Orecchia / Hasenohr,716,IT4L00112101,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima-Quaira,Mountain,0.16,0.46,NW,2008,
Soi / Soy,718,IT4L00112105,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima - So,Mountain,0.41,1.06,0.94,N,2008,
Gioveretto Superiore / Zufritt,719,IT4L00112108,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima - Gioveretto,Mountain,0.07,0.37,0.46,NW,2008,Include Gioveretto Superiore 1 (719.1).
Gioveretto Superiore 1 / Zufritt 1,719.1,IT4L00112110,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima Gioveretto,Mountain,0.07,0.12,NW,2008,Compreso in Gioveretto Superiore (719).
Gioveretto Inferiore Est / Zufritt II,720,,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima - Gioveretto,Glacieret,0.02,NW,2008,Compreso in Gioveretto Superiore (719).
Lorchen (Gioveretto Inf. Ovest),722,IT4L00112111,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima - Gioveretto,Mountain,0.20,0.34,0.43,N,2008,Denominato Gioveretto Inferiore Ovest nel CGI/WGI.
Monache Est / Nonnen,723,IT4L00112112,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima,Mountain,0.19,0.69,0.61,N,2008,Include Monache Est I (723.1) e II (723.2).
Monache Est 1 / Nonnen I,723.1,,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima,Mountain,0.08,NE,2008,Compreso in Monache Est (723).
Monache Est II / Nonnen II,723.2,,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima,Glacieret,0.01,N,2008,Compreso in Monache Est (723).
Monache Ovest / Nonnen III,725,IT4L00112114,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima,Mountain,0.17,0.47,0.42,NW,2008,Compreso in Monache Est (723) nel WGI.
Grames / Gramsen,727,IT4L00112117,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima,Mountain,1.11,1.80,1.27,N,2008,
Serana / Schran,728,IT4L00112120,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima,Mountain,0.85,1.03,1.18,N,2008,
Vedretta Ultima / Ultenmarkt,729,IT4L00112121,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima,Mountain,0.32,0.43,0.46,N,2008,
Vedretta Alta / Hohenferner,730,IT4L00112122,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima,Mountain,1.26,1.79,1.75,N,2008,Include Vedretta Alta 1 (730.1).
Vedretta Alta 1 / Hohenferner I,730.1,,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima,Mountain,0.02,N,2008,Compreso in Vedretta Alta (730).
Forcola / Fkele,731,IT4L00112125,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima,Valley,1.77,2.10,2.52,NE,2008,Unito a Cevedale/Zufall (732) verso Nord.
Cevedale / Zufall,732,IT4L00112126,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima,Valley,3.47,3.39,3.20,NE,2008,Unito a Forcola (731) verso Sud.
Vedretta Lunga / Langenferner,733,IT4L00112128,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima,Valley,1.69,3.06,2.62,NE,2008,Include Vedretta Lunga 1 (733.1). Unito a Cevedale.
Vedretta Lunga 1 / Langenferner I,733.1,,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima,Mountain,0.07,SE,2008,Compreso in Vedretta Lunga (733).
Pozzo / Butzen,735,IT4L00112130,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE -Plima,Mountain,0.05,0.19,E,2008,Classificato come estinto nel catasto CGI.
Sluder / Schluder,741,IT4L00112140,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Plima- Sluder,Glacieret,0.02,0.15,E,2008,Estinto nel CGI. Denominato Schluder per la PAB.
Lasa / Laaser,743,IT4L00112302,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Lasa,Mountain,1.03,1.11,5.05,N,2008,Nel WGI include Lasa 1 (744) per un'area tot di 5.05.
Lasa I (Angelo Basso) / Laaser I,744,,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Lasa,Mountain,3.23,3.35,NE,2008,Denominato Angelo Basso/Angelus nel CGI.
Angelo Alto / Gror Angelus,745,IT4L00112303,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Lasa,Mountain,0.13,0.09,0.16,NE,2008,Denominato Angelo/Gror Angelus per la PAB.
Forno / Ofenwand,746,IT4L00112304,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Lasa,Mountain,0.33,0.32,0.45,NE,2008,
Angelo Piccolo / Kleiner Angelus,749,IT4L00112403,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Solda,Mountain,0.18,0.44,0.45,W,2008,Denominato Zai di Dentro (o Nord) nel CGI.
Zai (Zai di Mezzo) / Zay,750,IT4L00112404,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Solda,Mountain,0.43,0.56,0.72,NW,2008,Denominato Zai di Mezzo nel WGI.
Zai 1 (Zai di Fuori o Sud 1),751,IT4L00112405,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Solda,Mountain,0.29,0.45,0.61,N,2008,Include Zai II (751.1).
Zai II (Zai di Fuori o Sud II),751.1,,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Solda,Glacieret,0.01,E,2008,Compreso in Zai I (751).
Cima Vertana Sud-Ovest / Vertainer,753,IT4L00112406,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Solda,Glacieret,0.02,SW,2008,Estinto nel CGI denominato Cima Vertana nel WGI.
Rosim / Rosim,754,IT4L00112408,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Solda-Rosim,Mountain,0.56,0.61,0.78,NW,2008,Laste
 / Peder,755,IT4L00112409,RETICHE MERIDIONALI - Ortles Cevedale,ADIGE-Solda-Rosim,Mountain,0.09,0.10,0.24,NW,2008,Denominato Peder di Dentro / Peder per la PAB.
