Glacier Name,ID Code,WGI Code,Mountain Sector,Mountain Group,Mountain Catchment,Glacier Type,Area (km2),Area CGI (km2),Area WGI (km2),Aspect,Year,Notes
Corno dei Tre Signori N-E,685,IT4L00102501,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Glacieret,0.06,0.10,0.15,NE,2011,Interamente coperto da detrito. 
Villacorna,686,IT4L00102502,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Mountain,0.10,0.28,0.32,SE,2011,Totalmente coperto da detrito. 
Valpiana,687,IT4L00102503,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Mountain,0.16,0.69,0.56,SE,2011,Include il M. Giumella (687.1) nei catasti CGI e WGI. 
Monte Giumella,687.1,,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Mountain,0.09,,,S,2011,Non elencato singolarmente nei catasti CGI/WGI (compreso in Valpiana). 
Orsi,688,IT4L00102505,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Mountain,0.64,1.12,1.51,SE,2011,
Cadini,689,IT4L00102506,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Mountain,0.15,0.17,0.46,E,2011,
Taviela Sud,690,IT4L00102507,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Mountain,0.07,0.44,0.83,E,2011,Nel CGI denominato Taviela (comprende Taviela Nord). Nel WGI include Taviela Nord. 
Taviela Nord,690.1,IT4L00102508,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Mountain,0.26,,,SE,2011,Compreso nel ghiacciaio Taviela per il CGI e WGI. 
Saline,691,,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Mountain,0.27,0.25,0.46,SE,2011,
Vioz Ovest,692,IT4L00102509,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Glacieret,0.03,0.17,0.34,SE,2011,Comprende Colle Vioz (692.1) nei catasti CGI e WGI. 
Colle Vioz,692.1,,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Glacieret,0.01,,,NE,2011,Compreso in Vioz Ovest. Interamente coperto da detrito. 
Vioz Centrale,693,IT4L00102510,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Glacieret,0.06,0.13,0.29,S,2011,"Nel CGI ha codice unico 693 diviso in due parti settore Ovest attualmente estinto. "
Vallenaia,696,IT4L00102513,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Glacieret,0.08,0.06,0.36,E,2011,Settore inferiore coperto da detrito. 
Vedretta Rossa,697,IT4L00102514,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Mountain,0.76,0.84,1.24,NE,2011,Collegato tramite cresta spartiacque al Forni (Lombardia). 
Venezia,698,IT4L00102515,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Mountain,1.15,1.11,1.71,E,2011,Collegato a NW al ghiacciaio Rosole (Lombardia). 
La Mare,699,IT4L00102516,SOUTHERN RHAETIAN ALPS,Ortler Alps,ADIGE - Noce,Valley,3.52,3.70,4.75,E,2011,Collegato al Cedec (Lombardia) e Cevedale (Alto Adige). Comprende La Mare 1. 
