Glacier Name,ID Code,WGI Code,Mountain Sector,Mountain Catchment,Glacier Type,Area (km2),Area CGI (km2),Area WGI (km2),Aspect,Year,Notes
Popena,936,IT4L00124304,DOLOMITI- Dolomiti Nordorientali - Dolomiti Ampezzane (Cristallo),ADIGE-Isarco- Rienza,Glacionevato Glacieret,0.12,0.17,0.12,N,2009,"Suddiviso in placche di ghiaccio sepolto di difficile individuazione, copertura detritica quasi completa / It is divided into many ice bodies not easily recognizable almost totally debris-covered"
Cristallo,937,IT4L00124302,DOLOMITI- Dolomiti Nordorientali - Dolomiti Ampezzane (Cristallo),ADIGE-Isarco- Rienza,Montano Mountain,0.24,0.35,0.32,N,2009,"Nel WGI viene considerato un solo apparato insieme a Val Zuita (957) / In the WGI the Cristallo and Val Zuita glaciers (957) are considered as a unique glacier"
Cresta Bianca,963,IT4L00124303,DOLOMITI - Dolomiti Nordorientali - Dolomiti Ampezzane (Cristallo),PIAVE-Boite - Felizon,Glacionevato Glacieret,0.08,0.15,0.08,NW,2009,Copertura detritica quasi completa / Almost totally debris-covered
Val dei Cantoni,950.1,IT4L00021002,DOLOMITI- Dolomiti Centromeridionali - Pale di San Martino,PIAVE-Cordevole - Biois,Glacionevato Glacieret,0.03,,0.08,SE,2009,"Non elencato nel catasto CGI; nel WGI è elencato senza nome, suddiviso in placche di ghiaccio sepolto di difficile individuazione, copertura detritica quasi completa / It is not listed in the CGI inventory; no name is reported in the WGL. It is divided into many ice bodies not easily recognizable; almost totally debris-covered"
Valle delle Galline,950.2,IT4L00021003,DOLOMITI - Dolomiti Centromeridionali - Pale di San Martino,PIAVE-Cordevole - Biois,Glacionevato Glacieret,0.03,,0.09,SE,2009,"Non elencato nel catasto CGI, nel WGI è elencato senza nome, suddiviso in placche di ghiaccio sepolto di difficile individuazione, copertura detritica quasi completa / It is not listed in the CGI inventory, in the WGI it is listed without name. It is divided into many ice bodies not easily recognizable; almost totally debris-covered"
Val Strutt,951,IT4L00021004,DOLOMITI - Dolomiti Centromeridionali - Pale di San Martino,PIAVE Cordevole- Biois,Glacionevato Glacieret,0.08,,0.11,NE,2009,Nel catasto CGI è classificato estinto; copertura detritica quasi completa / In the CGI inventory it is is classified as extinct; it is almost totally debris-covered
Ziroccole,952,IT4L00021005,DOLOMITI - Dolomiti Centromeridionali - Pale di San Martino,PIAVE Cordevole - Biois,Glacionevato Glacieret,0.04,,0.05,NE,2009,Abbondante copertura detritica; nel catasto CGI è classificato estinto / Largely debris-covered: in the CGI inventory it is is classified as extinct
Focobon,953,IT4L00021006,DOLOMITI- Dolomiti Centromeridionali - Pale di San Martino,PIAVE-Cordevole - Biois,Glacionevato Glacieret,0.11,,0.10,N,2009,"Non elencato nel catasto CGI, nel WGI é elencato senza nome, suddiviso in placche di ghiaccio sepolto di difficile individuazione, copertura detritica quasi completa / It is not listed in the CGI inventory in the WGI it is listed without name. It is divided into many ice bodies not easily recognizable, almost totally debris-covered"
Passo la Banca,953.1,IT4L00021007,DOLOMITI - Dolomiti Nordoccidentali - Dolomiti di Fassa (Marmolada),PIAVE Cordevole Pettorina,Glacionevato Glacieret,0.03,,0.06,N,2009,"Non elencato nel catasto CGI, nel WGI è elencato senza nome; suddiviso in placche di ghiaccio sepolto di difficile individuazione, copertura detritica quasi completa / It is not listed in the CGI inventory; in the WGI it is listed without name. It is divided into many ice bodies not easily recognizable; almost totally debris-covered"
Ombrettola,954,IT4L00021008,DOLOMITI - Dolomiti Nordoccidentali - Dolomiti di Fassa (Marmolada),PLAVE-Cordevole- Pettorina,Glacionevato Glacieret,0.12,,0.14,N,2009,"Nel catasto CGI è classificato estinto, insieme di almeno due placche di ghiaccio di difficile individuazione ricoperte da detrito. Nel catasto CGI, nel gruppo della Marmolada, è elencato Marmolada Principale (941) con una superficie totale di 3,05, suddiviso fra Veneto (area: 2,06) e Trentino (area: 0,99); anche nel WGI è suddiviso fra Veneto (area: 1,68) e Trentino (area: 0,92). Attualmente, in base al Protocollo d'Intesa del 13 maggio 2002, tutto il ghiacciaio della Marmolada dal punto di vista amministrativo fa parte della Provincia Autonoma di Trento."
