outline_id,glacier_id,latitude,longitude,area_km2
RGI60-03.00001,101659,81.0237,-68.0302,5.123
RGI60-03.00002,101660,81.1403,-68.8844,0.569
RGI60-03.00003,101661,80.9223,-69.1043,3.736
RGI60-03.00004,101662,80.8772,-69.2006,2.259
RGI60-03.00005,101663,80.8687,-69.2585,4.057
RGI60-03.00006,101664,80.8591,-69.1875,0.419
RGI60-03.00007,101665,80.864,-69.3243,3.763
RGI60-03.00008,101666,80.883,-69.3642,1.268
RGI60-03.00009,101667,80.875,-69.4072,0.713
RGI60-03.00010,101668,80.8888,-69.4148,0.476
RGI60-03.00011,101669,80.9788,-69.7834,25.559
RGI60-03.00012,101670,80.9836,-69.9346,4.427
RGI60-03.00013,101671,81.129,-68.7934,6.962
RGI60-03.00014,101672,80.9364,-70.0664,85.034
RGI60-03.00015,101673,80.9374,-69.6664,0.654
RGI60-03.00016,101674,80.927,-69.7046,2.497
RGI60-03.00017,101675,80.9184,-69.7859,1.569
RGI60-03.00018,101676,80.9051,-69.8307,5.399
RGI60-03.00019,101677,80.8941,-69.7787,0.375
RGI60-03.00020,101678,81.0123,-70.181,8.205
RGI60-03.00021,101679,80.9847,-70.2948,6.839
RGI60-03.00022,101680,80.97,-70.1924,1.095
RGI60-03.00023,101681,80.9454,-70.3599,6.957
RGI60-03.00024,101682,81.1391,-68.6974,0.781
RGI60-03.00025,101683,80.9207,-70.3556,2.215
RGI60-03.00026,101684,80.9089,-70.3857,4.614
RGI60-03.00027,101685,80.8792,-70.3778,22.627
RGI60-03.00028,101686,80.9007,-70.6023,1.198
RGI60-03.00029,101687,80.8331,-70.4893,54.007
RGI60-03.00030,101688,80.8829,-70.7461,0.586
RGI60-03.00031,101689,80.8413,-70.8233,6.379
RGI60-03.00032,101690,80.8667,-71.213,77.919
RGI60-03.00033,101691,80.7746,-70.6803,152.763
RGI60-03.00034,101692,80.7576,-71.0625,11.86
RGI60-03.00035,101693,81.1233,-68.5939,16.765
RGI60-03.00036,101694,80.7127,-70.9773,85.949
RGI60-03.00037,101695,80.7117,-71.4217,6.784
RGI60-03.00038,101696,80.6781,-71.4405,19.033
RGI60-03.00039,101697,80.6648,-71.5964,4.707
RGI60-03.00040,101698,80.6475,-71.6501,3.901
RGI60-03.00041,101699,80.6441,-71.4976,1.246
RGI60-03.00042,101700,80.6429,-71.366,18.21
RGI60-03.00043,101701,80.6185,-71.0924,27.38
RGI60-03.00044,101702,80.653,-71.0189,29.368
RGI60-03.00045,101703,80.6571,-70.8151,17.189
RGI60-03.00046,101704,81.109,-68.3905,30.458
RGI60-03.00047,101705,80.6468,-70.681,12.702
RGI60-03.00048,101706,80.6425,-70.5131,38.776
RGI60-03.00049,101707,80.5999,-70.3657,2.411
RGI60-03.00050,101708,80.6107,-70.2387,6.487
RGI60-03.00051,101709,80.5785,-70.3321,15.588
RGI60-03.00052,101710,80.5451,-70.3186,14.55
RGI60-03.00053,101711,80.5282,-70.1377,3.1
RGI60-03.00054,101712,80.5377,-70.0237,10.547
RGI60-03.00055,101713,80.5461,-69.8725,12.329
RGI60-03.00056,101714,80.51,-69.6473,4.595
RGI60-03.00057,101715,81.1431,-68.2765,11.198
RGI60-03.00058,101716,80.489,-69.5135,0.913
RGI60-03.00059,101717,80.4817,-69.4458,1.129
RGI60-03.00060,101718,80.4633,-69.7151,1.206
RGI60-03.00061,101719,80.4495,-69.7614,1.582
RGI60-03.00062,101720,80.4493,-69.6688,5.667
RGI60-03.00063,101721,80.4317,-69.6911,4.316
RGI60-03.00064,101722,80.4109,-69.7655,2.779
RGI60-03.00065,101723,80.5963,-69.9371,51.575
RGI60-03.00066,101724,80.5813,-69.7639,1.356
RGI60-03.00067,101725,80.5983,-69.549,0.67
RGI60-03.00068,101726,81.1689,-68.3349,2.866
RGI60-03.00069,101727,80.6703,-70.1148,78.887
RGI60-03.00070,101728,80.6944,-69.876,15.602
RGI60-03.00071,101729,80.6922,-69.7245,3.495
RGI60-03.00072,101730,80.6985,-69.6356,3.295
RGI60-03.00073,101731,80.7063,-69.563,3.837
RGI60-03.00074,101732,80.7228,-69.6966,18.086
RGI60-03.00075,101733,80.7514,-69.6664,28.253
RGI60-03.00076,101734,80.6597,-69.3044,1.309
RGI60-03.00077,101735,80.6764,-69.2358,4.852
RGI60-03.00078,101736,80.7007,-69.1855,5.08
RGI60-03.00079,101737,81.1773,-68.29,0.496
RGI60-03.00080,101738,80.7107,-69.1325,2.322
RGI60-03.00081,101739,80.7239,-69.1046,1.552
RGI60-03.00082,101740,80.7004,-69.0598,10.668
RGI60-03.00083,101741,80.7356,-69.2057,0.926
RGI60-03.00084,101742,80.7845,-69.5874,7.35
RGI60-03.00085,101743,80.7943,-69.8303,132.457
RGI60-03.00086,101744,80.855,-70.0272,59.269
RGI60-03.00087,101745,80.861,-69.5052,5.094
RGI60-03.00088,101746,80.9235,-71.1949,17.471
RGI60-03.00089,101747,80.9502,-71.2568,25.478
RGI60-03.00090,101748,81.1844,-68.2174,1.761
RGI60-03.00091,101749,80.8885,-71.6568,127.128
RGI60-03.00092,101750,80.9448,-71.7044,16.569
RGI60-03.00093,101751,80.8361,-72.3322,267.736
RGI60-03.00094,101752,80.9209,-72.3385,25.57
RGI60-03.00095,101753,80.9167,-72.6724,87.814
RGI60-03.00096,101754,80.9836,-72.7461,23.206
RGI60-03.00097,101755,81.0199,-72.7058,14.714
RGI60-03.00098,101756,80.9115,-73.0418,482.728
RGI60-03.00099,101757,81.0884,-73.1882,29.122
RGI60-03.00100,101758,80.9259,-73.6727,482.467
RGI60-03.00101,101759,81.2036,-68.2085,0.76
RGI60-03.00102,101760,80.9271,-74.0048,118.022
RGI60-03.00103,101761,80.8774,-74.3377,231.043
RGI60-03.00104,101762,80.8711,-74.648,71.71
RGI60-03.00105,101763,80.9211,-75.2718,6.173
RGI60-03.00106,101764,80.8748,-74.9507,22.213
RGI60-03.00107,101765,80.7933,-74.852,172.473
RGI60-03.00108,101766,80.7189,-74.7935,490.205
RGI60-03.00109,101767,80.7962,-75.763,18.11
RGI60-03.00110,101768,80.7417,-75.6634,50.041
RGI60-03.00111,101769,81.0273,-68.1417,5.722
RGI60-03.00112,101770,81.2197,-67.9662,0.453
RGI60-03.00113,101771,80.5373,-75.3588,999.861
RGI60-03.00114,101772,80.612,-76.5816,80.262
RGI60-03.00115,101773,80.6801,-77.0698,64.862
RGI60-03.00116,101774,80.6352,-77.1237,71.539
RGI60-03.00117,101775,80.6184,-77.3895,18.946
RGI60-03.00118,101776,80.5766,-77.0313,80.105
RGI60-03.00119,101777,80.5978,-77.8001,3.332
RGI60-03.00120,101778,80.5542,-77.5841,5.007
RGI60-03.00121,101779,81.216,-68.1932,0.729
RGI60-03.00122,101780,80.5233,-77.4641,1.879
RGI60-03.00123,101781,80.3547,-76.5299,1594.482
RGI60-03.00124,101782,80.3104,-77.5283,44.725
RGI60-03.00125,101783,80.2852,-77.8486,88.669
RGI60-03.00126,101784,80.3181,-78.1741,38.562
RGI60-03.00127,101785,81.2261,-68.1436,0.646
RGI60-03.00128,101786,80.3877,-78.0753,33.042
RGI60-03.00129,101787,80.3783,-78.4279,41.307
RGI60-03.00130,101788,80.4174,-78.3213,17.552
RGI60-03.00131,101789,80.418,-78.6227,19.124
RGI60-03.00132,101790,80.4419,-77.9895,17.929
RGI60-03.00133,101791,80.4702,-78.2562,19.342
RGI60-03.00134,101792,80.4814,-77.9705,5.136
RGI60-03.00135,101793,80.5188,-78.1394,27.112
RGI60-03.00136,101794,80.2603,-78.4433,362.957
RGI60-03.00137,101795,80.2755,-78.6409,73.206
RGI60-03.00138,101796,81.1828,-68.111,26.355
RGI60-03.00139,101797,80.2842,-79.2045,58.156
RGI60-03.00140,101798,80.1941,-78.8913,304.793
RGI60-03.00141,101799,80.1141,-79.2411,381.988
RGI60-03.00142,101800,80.1903,-79.8198,29.493
RGI60-03.00143,101801,80.1838,-80.1979,47.034
RGI60-03.00144,101802,80.1539,-80.5227,27.838
RGI60-03.00145,101803,80.0945,-80.39,251.081
RGI60-03.00146,101804,80.0418,-80.1935,94.745
RGI60-03.00147,101805,80.0037,-80.3976,23.944
RGI60-03.00148,101806,80.0029,-79.8654,98.736
RGI60-03.00149,101807,81.1682,-67.9874,7.307
RGI60-03.00150,101808,79.9529,-80.1412,38.172
RGI60-03.00151,101809,79.925,-80.086,13.944
RGI60-03.00152,101810,79.9318,-79.817,163.274
RGI60-03.00153,101811,79.8805,-80.4692,10.54
RGI60-03.00154,101812,79.8787,-80.6246,12.751
RGI60-03.00155,101813,79.8762,-80.7728,9.73
RGI60-03.00156,101814,79.8838,-80.8992,0.733
RGI60-03.00157,101815,79.8501,-80.8002,22.93
RGI60-03.00158,101816,79.8609,-81.0804,1.143
RGI60-03.00159,101817,79.8287,-80.8793,19.509
RGI60-03.00160,101818,81.1869,-67.9167,22.64
RGI60-03.00161,101819,79.8085,-80.9162,11.83
RGI60-03.00162,101820,79.7965,-81.1118,9.067
RGI60-03.00163,101821,79.7744,-81.2014,2.177
RGI60-03.00164,101822,79.7758,-81.091,1.202
RGI60-03.00165,101823,79.789,-80.9112,13.511
RGI60-03.00166,101824,79.7766,-80.7463,32.571
RGI60-03.00167,101825,79.7625,-80.6553,10.06
RGI60-03.00168,101826,79.7727,-80.521,6.253
RGI60-03.00169,101827,79.7668,-80.4253,3.582
RGI60-03.00170,101828,81.2202,-67.9059,0.788
RGI60-03.00171,101829,79.818,-80.3153,8.701
RGI60-03.00172,101830,79.8303,-80.4672,12.196
RGI60-03.00173,101831,79.85,-80.4962,14.17
RGI60-03.00174,101832,79.8588,-80.146,36.828
RGI60-03.00175,101833,79.8193,-79.9514,154.181
RGI60-03.00176,101834,79.7584,-79.9639,4.113
RGI60-03.00177,101835,79.7816,-79.8076,2.815
RGI60-03.00178,101836,80.5241,-69.7739,0.579
RGI60-03.00179,101837,79.8079,-79.6552,16.613
RGI60-03.00180,101838,79.8028,-79.4692,42.451
RGI60-03.00181,101839,79.8054,-79.2643,22.692
RGI60-03.00182,101840,79.7779,-79.209,4.081
RGI60-03.00183,101841,79.9435,-78.4826,940.826
RGI60-03.00184,101842,81.2135,-67.7479,25.815
RGI60-03.00185,101843,79.7734,-78.657,10.421
RGI60-03.00186,101844,79.7781,-78.5485,66.743
RGI60-03.00187,101845,79.7548,-78.2935,19.889
RGI60-03.00188,101846,79.8395,-78.0648,195.053
RGI60-03.00189,101847,79.7997,-77.6962,85.199
RGI60-03.00190,101848,79.8451,-77.4449,141.692
RGI60-03.00191,101849,79.7808,-76.5327,770.215
RGI60-03.00192,101850,81.2392,-67.5811,9.301
RGI60-03.00193,101851,79.8334,-75.3294,2.151
RGI60-03.00194,101852,79.8236,-75.3849,0.518
RGI60-03.00195,101853,79.8258,-75.4925,9.683
RGI60-03.00196,101854,79.8058,-75.7155,17.094
RGI60-03.00197,101855,79.7925,-75.9315,12.895
RGI60-03.00198,101856,79.7709,-76.0772,5.745
RGI60-03.00199,101857,79.7634,-76.2323,5.568
RGI60-03.00200,101858,81.0063,-68.1285,2.778
RGI60-03.00201,101859,81.268,-67.5625,0.179
RGI60-03.00202,101860,79.7586,-76.4242,6.512
RGI60-03.00203,101861,79.7182,-76.0718,85.931
RGI60-03.00204,101862,79.7114,-76.4341,42.599
RGI60-03.00205,101863,79.653,-76.5141,14.645
RGI60-03.00206,101864,79.6736,-76.7333,35.709
RGI60-03.00207,101865,79.6021,-76.7798,14.831
RGI60-03.00208,101866,79.6242,-76.6076,17.674
RGI60-03.00209,101867,81.25,-67.4724,2.943
RGI60-03.00210,101868,79.632,-76.3458,20.971
RGI60-03.00211,101869,79.6216,-76.2263,5.658
RGI60-03.00212,101870,79.5953,-76.1772,13.15
RGI60-03.00213,101871,79.6192,-76.0001,24.755
RGI60-03.00214,101872,79.617,-75.8786,5.975
RGI60-03.00215,101873,79.6234,-75.7876,2.8
RGI60-03.00216,101874,79.6538,-75.9658,11.07
RGI60-03.00217,101875,79.6387,-75.7667,40.58
RGI60-03.00218,101876,79.5892,-75.7125,0.489
RGI60-03.00219,101877,79.5894,-75.4114,6.523
RGI60-03.00220,101878,81.2319,-67.4603,0.824
RGI60-03.00221,101879,79.6075,-75.416,3.6
RGI60-03.00222,101880,79.6462,-75.6576,12.428
RGI60-03.00223,101881,79.6786,-75.6438,34.684
RGI60-03.00224,101882,79.6472,-75.4049,2.34
RGI60-03.00225,101883,79.6369,-75.4507,2.629
RGI60-03.00226,101884,79.6214,-75.4392,0.74
RGI60-03.00227,101885,79.6254,-75.398,0.953
RGI60-03.00228,101886,79.677,-75.5477,0.371
RGI60-03.00229,101887,79.6886,-75.503,1.833
RGI60-03.00230,101888,79.7077,-75.53,4.961
RGI60-03.00231,101889,81.2229,-67.4733,1.009
RGI60-03.00232,101890,79.7297,-75.6168,6.756
RGI60-03.00233,101891,79.7239,-75.7287,7.782
RGI60-03.00234,101892,79.7241,-75.8239,4.223
RGI60-03.00235,101893,79.7152,-75.93,13.686
RGI60-03.00236,101894,81.2128,-67.5137,1.5
RGI60-03.00237,101895,79.986,-75.8841,1087.473
RGI60-03.00238,101896,81.1969,-67.5846,1.955
RGI60-03.00239,101897,79.8701,-74.9,0.572
RGI60-03.00240,101898,79.8718,-74.8344,2.848
RGI60-03.00241,101899,79.8721,-74.7808,2.354
RGI60-03.00242,101900,79.9054,-74.8319,4.309
RGI60-03.00243,101901,79.881,-74.5278,3.547
RGI60-03.00244,101902,79.8974,-74.6099,3.65
RGI60-03.00245,101903,81.1833,-67.6182,2.72
RGI60-03.00246,101904,79.9097,-74.723,1.665
RGI60-03.00247,101905,79.9078,-74.5489,2.941
RGI60-03.00248,101906,81.1685,-67.6808,6.405
RGI60-03.00249,101907,79.978,-74.2739,0.686
RGI60-03.00250,101908,81.159,-67.695,0.52
RGI60-03.00251,101909,80.0905,-74.7979,690.159
RGI60-03.00252,101910,79.9435,-73.9655,12.22
RGI60-03.00253,101911,79.9171,-74.0397,11.079
RGI60-03.00254,101912,79.9052,-73.941,1.617
RGI60-03.00255,101913,79.9091,-73.8931,1.396
RGI60-03.00256,101914,79.9261,-73.8037,11.235
RGI60-03.00257,101915,79.9162,-73.6787,2.574
RGI60-03.00258,101916,79.9027,-73.7149,1.404
RGI60-03.00259,101917,79.9061,-73.6145,2.487
RGI60-03.00260,101918,79.944,-73.6676,17.802
RGI60-03.00261,101919,81.1478,-67.8171,2.478
RGI60-03.00262,101920,80.0229,-73.6978,133.934
RGI60-03.00263,101921,79.9143,-73.3614,3.086
RGI60-03.00264,101922,79.921,-73.3025,1.807
RGI60-03.00265,101923,80.017,-73.3846,98.796
RGI60-03.00266,101924,79.945,-73.1354,2.873
RGI60-03.00267,101925,79.927,-73.0919,1.11
RGI60-03.00268,101926,79.936,-72.9694,1.788
RGI60-03.00269,101927,80.005,-73.1264,12.654
RGI60-03.00270,101928,79.9912,-73.2332,0.954
RGI60-03.00271,101929,79.9974,-72.8922,57.861
RGI60-03.00272,101930,81.0066,-68.2223,0.163
RGI60-03.00273,101931,81.1363,-67.9044,3.859
RGI60-03.00274,101932,79.9706,-72.6465,1.858
