outline_id,glacier_id,latitude,longitude,area_km2
RGI60-04.00001,136676,64.0018,-64.7945,0.083
RGI60-04.00002,136677,62.3261,-66.7254,1.486
RGI60-04.00003,136678,62.3006,-66.482,4.507
RGI60-04.00004,136679,62.3411,-66.6866,5.31
RGI60-04.00005,136680,62.1589,-66.3365,2.414
RGI60-04.00006,136681,62.3198,-66.6328,2.368
RGI60-04.00007,136682,62.2622,-66.4357,21.174
RGI60-04.00008,136683,62.2988,-66.5656,1.425
RGI60-04.00009,136684,62.2851,-66.4416,1.881
RGI60-04.00010,136685,62.3306,-66.7645,0.147
RGI60-04.00011,136686,62.3306,-66.77,0.321
RGI60-04.00012,136687,62.3189,-66.6074,0.574
RGI60-04.00013,136688,62.3119,-66.4923,0.406
RGI60-04.00014,136689,62.1542,-66.3552,0.183
RGI60-04.00015,136690,62.1832,-66.3741,8.45
RGI60-04.00016,136691,62.2393,-66.3833,7.663
RGI60-04.00017,136692,62.3008,-66.6111,11.657
RGI60-04.00018,136693,62.3005,-66.5291,12.678
RGI60-04.00019,136694,62.2954,-66.4377,0.119
RGI60-04.00020,136695,62.2898,-66.472,4.789
RGI60-04.00021,136696,62.2114,-66.3449,14.166
RGI60-04.00022,136697,62.2393,-66.4881,47.999
RGI60-04.00023,136698,62.2648,-66.6798,0.387
RGI60-04.00024,136699,62.3049,-66.7428,0.238
RGI60-04.00025,136700,62.3008,-66.727,0.494
RGI60-04.00026,136701,62.3162,-66.7679,0.598
RGI60-04.00027,136702,62.2967,-66.6708,20.68
RGI60-04.00028,136703,62.3278,-66.7905,0.712
RGI60-04.00029,136704,62.324,-66.7419,2.218
RGI60-04.00030,136705,62.3399,-66.731,3.901
RGI60-04.00031,136706,63.7399,-65.5594,0.291
RGI60-04.00032,136707,63.7471,-65.5435,3.46
RGI60-04.00033,136708,63.765,-65.6846,0.325
RGI60-04.00034,136709,63.7662,-65.7449,0.185
RGI60-04.00035,136710,63.7723,-65.7563,0.229
RGI60-04.00036,136711,63.7751,-65.827,0.409
RGI60-04.00037,136712,63.7628,-65.2752,0.995
RGI60-04.00038,136713,63.781,-65.8009,0.682
RGI60-04.00039,136714,63.7917,-65.85,0.443
RGI60-04.00040,136715,63.7887,-65.6448,0.324
RGI60-04.00041,136716,63.7921,-65.7253,1.1
RGI60-04.00042,136717,64.0122,-65.4672,2.682
RGI60-04.00043,136718,64.0167,-65.4377,2.061
RGI60-04.00044,136719,64.0252,-65.4986,0.031
RGI60-04.00045,136720,64.0224,-65.4772,1.739
RGI60-04.00046,136721,63.7476,-65.3692,16.505
RGI60-04.00047,136722,63.6853,-65.3007,2.493
RGI60-04.00048,136723,63.7844,-65.4097,1.728
RGI60-04.00049,136724,63.7886,-65.4365,1.5
RGI60-04.00050,136725,63.7119,-65.2774,7.368
RGI60-04.00051,136726,63.6749,-65.2776,2.887
RGI60-04.00052,136727,63.6857,-65.2534,3.48
RGI60-04.00053,136728,63.7732,-65.3729,4.775
