outline_id,glacier_id,latitude,longitude,area_km2
RGI60-01.00001,44000,63.689,-146.823,0.36
RGI60-01.00002,44001,63.404,-146.668,0.558
RGI60-01.00003,44002,63.376,-146.08,1.685
RGI60-01.00004,44003,63.381,-146.12,3.681
RGI60-01.00005,44004,63.551,-147.057,2.573
RGI60-01.00006,44005,63.571,-146.244,10.47
RGI60-01.00007,44006,63.5508461,-146.22946167,0.649
RGI60-01.00008,44007,63.543,-146.296,0.2
RGI60-01.00009,44008,63.659,-147.6,1.517
RGI60-01.00010,44009,63.513,-147.17,3.806
RGI60-01.00011,44010,63.349,-146.636,1.229
RGI60-01.00012,44011,63.366,-146.651,2.802
RGI60-01.00013,183,63.499328613,-146.684082031,209.63
RGI60-01.00014,44012,63.356,-146.508,0.529
RGI60-01.00015,44013,63.538,-146.327,0.652
RGI60-01.00016,44014,63.675205231,-147.557891846,13.795
RGI60-01.00017,44015,63.459,-146.746,3.765
RGI60-01.00018,44016,63.383,-146.633,1.659
RGI60-01.00019,44017,63.538,-147.527,3.102
RGI60-01.00020,44018,63.357,-146.361,34.046
RGI60-01.00021,44019,63.404830933,-146.606262207,56.531
RGI60-01.00022,182,63.434,-146.678,39.764
RGI60-01.00023,44020,63.553,-147.004,3.188
RGI60-01.00024,44021,63.573,-146.283,0.364
RGI60-01.00025,44022,63.383995056,-146.230651855,12.491
RGI60-01.00026,44023,63.512,-146.227,0.171
RGI60-01.00027,44024,63.535064697,-146.262817383,13.29
RGI60-01.00028,44025,63.593,-146.899,0.059
RGI60-01.00029,44026,63.476,-146.811,6.45
RGI60-01.00030,44027,63.647842407,-146.551605225,2.599
RGI60-01.00031,44028,63.639,-146.544,1.302
RGI60-01.00032,44029,63.640632629,-146.930984497,14.205
RGI60-01.00033,44030,63.68,-146.872,4.604
RGI60-01.00034,44031,63.682,-146.81,2.101
RGI60-01.00035,44032,63.648,-147.442,36.349
RGI60-01.00036,44033,63.399,-146.645,3.798
RGI60-01.00037,80,63.469173431,-146.528167725,234.583
