outline_id,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-01.00001,0.894,0.894,0.894,0.894,0.894,0.894,0.894,1.128,1.201,1.128,1.128,1.128,1.128,1.128,1.128,1.128,1.128,1.128,1.128,1.113,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807,0.807
RGI60-01.00002,0.875,0.875,0.875,0.875,0.875,0.875,0.875,1.112,1.185,1.112,1.112,1.112,1.112,1.112,1.112,1.112,1.112,1.112,1.112,1.096,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.745,0.746,0.746,0.746,0.746,0.746,0.746,0.745,0.746,0.746,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746
RGI60-01.00003,0.874,0.874,0.874,0.874,0.874,0.874,0.874,1.109,1.182,1.109,1.109,1.109,1.109,1.109,1.109,1.109,1.109,1.109,1.109,1.094,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.644,0.644,0.644,0.644,0.644,0.644,0.643,0.644,0.644,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645
RGI60-01.00004,0.871,0.871,0.871,0.871,0.871,0.871,0.871,1.107,1.18,1.107,1.107,1.107,1.107,1.107,1.107,1.107,1.107,1.107,1.107,1.092,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.65,0.65,0.65,0.65,0.65,0.65,0.649,0.65,0.65,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651
RGI60-01.00005,0.879,0.879,0.879,0.879,0.879,0.879,0.879,1.116,1.19,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.101,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.794,0.794,0.794,0.794,0.794,0.794,0.793,0.794,0.794,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794
RGI60-01.00006,0.87,0.87,0.87,0.87,0.87,0.87,0.87,1.108,1.181,1.108,1.108,1.108,1.108,1.108,1.108,1.108,1.108,1.108,1.108,1.092,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.71,0.71,0.71,0.71,0.71,0.71,0.709,0.71,0.71,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
RGI60-01.00007,0.877,0.877,0.877,0.877,0.877,0.877,0.877,1.113,1.186,1.113,1.113,1.113,1.113,1.113,1.113,1.113,1.113,1.113,1.113,1.098,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.712,0.712,0.712,0.712,0.712,0.712,0.711,0.712,0.712,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713,0.713
RGI60-01.00008,0.916,0.916,0.916,0.916,0.916,0.916,0.916,1.144,1.215,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.144,1.129,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.766,0.766,0.766,0.766,0.766,0.766,0.765,0.766,0.766,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767
RGI60-01.00009,0.885,0.885,0.885,0.885,0.885,0.885,0.885,1.124,1.198,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.124,1.108,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.836,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.836,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835,0.835
RGI60-01.00010,0.878,0.878,0.878,0.878,0.878,0.878,0.878,1.116,1.19,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.116,1.1,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799
