outline_id,glacier_id,latitude,longitude,area_km2
RGI60-19.00001,197373,-66.856,-67.481,64.608
RGI60-19.00002,197374,-67.6507,-64.7861,12.106
RGI60-19.00003,197375,-67.6569,-64.8917,13.364
RGI60-19.00004,197376,-67.6357,-64.8772,0.02
RGI60-19.00005,197377,-67.6281,-64.935,21.853
RGI60-19.00006,197378,-67.2301,-67.6485,17.126
RGI60-19.00007,197379,-67.8429,-67.1959,8.188
RGI60-19.00008,197380,-67.8597,-67.2345,0.099
RGI60-19.00009,197381,-67.882,-67.2354,9.115
RGI60-19.00010,197382,-67.8685,-67.2697,3.421
RGI60-19.00011,197383,-67.244,-67.7435,9.271
RGI60-19.00012,197384,-67.2677,-67.7344,18.712
RGI60-19.00013,197385,-67.6029,-67.4867,6.784
RGI60-19.00014,197386,-67.0602,-67.5767,6.558
RGI60-19.00015,197387,-67.6314,-67.5615,22.374
RGI60-19.00016,197388,-67.7598,-67.4351,10.722
RGI60-19.00017,197389,-67.7661,-67.5041,18.476
RGI60-19.00018,197390,-67.6572,-67.6973,0.059
RGI60-19.00019,197391,-67.6628,-67.6733,0.023
RGI60-19.00020,197392,-67.6618,-67.6422,30.875
RGI60-19.00021,,-67.7494,-67.626,0.07
RGI60-19.00022,,-67.7727,-67.5598,0.031
RGI60-19.00023,197393,-67.7618,-67.6266,24.811
RGI60-19.00024,197394,-67.7066,-67.5642,55.027
RGI60-19.00025,197395,-67.687,-67.7428,6.099
RGI60-19.00026,197396,-67.7333,-67.7026,5.189
RGI60-19.00027,197397,-67.0869,-67.5789,5.083
RGI60-19.00028,197398,-67.0729,-67.6151,5.894
RGI60-19.00029,197399,-67.1897,-68.5036,2549.892
RGI60-19.00030,197400,-67.5368,-66.8763,9.801
RGI60-19.00031,197401,-67.5615,-66.9632,7.701
RGI60-19.00032,197402,-66.8149,-67.2773,6.797
RGI60-19.00033,197403,-67.5257,-67.0677,12.984
RGI60-19.00034,197404,-67.543,-67.1619,4.094
RGI60-19.00035,197405,-67.6348,-64.6808,50.884
RGI60-19.00036,197406,-67.118,-67.8268,30.621
RGI60-19.00037,197407,-67.1941,-68.016,253.683
