outline_id,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-19.00001,0.112,0.039,0.322,0.416,0.345,0.357,-0.175,0.996,0.051,0.353,-0.037,0.47,0.728,0.047,0.039,0.123,0.621,0.232,-0.068,0.106,0.062,-0.196,0.747,-0.531,-0.511,-0.001,-0.365,-0.329,-0.098,-0.107,-0.592,-0.347,-0.202,-0.369,0.388,0.15,-0.022,0.139,0.284,0.287,-0.122,-0.365,-0.295,0.107,-0.772,-0.414,-0.185,-0.658,-0.209,-0.376
RGI60-19.00002,0.168,0.096,0.376,0.468,0.398,0.41,-0.116,1.041,0.107,0.406,0.02,0.521,0.776,0.104,0.096,0.179,0.671,0.287,-0.01,0.162,0.119,-0.136,0.795,-0.467,-0.453,0.057,-0.311,-0.265,-0.039,-0.048,-0.528,-0.282,-0.149,-0.308,0.447,0.206,0.037,0.198,0.341,0.34,-0.075,-0.306,-0.231,0.163,-0.702,-0.364,-0.128,-0.608,-0.15,-0.326
RGI60-19.00003,0.077,0.005,0.285,0.378,0.308,0.319,-0.207,0.95,0.016,0.315,-0.071,0.43,0.686,0.013,0.005,0.088,0.58,0.196,-0.101,0.071,0.028,-0.227,0.705,-0.558,-0.544,-0.034,-0.402,-0.356,-0.13,-0.139,-0.619,-0.373,-0.239,-0.399,0.356,0.115,-0.054,0.107,0.25,0.249,-0.165,-0.397,-0.322,0.072,-0.793,-0.454,-0.219,-0.699,-0.241,-0.417
RGI60-19.00004,0.337,0.265,0.545,0.638,0.568,0.579,0.053,1.21,0.277,0.575,0.19,0.691,0.946,0.273,0.265,0.348,0.84,0.456,0.159,0.331,0.288,0.033,0.965,-0.298,-0.284,0.226,-0.141,-0.096,0.13,0.121,-0.359,-0.113,0.021,-0.139,0.616,0.375,0.207,0.367,0.51,0.509,0.095,-0.137,-0.062,0.332,-0.533,-0.194,0.041,-0.439,0.019,-0.157
RGI60-19.00005,0.028,-0.044,0.236,0.328,0.258,0.27,-0.256,0.901,-0.033,0.266,-0.12,0.381,0.637,-0.037,-0.044,0.039,0.531,0.147,-0.15,0.022,-0.022,-0.277,0.655,-0.608,-0.593,-0.083,-0.451,-0.405,-0.179,-0.188,-0.669,-0.423,-0.289,-0.448,0.306,0.066,-0.103,0.058,0.201,0.2,-0.214,-0.446,-0.371,0.023,-0.842,-0.503,-0.268,-0.748,-0.291,-0.466
RGI60-19.00006,0.266,0.194,0.476,0.57,0.499,0.51,-0.02,1.148,0.205,0.507,0.117,0.623,0.881,0.201,0.194,0.278,0.774,0.386,0.087,0.26,0.216,-0.041,0.9,-0.375,-0.357,0.153,-0.211,-0.173,0.057,0.048,-0.436,-0.192,-0.048,-0.214,0.542,0.304,0.133,0.294,0.438,0.441,0.03,-0.211,-0.139,0.261,-0.615,-0.261,-0.03,-0.505,-0.054,-0.223
RGI60-19.00007,-0.106,-0.179,0.103,0.196,0.126,0.137,-0.392,0.772,-0.167,0.133,-0.255,0.249,0.506,-0.171,-0.179,-0.095,0.399,0.013,-0.285,-0.112,-0.156,-0.412,0.525,-0.745,-0.728,-0.218,-0.584,-0.543,-0.315,-0.324,-0.806,-0.561,-0.421,-0.584,0.171,-0.068,-0.238,-0.077,0.066,0.067,-0.345,-0.582,-0.509,-0.111,-0.982,-0.635,-0.402,-0.879,-0.426,-0.598
RGI60-19.00008,0.104,0.031,0.313,0.406,0.336,0.347,-0.182,0.982,0.043,0.343,-0.045,0.459,0.716,0.039,0.031,0.115,0.609,0.223,-0.075,0.098,0.054,-0.202,0.735,-0.535,-0.518,-0.008,-0.374,-0.333,-0.105,-0.114,-0.596,-0.351,-0.212,-0.374,0.381,0.142,-0.029,0.133,0.276,0.277,-0.135,-0.372,-0.299,0.099,-0.772,-0.425,-0.192,-0.669,-0.216,-0.388
RGI60-19.00009,0.308,0.236,0.517,0.611,0.54,0.552,0.023,1.187,0.248,0.548,0.16,0.664,0.92,0.244,0.236,0.32,0.814,0.428,0.13,0.303,0.259,0.002,0.939,-0.33,-0.313,0.197,-0.169,-0.128,0.1,0.091,-0.391,-0.146,-0.007,-0.17,0.586,0.347,0.176,0.337,0.481,0.482,0.07,-0.167,-0.094,0.303,-0.567,-0.221,0.012,-0.464,-0.011,-0.183
RGI60-19.00010,0.173,0.101,0.382,0.476,0.405,0.417,-0.112,1.052,0.112,0.413,0.025,0.529,0.785,0.109,0.101,0.185,0.679,0.293,-0.005,0.168,0.124,-0.133,0.804,-0.465,-0.449,0.061,-0.304,-0.263,-0.035,-0.044,-0.526,-0.281,-0.142,-0.305,0.451,0.211,0.041,0.202,0.346,0.347,-0.065,-0.302,-0.229,0.168,-0.703,-0.356,-0.123,-0.6,-0.146,-0.318
