outline_id,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-19.00001,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.281,0.281,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354
RGI60-19.00002,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.279,0.279,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354
RGI60-19.00003,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.279,0.279,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354
RGI60-19.00004,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.279,0.279,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354
RGI60-19.00005,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.921,0.279,0.279,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354,0.354
RGI60-19.00006,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.282,0.282,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357,0.357
RGI60-19.00007,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.284,0.284,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361
RGI60-19.00008,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.284,0.284,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361
RGI60-19.00009,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.284,0.284,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361
RGI60-19.00010,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.284,0.284,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361
RGI60-19.00011,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.283,0.283,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358
RGI60-19.00012,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.283,0.283,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358,0.358
RGI60-19.00013,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.923,0.283,0.283,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
RGI60-19.00014,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.922,0.282,0.282,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356,0.356
RGI60-19.00015,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.284,0.284,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
RGI60-19.00016,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.284,0.284,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361
RGI60-19.00017,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.284,0.284,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361
RGI60-19.00018,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.284,0.284,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361
RGI60-19.00019,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.284,0.284,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361
RGI60-19.00020,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.284,0.284,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
RGI60-19.00021,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.315,0.315,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409
RGI60-19.00022,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.315,0.315,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409,0.409
RGI60-19.00023,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.284,0.284,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361
RGI60-19.00024,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.284,0.284,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361
RGI60-19.00025,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.924,0.284,0.284,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361,0.361
