outline_id,glacier_id,latitude,longitude,area_km2
RGI60-13.00001,146408,34.4713,79.4939,0.432
RGI60-13.00002,146409,35.5452,77.9513,0.367
RGI60-13.00003,146410,35.5188,77.9295,0.07
RGI60-13.00004,146411,35.5252,77.9237,0.255
RGI60-13.00005,146412,35.5309,77.9141,0.261
RGI60-13.00006,146413,35.5399,77.9144,0.061
RGI60-13.00007,146414,35.5535,77.9115,0.048
RGI60-13.00008,146415,35.5577,77.9099,0.053
RGI60-13.00009,146416,35.5594,77.9048,0.21
RGI60-13.00010,146417,35.569,77.9242,0.026
RGI60-13.00011,146418,35.5658,77.931,0.102
RGI60-13.00012,146419,35.5463,78.4649,0.219
RGI60-13.00013,146420,35.5637,78.4519,0.268
RGI60-13.00014,146421,35.5749,78.0681,0.649
RGI60-13.00015,146422,35.5637,78.4388,0.934
RGI60-13.00016,146423,35.5631,78.448,0.023
RGI60-13.00017,146424,35.5606,78.3496,1.319
RGI60-13.00018,146425,35.5606,78.4502,0.076
RGI60-13.00019,146426,35.557,78.4489,0.172
RGI60-13.00020,146427,35.5632,78.1002,0.438
RGI60-13.00021,146428,35.5551,78.3392,0.809
RGI60-13.00022,146429,35.5473,78.3711,0.136
RGI60-13.00023,146430,35.5599,78.1071,0.538
RGI60-13.00024,146431,35.555,78.1117,0.405
RGI60-13.00025,146432,35.5428,78.3702,0.21
RGI60-13.00026,146433,35.5501,78.3618,1.755
RGI60-13.00027,146434,35.553,78.3493,0.12
RGI60-13.00028,146435,35.5424,78.3561,0.125
RGI60-13.00029,146436,35.5387,78.3502,0.304
RGI60-13.00030,146437,35.5404,78.3587,0.023
RGI60-13.00031,146438,35.5349,78.3547,0.609
RGI60-13.00032,146439,35.6178,78.0092,0.103
RGI60-13.00033,146440,35.6171,78.0458,0.063
RGI60-13.00034,146441,35.6655,78.2877,0.356
RGI60-13.00035,146442,35.6721,78.3212,0.565
RGI60-13.00036,146443,35.6704,78.2863,0.305
RGI60-13.00037,146444,35.701,78.3024,0.407
RGI60-13.00038,146445,35.6972,78.276,0.11
RGI60-13.00039,146446,35.6905,78.305,0.215
RGI60-13.00040,146447,35.6808,78.2133,0.582
RGI60-13.00041,146448,35.684,78.256,0.497
RGI60-13.00042,146449,35.6872,78.2957,0.322
RGI60-13.00043,146450,35.6761,78.2511,0.074
RGI60-13.00044,146451,35.6754,78.2894,0.675
RGI60-13.00045,146452,35.6705,78.2958,0.079
RGI60-13.00046,146453,35.6586,78.2748,1.305
RGI60-13.00047,146454,35.6538,78.3766,0.187
RGI60-13.00048,146455,35.6564,78.236,0.251
RGI60-13.00049,146456,35.6489,78.076,0.911
RGI60-13.00050,146457,35.6499,78.1016,0.11
RGI60-13.00051,146458,35.6485,78.0826,0.044
RGI60-13.00052,146459,35.6445,78.0923,1.437
RGI60-13.00053,146460,35.6437,78.135,0.106
RGI60-13.00054,146461,35.6466,78.0617,0.429
RGI60-13.00055,146462,35.6472,78.0695,0.851
RGI60-13.00056,146463,35.6388,78.1768,0.086
RGI60-13.00057,146464,35.6367,78.1813,0.096
RGI60-13.00058,146465,35.6435,78.1595,0.254
RGI60-13.00059,146466,35.6388,78.1603,0.067
RGI60-13.00060,146467,35.6375,78.0864,0.11
RGI60-13.00061,146468,35.637,78.1414,0.626
RGI60-13.00062,12750,35.6407,78.1118,2.222
RGI60-13.00063,146469,35.6286,78.0162,0.439
RGI60-13.00064,146470,35.6386,78.1225,1.561
RGI60-13.00065,146471,35.6324,78.1402,0.054
RGI60-13.00066,146472,35.6277,78.197,1.831
RGI60-13.00067,146473,35.6232,78.2049,0.215
RGI60-13.00068,146474,35.6315,78.1746,0.071
RGI60-13.00069,146475,35.6314,78.1787,0.123
RGI60-13.00070,146476,35.6304,78.1447,0.072
RGI60-13.00071,146477,35.6285,78.1505,0.085
RGI60-13.00072,146478,35.6249,78.1538,0.109
RGI60-13.00073,146479,35.6342,78.1223,0.025
RGI60-13.00074,146480,35.6323,78.1196,0.193
