outline_id,glacier_id,latitude,longitude,area_km2
RGI60-15.00001,,29.940999868,102.044041674,0.438
RGI60-15.00002,70913,29.987019467,102.042345625,0.644
RGI60-15.00003,70914,29.997311063,102.041129978,0.225
RGI60-15.00004,70915,29.962296779,102.050282604,0.985
RGI60-15.00005,,30.025100942,102.043727594,0.465
RGI60-15.00006,,30.018731814,102.036920074,0.167
RGI60-15.00007,70916,30.014502807,102.05082014,0.708
RGI60-15.00008,,29.997550948,102.056323523,0.373
RGI60-15.00009,,30.004917145,102.045440674,1.101
RGI60-15.00010,70917,29.97760778,102.046575244,0.17
RGI60-15.00011,70918,29.948420832,102.031271368,0.155
RGI60-15.00012,70919,29.928919494,102.057463275,0.391
RGI60-15.00013,70920,29.946926593,102.040228639,0.074
RGI60-15.00014,,29.952957153,102.040527344,0.146
RGI60-15.00015,70921,29.984665894,99.807801024,0.076
RGI60-15.00016,70922,29.975860472,99.790791762,0.785
RGI60-15.00017,70923,29.875673668,99.647057537,1.093
RGI60-15.00018,70924,29.864115482,99.639064967,0.5
RGI60-15.00019,70925,29.934847484,99.634455759,0.793
RGI60-15.00020,70926,29.908965733,99.633153209,1.737
RGI60-15.00021,70927,29.909049776,99.652073588,1.002
RGI60-15.00022,70928,29.94093827,99.686612054,0.099
RGI60-15.00023,70929,29.79607919,99.596499892,0.705
RGI60-15.00024,70930,29.796824896,99.607435091,2.447
RGI60-15.00025,70931,29.800726483,99.631428599,0.168
RGI60-15.00026,70932,29.797379495,99.621911839,2.134
RGI60-15.00027,70933,29.816232914,99.554860453,0.275
RGI60-15.00028,70934,29.828576197,99.555903232,0.864
RGI60-15.00029,70935,29.837142856,99.565970765,0.274
RGI60-15.00030,70936,29.841384281,99.574485987,0.405
RGI60-15.00031,70937,29.843913523,99.582224191,0.451
RGI60-15.00032,70938,29.869532836,99.569384089,0.292
RGI60-15.00033,70939,29.876242106,99.511147185,0.811
RGI60-15.00034,70940,29.957441329,99.588694968,0.952
RGI60-15.00035,70941,29.954733834,99.596275083,0.285
RGI60-15.00036,70942,29.965418731,99.598493151,0.675
RGI60-15.00037,70943,29.967705607,99.603286216,0.116
RGI60-15.00038,70944,30.070138627,99.30253643,1.173
RGI60-15.00039,70945,30.070423196,99.320370919,0.354
RGI60-15.00040,70946,30.058193207,99.2734375,1.111
RGI60-15.00041,70947,30.050359339,99.276638445,0.357
RGI60-15.00042,70948,30.070919037,99.278274536,0.889
RGI60-15.00043,70949,30.145698433,99.462635924,0.508
RGI60-15.00044,70950,30.142205053,99.471952398,0.684
RGI60-15.00045,70951,30.135654485,99.480557856,1.252
RGI60-15.00046,70952,30.130561628,99.492442086,0.289
RGI60-15.00047,70953,30.148005544,99.492397307,0.692
RGI60-15.00048,70954,30.157996354,99.476255393,0.751
RGI60-15.00049,70955,30.13342428,99.511318758,0.22
RGI60-15.00050,70956,30.137404334,99.521896576,0.607
RGI60-15.00051,70957,29.917892379,99.607891767,0.329
RGI60-15.00052,70958,29.891669673,99.516987163,0.356
RGI60-15.00053,70959,29.950079831,99.64062213,1.161
RGI60-15.00054,70960,29.989079823,99.56021766,0.426
RGI60-15.00055,70961,30.574308686,99.538784014,2.702
RGI60-15.00056,70962,30.573471131,99.486490378,0.076
RGI60-15.00057,70963,30.556425527,99.539116213,2.418
RGI60-15.00058,70964,30.541371816,99.629089276,0.062
RGI60-15.00059,70965,30.539616397,99.596271378,0.461
RGI60-15.00060,70966,30.606413335,99.471786184,0.19
RGI60-15.00061,70967,30.664742621,99.411689993,0.685
RGI60-15.00062,70968,30.656421562,99.402181971,0.269
RGI60-15.00063,70969,30.662584388,99.403920577,0.37
RGI60-15.00064,70970,30.588881327,99.503259632,0.215
RGI60-15.00065,70971,30.543579173,99.589062288,0.133
RGI60-15.00066,70972,30.128560219,99.53566112,0.052
RGI60-15.00067,70973,30.13000245,99.544936309,0.085
RGI60-15.00068,70974,30.115712044,99.461625379,0.123
RGI60-15.00069,70975,30.064227022,99.272699939,0.289
RGI60-15.00070,70976,30.058507585,99.295952854,0.076
RGI60-15.00071,70977,29.99378818,99.603631297,0.196
RGI60-15.00072,70978,29.95948734,99.565851181,0.275
RGI60-15.00073,70979,29.969388112,99.566129876,0.087
RGI60-15.00074,70980,29.979214864,99.563329961,0.075
RGI60-15.00075,70981,29.92311105,99.602968675,0.608
RGI60-15.00076,70982,29.920443188,99.614252771,0.243
RGI60-15.00077,70983,29.908488998,99.664980879,0.137
RGI60-15.00078,70984,29.864327086,99.663136995,0.23
RGI60-15.00079,70985,29.862820566,99.672375267,0.165
RGI60-15.00080,70986,29.853238343,99.679402367,0.173
RGI60-15.00081,70987,29.850813498,99.570637169,0.853
RGI60-15.00082,70988,29.854517448,99.566168494,0.135
RGI60-15.00083,70989,29.885218637,99.516289422,0.082
RGI60-15.00084,70990,29.925099478,99.516696178,0.175
RGI60-15.00085,70991,29.918637856,99.507847711,0.216
RGI60-15.00086,70992,29.913260513,99.532868497,0.078
RGI60-15.00087,70993,29.897553245,99.526387762,0.209
RGI60-15.00088,70994,29.972609591,99.646659389,0.059
RGI60-15.00089,70995,29.976134364,99.650076565,0.056
RGI60-15.00090,70996,29.972743509,99.663169653,0.228
RGI60-15.00091,70997,29.988342213,99.668144329,0.14
RGI60-15.00092,70998,29.916296684,99.790984075,0.161
RGI60-15.00093,70999,29.919252885,99.793583182,0.062
RGI60-15.00094,71000,29.927972588,99.788596823,0.103
RGI60-15.00095,71001,30.619216853,99.426350487,0.249
RGI60-15.00096,71002,30.54520376,99.579758217,0.082
RGI60-15.00097,71003,30.537784594,99.550940026,0.198
RGI60-15.00098,71004,30.536088054,99.589201329,0.154
RGI60-15.00099,71005,30.535723512,99.591976423,0.104
RGI60-15.00100,71006,30.540864949,99.62288706,0.218
RGI60-15.00101,71007,30.549928458,99.533578583,0.228
RGI60-15.00102,71008,30.563691036,99.524124006,1.143
RGI60-15.00103,71009,30.571725551,99.509285932,1.418
RGI60-15.00104,71010,30.57675348,99.493834213,0.279
RGI60-15.00105,71011,30.585116361,99.504191036,1.413
RGI60-15.00106,71012,30.569164978,99.553437547,0.413
RGI60-15.00107,71013,30.581109238,99.519162217,2.944
RGI60-15.00108,71014,30.547701271,99.548046484,0.271
RGI60-15.00109,71015,30.623308155,99.433438749,0.215
RGI60-15.00110,71016,30.626971434,99.438361107,0.272
RGI60-15.00111,71017,30.630268195,99.478772035,0.577
RGI60-15.00112,71018,30.142773686,99.497932709,0.103
RGI60-15.00113,71019,30.141009262,99.504608891,0.43
RGI60-15.00114,71020,30.134718435,99.543625387,0.37
