outline_id,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-15.00001,0.542,0.542,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.633,0.628,0.628,0.624,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.624,0.628,0.628,0.589,0.589,0.624,0.624,0.624,0.628,0.628,0.628,0.633,0.633,0.633,0.633,0.557,0.659,0.659,0.659,0.597,0.597,0.597,0.556,0.498,0.465,0.465,0.459,0.457,0.437,0.437,0.437,0.437,0.437,0.437,0.437,0.445,0.45,0.45,0.456,0.456,0.445,0.48
RGI60-15.00002,0.55,0.55,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.654,0.649,0.649,0.646,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.649,0.646,0.649,0.649,0.632,0.632,0.646,0.646,0.646,0.649,0.649,0.649,0.654,0.654,0.654,0.654,0.625,0.674,0.674,0.674,0.641,0.641,0.641,0.623,0.549,0.544,0.544,0.543,0.543,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.541,0.541,0.543,0.543,0.542,0.547
RGI60-15.00003,0.566,0.566,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.686,0.667,0.662,0.662,0.659,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.662,0.659,0.662,0.662,0.645,0.645,0.659,0.659,0.659,0.662,0.662,0.662,0.667,0.667,0.667,0.667,0.638,0.686,0.686,0.686,0.654,0.654,0.654,0.637,0.565,0.559,0.559,0.559,0.559,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.558,0.558,0.557,0.562
RGI60-15.00004,0.547,0.547,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.651,0.646,0.646,0.643,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.646,0.643,0.646,0.646,0.629,0.629,0.643,0.643,0.643,0.646,0.646,0.646,0.651,0.651,0.651,0.651,0.622,0.671,0.671,0.671,0.638,0.638,0.638,0.621,0.546,0.54,0.54,0.54,0.54,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.539,0.538,0.538,0.539,0.539,0.539,0.543
RGI60-15.00005,0.542,0.542,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.633,0.628,0.628,0.624,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.624,0.628,0.628,0.589,0.589,0.624,0.624,0.624,0.628,0.628,0.628,0.633,0.633,0.633,0.633,0.557,0.659,0.659,0.659,0.597,0.597,0.597,0.556,0.498,0.465,0.465,0.459,0.457,0.437,0.437,0.437,0.437,0.437,0.437,0.437,0.445,0.45,0.45,0.456,0.456,0.445,0.48
RGI60-15.00006,0.542,0.542,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.633,0.628,0.628,0.624,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.624,0.628,0.628,0.589,0.589,0.624,0.624,0.624,0.628,0.628,0.628,0.633,0.633,0.633,0.633,0.557,0.659,0.659,0.659,0.597,0.597,0.597,0.556,0.498,0.465,0.465,0.459,0.457,0.437,0.437,0.437,0.437,0.437,0.437,0.437,0.445,0.45,0.45,0.456,0.456,0.445,0.48
RGI60-15.00007,0.56,0.56,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.681,0.662,0.657,0.657,0.654,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.654,0.657,0.657,0.64,0.64,0.654,0.654,0.654,0.657,0.657,0.657,0.662,0.662,0.662,0.662,0.633,0.681,0.681,0.681,0.649,0.649,0.649,0.632,0.559,0.553,0.553,0.553,0.553,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.552,0.551,0.551,0.552,0.552,0.552,0.556
RGI60-15.00008,0.542,0.542,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.633,0.628,0.628,0.624,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.624,0.628,0.628,0.589,0.589,0.624,0.624,0.624,0.628,0.628,0.628,0.633,0.633,0.633,0.633,0.557,0.659,0.659,0.659,0.597,0.597,0.597,0.556,0.498,0.465,0.465,0.459,0.457,0.437,0.437,0.437,0.437,0.437,0.437,0.437,0.445,0.45,0.45,0.456,0.456,0.445,0.48
RGI60-15.00009,0.542,0.542,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.633,0.628,0.628,0.624,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.624,0.628,0.628,0.589,0.589,0.624,0.624,0.624,0.628,0.628,0.628,0.633,0.633,0.633,0.633,0.557,0.659,0.659,0.659,0.597,0.597,0.597,0.556,0.498,0.465,0.465,0.459,0.457,0.437,0.437,0.437,0.437,0.437,0.437,0.437,0.445,0.45,0.45,0.456,0.456,0.445,0.48
RGI60-15.00010,0.584,0.584,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.682,0.678,0.678,0.675,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.675,0.678,0.678,0.661,0.661,0.675,0.675,0.675,0.678,0.678,0.678,0.682,0.682,0.682,0.682,0.654,0.701,0.701,0.701,0.67,0.67,0.67,0.653,0.583,0.577,0.577,0.577,0.577,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.576,0.575,0.575,0.576,0.576,0.576,0.58
RGI60-15.00011,0.696,0.696,0.797,0.797,0.797,0.797,0.797,0.797,0.797,0.797,0.797,0.781,0.777,0.777,0.774,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.774,0.777,0.777,0.762,0.762,0.774,0.774,0.774,0.777,0.777,0.777,0.781,0.781,0.781,0.781,0.757,0.797,0.797,0.797,0.77,0.77,0.77,0.755,0.696,0.691,0.691,0.691,0.691,0.689,0.689,0.689,0.689,0.689,0.689,0.689,0.69,0.689,0.689,0.69,0.69,0.69,0.693
RGI60-15.00012,0.562,0.562,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.683,0.664,0.659,0.659,0.656,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.659,0.656,0.659,0.659,0.642,0.642,0.656,0.656,0.656,0.659,0.659,0.659,0.664,0.664,0.664,0.664,0.635,0.683,0.683,0.683,0.651,0.651,0.651,0.634,0.561,0.555,0.555,0.555,0.555,0.554,0.554,0.554,0.554,0.554,0.554,0.554,0.554,0.553,0.553,0.554,0.554,0.554,0.558
