outline_id,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-15.00001,0.493,0.493,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.591,0.585,0.585,0.581,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.581,0.585,0.585,0.544,0.544,0.581,0.581,0.581,0.585,0.585,0.585,0.591,0.591,0.591,0.591,0.509,0.618,0.618,0.618,0.553,0.553,0.553,0.508,0.443,0.406,0.406,0.399,0.396,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.383,0.389,0.389,0.396,0.396,0.383,0.424
RGI60-15.00002,0.515,0.515,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.625,0.619,0.619,0.616,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.616,0.619,0.619,0.601,0.601,0.616,0.616,0.616,0.619,0.619,0.619,0.625,0.625,0.625,0.625,0.594,0.645,0.645,0.645,0.611,0.611,0.611,0.592,0.514,0.508,0.508,0.507,0.507,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.505,0.505,0.507,0.507,0.506,0.511
RGI60-15.00003,0.515,0.515,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.624,0.619,0.619,0.616,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.616,0.619,0.619,0.601,0.601,0.616,0.616,0.616,0.619,0.619,0.619,0.624,0.624,0.624,0.624,0.594,0.645,0.645,0.645,0.611,0.611,0.611,0.592,0.514,0.508,0.508,0.507,0.507,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.505,0.505,0.507,0.507,0.506,0.511
RGI60-15.00004,0.515,0.515,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.625,0.62,0.62,0.616,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.616,0.62,0.62,0.601,0.601,0.616,0.616,0.616,0.62,0.62,0.62,0.625,0.625,0.625,0.625,0.594,0.645,0.645,0.645,0.611,0.611,0.611,0.592,0.514,0.508,0.508,0.507,0.507,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.505,0.505,0.507,0.507,0.506,0.511
RGI60-15.00005,0.493,0.493,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.591,0.585,0.585,0.581,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.581,0.585,0.585,0.544,0.544,0.581,0.581,0.581,0.585,0.585,0.585,0.591,0.591,0.591,0.591,0.509,0.618,0.618,0.618,0.553,0.553,0.553,0.508,0.443,0.406,0.406,0.399,0.396,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.383,0.389,0.389,0.396,0.396,0.383,0.424
RGI60-15.00006,0.493,0.493,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.591,0.585,0.585,0.581,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.581,0.585,0.585,0.544,0.544,0.581,0.581,0.581,0.585,0.585,0.585,0.591,0.591,0.591,0.591,0.509,0.618,0.618,0.618,0.553,0.553,0.553,0.508,0.443,0.406,0.406,0.399,0.396,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.383,0.389,0.389,0.396,0.396,0.383,0.424
RGI60-15.00007,0.515,0.515,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.624,0.619,0.619,0.616,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.616,0.619,0.619,0.601,0.601,0.616,0.616,0.616,0.619,0.619,0.619,0.624,0.624,0.624,0.624,0.594,0.645,0.645,0.645,0.611,0.611,0.611,0.592,0.514,0.508,0.508,0.507,0.507,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.505,0.505,0.507,0.507,0.506,0.511
RGI60-15.00008,0.493,0.493,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.591,0.585,0.585,0.581,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.581,0.585,0.585,0.544,0.544,0.581,0.581,0.581,0.585,0.585,0.585,0.591,0.591,0.591,0.591,0.509,0.618,0.618,0.618,0.553,0.553,0.553,0.508,0.443,0.406,0.406,0.399,0.396,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.383,0.389,0.389,0.396,0.396,0.383,0.424
RGI60-15.00009,0.493,0.493,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.591,0.585,0.585,0.581,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.581,0.585,0.585,0.544,0.544,0.581,0.581,0.581,0.585,0.585,0.585,0.591,0.591,0.591,0.591,0.509,0.618,0.618,0.618,0.553,0.553,0.553,0.508,0.443,0.406,0.406,0.399,0.396,0.374,0.374,0.374,0.374,0.374,0.374,0.374,0.383,0.389,0.389,0.396,0.396,0.383,0.424
RGI60-15.00010,0.515,0.515,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.645,0.625,0.62,0.62,0.616,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.616,0.62,0.62,0.601,0.601,0.616,0.616,0.616,0.62,0.62,0.62,0.625,0.625,0.625,0.625,0.594,0.645,0.645,0.645,0.611,0.611,0.611,0.592,0.514,0.508,0.508,0.507,0.507,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.505,0.505,0.507,0.507,0.506,0.511
