outline_id,glacier_id,latitude,longitude,area_km2
RGI60-10.00001,,76.72,149.17,3.92
RGI60-10.00002,,76.68,148.92,48.144
RGI60-10.00003,,76.65,149.02,0.704
RGI60-10.00004,,76.67,148.93,1.809
RGI60-10.00005,,76.7,148.85,3.819
RGI60-10.00006,,76.65,148.65,12.966
RGI60-10.00007,,76.63,148.7,0.603
RGI60-10.00008,,76.65,148.57,0.402
RGI60-10.00009,,77.08,156.57,6.232
RGI60-10.00010,,77.08,156.6,0.101
RGI60-10.00011,,77.1,156.6,0.101
RGI60-10.00012,,77.12,156.58,0.503
RGI60-10.00013,,77.1,156.52,0.101
RGI60-10.00014,,77.08,156.48,1.206
RGI60-10.00015,,76.77,158.03,0.402
RGI60-10.00016,,70.98,178.68,0.05
RGI60-10.00017,,70.98,178.67,0.02
RGI60-10.00018,,71.0,178.65,0.03
RGI60-10.00019,,71.0,178.65,0.02
RGI60-10.00020,,71.03,178.7,0.02
RGI60-10.00021,,71.05,178.72,0.04
RGI60-10.00022,,71.05,178.72,0.07
RGI60-10.00023,,71.07,178.72,0.01
RGI60-10.00024,,71.07,178.72,0.04
RGI60-10.00025,,71.07,178.7,0.03
RGI60-10.00026,,71.07,178.68,0.01
RGI60-10.00027,,71.07,178.68,0.01
RGI60-10.00028,,71.07,178.68,0.01
RGI60-10.00029,,71.08,178.7,0.02
RGI60-10.00030,,71.08,178.72,0.02
RGI60-10.00031,,71.08,178.73,0.01
RGI60-10.00032,,71.1,178.75,0.02
RGI60-10.00033,,71.1,178.77,0.01
RGI60-10.00034,,71.1,178.77,0.01
RGI60-10.00035,,71.1,178.78,0.01
RGI60-10.00036,,71.12,178.8,0.04
RGI60-10.00037,,71.13,178.88,0.04
RGI60-10.00038,,71.13,178.9,0.01
RGI60-10.00039,,71.1,178.85,0.01
RGI60-10.00040,,71.1,178.87,0.04
RGI60-10.00041,,71.1,178.87,0.03
RGI60-10.00042,,71.1,178.8,0.03
RGI60-10.00043,,71.02,178.65,0.03
RGI60-10.00044,,71.02,178.67,0.04
RGI60-10.00045,,71.02,178.68,0.02
RGI60-10.00046,,71.02,178.7,0.02
RGI60-10.00047,,71.02,178.68,0.02
RGI60-10.00048,,71.02,178.7,0.03
RGI60-10.00049,,71.02,178.72,0.04
RGI60-10.00050,,71.02,178.8,0.03
RGI60-10.00051,,71.02,178.8,0.03
RGI60-10.00052,,71.02,178.82,0.03
RGI60-10.00053,,71.02,178.83,0.02
RGI60-10.00054,,71.03,178.88,0.09
RGI60-10.00055,,71.02,178.85,0.02
RGI60-10.00056,,71.02,178.92,0.06
RGI60-10.00057,,71.02,178.93,0.02
RGI60-10.00058,,71.02,178.95,0.03
RGI60-10.00059,,71.02,178.98,0.02
RGI60-10.00060,,71.03,179.03,0.03
RGI60-10.00061,,71.02,179.0,0.02
RGI60-10.00062,,71.02,179.02,0.01
RGI60-10.00063,,71.0,179.05,0.05
RGI60-10.00064,,71.0,179.03,0.03
RGI60-10.00065,,71.22,179.18,0.03
RGI60-10.00066,,71.22,179.22,0.03
RGI60-10.00067,,71.22,179.22,0.04
RGI60-10.00068,,71.22,179.23,0.04
RGI60-10.00069,,71.22,179.37,0.01
RGI60-10.00070,,71.22,179.37,0.04
RGI60-10.00071,,71.22,179.42,0.02
RGI60-10.00072,,71.23,179.45,0.02
RGI60-10.00073,,71.23,179.47,0.02
RGI60-10.00074,,71.25,179.4,0.03
RGI60-10.00075,,71.28,179.45,0.101
RGI60-10.00076,,71.28,179.47,0.02
RGI60-10.00077,,71.3,179.47,0.03
RGI60-10.00078,,71.3,179.48,0.05
RGI60-10.00079,,71.28,179.48,0.04
RGI60-10.00080,,71.28,179.52,0.02
RGI60-10.00081,,71.28,179.53,0.06
RGI60-10.00082,,71.3,179.57,0.08
RGI60-10.00083,,71.3,179.6,0.04
RGI60-10.00084,,71.28,179.6,0.06
RGI60-10.00085,,71.27,179.58,0.05
RGI60-10.00086,,71.27,179.65,0.141
RGI60-10.00087,,71.27,179.68,0.101
RGI60-10.00088,,71.1,-179.35,0.04
RGI60-10.00089,,71.13,-179.4,0.03
RGI60-10.00090,,71.12,-179.35,0.04
