outline_id,glacier_id,latitude,longitude,area_km2
RGI60-14.00001,106156,35.7639,75.9105,0.232
RGI60-14.00002,106157,35.7539,75.9186,0.025
RGI60-14.00003,,35.7507,75.9193,0.085
RGI60-14.00004,106158,35.7722,75.1278,1.778
RGI60-14.00005,15931,36.0064,75.5932,559.807
RGI60-14.00006,106159,36.0154,75.6874,0.05
RGI60-14.00007,,35.9917,75.5408,0.093
RGI60-14.00008,106160,35.9667,75.6421,0.079
RGI60-14.00009,106161,35.9381,75.6866,0.192
RGI60-14.00010,106162,35.9031,75.7223,0.095
RGI60-14.00011,106163,35.8996,75.7629,0.078
RGI60-14.00012,106164,35.8739,75.8415,0.03
RGI60-14.00013,106165,35.7992,75.7631,0.173
RGI60-14.00014,,35.7995,75.7544,0.066
RGI60-14.00015,106166,35.7919,75.7445,0.194
RGI60-14.00016,106167,35.7856,75.7659,0.186
RGI60-14.00017,106168,35.7408,75.8267,0.079
RGI60-14.00018,15932,35.838,74.8601,2.996
RGI60-14.00019,,35.839,74.8738,0.353
RGI60-14.00020,106169,35.9205,74.6246,0.784
RGI60-14.00021,106170,35.9246,74.6298,0.046
RGI60-14.00022,,35.9168,74.6189,0.122
RGI60-14.00023,,35.9164,74.6107,0.063
RGI60-14.00024,106171,36.0016,74.7496,0.107
RGI60-14.00025,106172,35.9948,74.7466,0.167
RGI60-14.00026,106173,35.9895,74.7441,0.097
RGI60-14.00027,106174,36.0073,74.75,0.722
RGI60-14.00028,106175,36.0137,74.6949,1.514
RGI60-14.00029,106176,36.0616,74.4285,1.277
RGI60-14.00030,106177,36.0943,74.9443,0.172
RGI60-14.00031,,36.0938,74.9373,0.028
RGI60-14.00032,15933,36.0673,74.8171,105.036
RGI60-14.00033,106178,36.1076,74.8178,0.609
RGI60-14.00034,106179,36.0716,74.9526,0.051
RGI60-14.00035,106180,36.0507,74.8685,0.091
RGI60-14.00036,15934,36.1333,74.4642,13.115
RGI60-14.00037,106181,36.1451,74.4361,0.052
RGI60-14.00038,106182,36.2116,72.5513,0.176
RGI60-14.00039,,36.2584,75.7825,0.031
RGI60-14.00040,,36.2559,75.7857,0.039
RGI60-14.00041,,36.2528,75.7805,0.267
RGI60-14.00042,106183,36.3359,74.0381,1.495
RGI60-14.00043,15935,36.322,74.0146,9.22
RGI60-14.00044,106184,36.3304,74.0,0.566
RGI60-14.00045,106185,36.3095,76.2808,0.033
RGI60-14.00046,106186,36.3083,76.2901,0.109
RGI60-14.00047,106187,36.3069,76.2937,0.073
RGI60-14.00048,106188,36.3036,76.2991,0.136
RGI60-14.00049,106189,36.2994,76.3101,0.041
RGI60-14.00050,,36.3366,74.413,0.046
RGI60-14.00051,,36.3364,74.4103,0.038
RGI60-14.00052,106190,36.3375,73.0984,0.05
RGI60-14.00053,,36.3337,73.099,0.049
RGI60-14.00054,106191,36.3476,73.0456,0.115
RGI60-14.00055,106192,36.3442,73.0454,0.062
RGI60-14.00056,106193,36.3603,73.4309,1.751
RGI60-14.00057,15936,36.3756,74.6871,9.908
RGI60-14.00058,106194,36.3875,74.0066,0.534
RGI60-14.00059,106195,36.3742,74.0094,0.086
RGI60-14.00060,106196,36.3706,74.0167,0.031
RGI60-14.00061,106197,36.371,74.0087,0.034
RGI60-14.00062,106198,36.3691,74.0107,0.053
RGI60-14.00063,15937,36.3646,72.7405,2.258
RGI60-14.00064,106199,36.3766,74.207,1.418
RGI60-14.00065,106200,36.3608,72.7758,1.8
RGI60-14.00066,106201,36.3654,72.7613,0.302
RGI60-14.00067,106202,36.3644,72.7663,0.057
RGI60-14.00068,106203,36.4002,74.1683,0.101
RGI60-14.00069,106204,36.416,75.2613,0.444
RGI60-14.00070,,36.4111,74.3634,0.328
RGI60-14.00071,,36.4134,74.381,0.416
RGI60-14.00072,15938,36.3996,74.3761,3.538
