outline_id,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-14.00001,0.535,0.535,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.637,0.591,0.583,0.583,0.577,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.583,0.577,0.583,0.583,0.549,0.549,0.577,0.577,0.577,0.583,0.583,0.583,0.591,0.591,0.591,0.591,0.596,0.637,0.637,0.637,0.571,0.571,0.571,0.56,0.558,0.557,0.557,0.557,0.546,0.539,0.539,0.539,0.539,0.539,0.539,0.539,0.54,0.556,0.556,0.542,0.542,0.54,0.542
RGI60-14.00002,0.658,0.658,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.744,0.705,0.698,0.698,0.693,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.698,0.693,0.698,0.698,0.67,0.67,0.693,0.693,0.693,0.698,0.698,0.698,0.705,0.705,0.705,0.705,0.709,0.744,0.744,0.744,0.688,0.688,0.688,0.679,0.677,0.677,0.677,0.676,0.668,0.661,0.661,0.661,0.661,0.661,0.661,0.661,0.663,0.676,0.676,0.664,0.664,0.663,0.664
RGI60-14.00003,0.481,0.481,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.545,0.537,0.537,0.531,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.531,0.537,0.537,0.485,0.485,0.531,0.531,0.531,0.537,0.537,0.537,0.545,0.545,0.545,0.545,0.546,0.595,0.595,0.595,0.508,0.508,0.508,0.495,0.493,0.491,0.491,0.491,0.481,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.474,0.502,0.502,0.476,0.476,0.474,0.477
RGI60-14.00004,0.474,0.474,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.535,0.526,0.526,0.52,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.526,0.52,0.526,0.526,0.491,0.491,0.52,0.52,0.52,0.526,0.526,0.526,0.535,0.535,0.535,0.535,0.545,0.589,0.589,0.589,0.518,0.518,0.518,0.507,0.504,0.503,0.503,0.503,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.482,0.498,0.498,0.483,0.483,0.482,0.483
RGI60-14.00005,0.449,0.449,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.567,0.513,0.503,0.503,0.497,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.497,0.503,0.503,0.468,0.468,0.497,0.497,0.497,0.503,0.503,0.503,0.513,0.513,0.513,0.513,0.522,0.567,0.567,0.567,0.495,0.495,0.495,0.483,0.481,0.48,0.48,0.48,0.466,0.456,0.456,0.456,0.456,0.456,0.456,0.456,0.458,0.474,0.474,0.459,0.459,0.458,0.459
RGI60-14.00006,0.557,0.557,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.609,0.602,0.602,0.596,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.596,0.602,0.602,0.572,0.572,0.596,0.596,0.596,0.602,0.602,0.602,0.609,0.609,0.609,0.609,0.617,0.655,0.655,0.655,0.594,0.594,0.594,0.585,0.583,0.582,0.582,0.582,0.57,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.564,0.577,0.577,0.565,0.565,0.564,0.565
RGI60-14.00007,0.481,0.481,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.595,0.545,0.537,0.537,0.531,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.537,0.531,0.537,0.537,0.485,0.485,0.531,0.531,0.531,0.537,0.537,0.537,0.545,0.545,0.545,0.545,0.546,0.595,0.595,0.595,0.508,0.508,0.508,0.495,0.493,0.491,0.491,0.491,0.481,0.472,0.472,0.472,0.472,0.472,0.472,0.472,0.474,0.502,0.502,0.476,0.476,0.474,0.477
RGI60-14.00008,0.543,0.543,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.643,0.597,0.589,0.589,0.583,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.589,0.583,0.589,0.589,0.558,0.558,0.583,0.583,0.583,0.589,0.589,0.589,0.597,0.597,0.597,0.597,0.604,0.643,0.643,0.643,0.581,0.581,0.581,0.571,0.569,0.568,0.568,0.568,0.556,0.548,0.548,0.548,0.548,0.548,0.548,0.548,0.55,0.564,0.564,0.551,0.551,0.55,0.551
RGI60-14.00009,0.554,0.554,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.653,0.607,0.599,0.599,0.594,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.594,0.599,0.599,0.569,0.569,0.594,0.594,0.594,0.599,0.599,0.599,0.607,0.607,0.607,0.607,0.614,0.653,0.653,0.653,0.591,0.591,0.591,0.581,0.579,0.578,0.578,0.578,0.567,0.559,0.559,0.559,0.559,0.559,0.559,0.559,0.561,0.575,0.575,0.562,0.562,0.561,0.562
RGI60-14.00010,0.614,0.614,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.663,0.656,0.656,0.651,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.651,0.656,0.656,0.628,0.628,0.651,0.651,0.651,0.656,0.656,0.656,0.663,0.663,0.663,0.663,0.669,0.705,0.705,0.705,0.648,0.648,0.648,0.639,0.637,0.636,0.636,0.636,0.626,0.619,0.619,0.619,0.619,0.619,0.619,0.619,0.62,0.633,0.633,0.621,0.621,0.62,0.621
RGI60-14.00011,0.593,0.593,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.687,0.643,0.636,0.636,0.631,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.636,0.631,0.636,0.636,0.607,0.607,0.631,0.631,0.631,0.636,0.636,0.636,0.643,0.643,0.643,0.643,0.65,0.687,0.687,0.687,0.628,0.628,0.628,0.618,0.616,0.615,0.615,0.615,0.605,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.599,0.613,0.613,0.6,0.6,0.599,0.6
