outline_id,glacier_id,latitude,longitude,area_km2
G050084E32354N,,32.35415,50.08384,0.004
G050113E32303N,,32.30279,50.11258,0.002
G050033E32410N,197248,32.40953,50.03366,0.033
G052128E35950N,,35.94982,52.12767,0.0
G050053E32398N,,32.3981,50.05345,0.003
G050113E32282N,,32.28206,50.11262,0.005
G050047E32395N,,32.39531,50.04719,0.002
G050019E32424N,197236,32.42392,50.01926,0.014
G050110E32310N,,32.31038,50.1103,0.011
G050029E32422N,197246,32.42244,50.0283,0.037
G050111E32288N,197297,32.28785,50.11083,0.015
G050750E36318N,,36.31842,50.75037,0.012
G050079E32364N,197267,32.36393,50.08665,0.534
G050090E32337N,197281,32.33701,50.09037,0.031
G050064E32398N,,32.39799,50.0644,0.012
G050668E36515N,,36.51479,50.66837,0.001
G047796E38263N,197133,38.26142,47.79628,1.647
G050987E36337N,197338,36.33674,50.98652,0.052
G050016E32428N,197234,32.42816,50.0154,0.04
G050087E32336N,,32.33604,50.08675,0.004
G048488E34664N,197211,34.66365,48.49066,0.135
G050098E32288N,,32.28785,50.09816,0.006
G050086E32398N,,32.39778,50.08686,0.006
G050115E32293N,,32.29422,50.11595,0.0
G050050E32404N,,32.40425,50.04986,0.002
G050083E32363N,197273,32.36249,50.08318,0.028
G050070E32385N,,32.38509,50.07047,0.006
G049346E33322N,,33.32203,49.34649,0.004
G047795E38242N,,38.24131,47.79476,0.005
G051445E30944N,,30.94393,51.44475,0.001
G050133E32309N,,32.30889,50.13343,0.002
G050042E32404N,,32.40398,50.04066,0.018
G050018E32416N,,32.4161,50.01824,0.003
G050015E32425N,197233,32.42542,50.01471,0.031
G051446E30945N,,30.94525,51.44627,0.0
G050082E32388N,,32.38847,50.08199,0.003
G049328E33334N,197216,33.33374,49.32716,1.075
G050109E32289N,,32.28904,50.10935,0.002
G050044E32408N,,32.40785,50.04429,0.007
G050091E32384N,,32.38418,50.09063,0.007
G050017E32420N,,32.41965,50.01705,0.006
G050699E36510N,,36.51037,50.69869,0.0
G050017E32455N,197235,32.45512,50.01697,0.115
G050086E32375N,,32.37504,50.08626,0.007
G050028E32398N,,32.39759,50.02743,0.004
G050976E36346N,197336,36.34602,50.97502,0.027
G050053E32400N,,32.39961,50.05244,0.004
G050066E32394N,,32.39355,50.06609,0.004
G047805E38230N,197137,38.23043,47.80505,0.373
G050967E36341N,197333,36.34141,50.96614,0.068
G048488E34662N,,34.66215,48.48843,0.0
G051444E30947N,,30.94652,51.44462,0.049
G050090E32350N,197282,32.34986,50.08966,0.202
G052124E35966N,197366,35.96597,52.1234,0.067
G049369E33300N,,33.29947,49.36865,0.001
G049274E33348N,197212,33.34748,49.27485,0.073
G050714E36326N,197320,36.32466,50.71427,0.065
G050113E32278N,,32.2784,50.11327,0.001
G050128E32314N,,32.31446,50.12817,0.004
G050020E32419N,,32.41924,50.02013,0.002
G050958E36364N,197329,36.36384,50.9597,0.873
G041844E43212N,,43.21239,41.84355,0.015
G043476E42892N,,42.89201,43.47585,0.161
G041792E43213N,,43.21347,41.79232,0.017
G043395E43025N,,43.02516,43.39505,0.032
G042773E43103N,195947,43.1031,42.77296,0.033
G042885E43112N,196002,43.11225,42.88534,0.052
G043128E42966N,196125,42.96542,43.13187,2.295
G041599E43365N,195154,43.36515,41.59903,0.058
G041229E43392N,22067,43.38893,41.22175,2.62
G043497E42896N,196316,42.89582,43.49556,0.165
G042851E43135N,22223,43.1361,42.85057,1.275
G044036E42768N,196543,42.76756,44.03623,0.065
G042464E43376N,195734,43.37782,42.4646,5.351
G042998E43127N,196082,43.12684,42.998,0.021
G043799E42743N,196439,42.74298,43.79848,0.115
G042312E43114N,195631,43.11401,42.31138,0.085
G041722E43259N,195186,43.2604,41.72142,0.506
G043347E42895N,22234,42.89731,43.34372,1.634
G041311E43356N,195051,43.35562,41.31079,0.084
G045643E42514N,196885,42.51359,45.6426,0.806
G042803E43133N,,43.13311,42.80267,0.048
G041842E43335N,195235,43.33479,41.84195,0.044
G042264E43242N,195598,43.24147,42.26387,0.364
G042667E43184N,195894,43.18416,42.66705,0.153
G042229E42805N,195562,42.80457,42.22927,0.033
G045047E42635N,,42.63476,45.04725,0.012
G043595E42855N,196358,42.85519,43.59522,0.139
G042897E43253N,196009,43.25278,42.89403,0.809
G042096E43111N,195431,43.11105,42.09536,0.046
G042496E42933N,22189,42.93362,42.49263,0.76
G041090E43423N,194968,43.42239,41.08971,0.912
G043679E42806N,196384,42.806,43.67907,0.037
G043100E43030N,703,43.04049,43.08313,37.499
G042167E43230N,195500,43.23019,42.16737,0.093
G047994E41276N,197190,41.27564,47.99384,0.024
G041662E43247N,195167,43.24639,41.66228,0.043
G042186E42842N,195516,42.84165,42.18568,0.019
G043199E43080N,196170,43.07802,43.20129,1.487
G043088E43135N,22083,43.13487,43.08657,0.47
G043763E42801N,196418,42.8008,43.75791,1.547
G045286E42541N,196835,42.54122,45.28601,0.245
G042031E43164N,195380,43.16425,42.03113,0.113
G045556E42548N,196866,42.54662,45.55368,1.542
G042068E43221N,195403,43.22081,42.06748,0.131
G043194E42975N,196163,42.97504,43.1949,0.164
G041365E43364N,195067,43.36443,41.36518,0.033
G042956E43281N,22015,43.28074,42.9494,0.969
G042595E43343N,195857,43.34344,42.59506,0.221
G044302E42566N,22147,42.56665,44.30091,0.869
G039930E43993N,194861,43.99326,39.93012,0.026
G044091E42736N,196558,42.73642,44.09028,0.024
G042177E43174N,195506,43.17369,42.17711,0.021
G043969E42549N,196527,42.54841,43.97157,0.153
G045091E42714N,196821,42.71384,45.09104,0.098
G042145E43219N,195480,43.21899,42.1443,0.17
G043614E42831N,196364,42.83122,43.61445,0.121
G045299E42550N,196845,42.55021,45.29952,0.117
G041781E43317N,195199,43.31686,41.78094,0.028
G042103E43122N,195437,43.12195,42.10337,0.028
G047880E41222N,22022,41.22254,47.87916,0.559
G041254E43418N,,43.4181,41.25428,0.032
G041865E43241N,195259,43.24086,41.8654,0.043
G042163E43252N,195498,43.25223,42.1634,0.022
G045727E42479N,196909,42.47971,45.72805,0.16
G040765E43517N,194949,43.51686,40.76504,0.019
G042321E43226N,22137,43.22553,42.31833,1.811
G042546E43329N,195809,43.32954,42.54641,0.039
G044776E42645N,196769,42.64455,44.77568,0.221
G043916E42744N,196502,42.74351,43.91621,0.168
G042163E43174N,22170,43.17402,42.16643,1.001
G042438E43257N,22180,43.2568,42.43147,1.299
G041256E43367N,195035,43.36646,41.25574,0.03
G042705E43191N,195905,43.19306,42.69846,0.167
G042757E42910N,195938,42.90961,42.75286,0.184
G048004E41266N,197195,41.26638,48.004,0.021
G045289E42615N,196838,42.61464,45.28839,0.083
G043100E42992N,,42.99198,43.10023,0.037
G044304E42575N,196630,42.57499,44.30367,0.133
G045771E42501N,196922,42.50067,45.77171,0.1
G042028E43176N,195373,43.17567,42.02763,0.03
G041969E43262N,195332,43.26179,41.96912,0.083
G042960E43092N,196066,43.09256,42.95376,0.253
G043133E43077N,,43.07612,43.13227,0.332
G042670E43120N,195896,43.12025,42.67041,0.043
G041576E43358N,195130,43.35765,41.57555,0.106
G040407E43895N,,43.89451,40.40712,0.005
G042236E42799N,195569,42.7993,42.23556,0.043
G041420E43480N,195080,43.47989,41.4196,0.035
G042386E43249N,22128,43.24991,42.3928,2.083
G043170E42727N,196144,42.7269,43.17118,0.178
G042479E42941N,195746,42.9413,42.47566,0.181
G043187E43105N,,43.1049,43.18671,0.015
G042051E43264N,195393,43.26455,42.05078,0.116
G041119E43442N,194980,43.44244,41.11872,0.062
G043158E42967N,196139,42.9674,43.15806,0.028
G042581E42915N,22146,42.91672,42.57203,2.377
G042022E43205N,195365,43.20493,42.02199,0.025
G045646E42497N,196887,42.49731,45.64603,0.115
G041960E43213N,22114,43.2131,41.96153,1.058
G043185E43016N,196152,43.01642,43.1845,0.032
G042908E43257N,22296,43.2572,42.90017,0.538
G041736E43232N,195191,43.23165,41.73635,0.362
G043805E42793N,196446,42.79279,43.80445,0.057
G046489E42236N,196978,42.23545,46.48904,0.047
G042099E43274N,195435,43.27401,42.09878,0.197
G043420E42926N,196274,42.92553,43.41929,0.111
G043669E42842N,22115,42.84189,43.66677,0.662
G042108E43298N,195441,43.29736,42.10788,0.041
G043195E43049N,,43.04935,43.19365,0.205
G042399E43373N,764,43.37319,42.40141,1.838
G044508E42671N,196713,42.66979,44.50705,0.363
G041249E43423N,195032,43.42259,41.24869,0.169
G046242E42339N,196955,42.33902,46.24006,0.388
G045076E42704N,196816,42.70427,45.07553,0.105
G045648E42491N,196889,42.49068,45.64768,0.043
G043763E42834N,196419,42.83361,43.76297,0.074
G045788E42486N,196929,42.48622,45.78754,0.082
G040265E43764N,194893,43.7636,40.26541,0.013
G043422E42976N,196276,42.97628,43.42012,0.186
G042933E43269N,196041,43.26889,42.9328,0.344
G042382E43338N,22177,43.3377,42.38116,0.521
G042617E42913N,195867,42.91314,42.61639,0.043
G044059E42746N,22254,42.74482,44.06108,0.601
G041974E43268N,195334,43.26824,41.97422,0.109
G043462E42972N,,42.97227,43.45844,0.372
G042562E43340N,195825,43.34016,42.55731,0.052
G044515E42723N,196715,42.72374,44.51548,0.237
G042588E43341N,195848,43.33972,42.58363,0.588
G042788E43204N,,43.20575,42.78298,0.392
G042572E43176N,195835,43.17581,42.57236,0.056
G043516E42952N,,42.95227,43.51666,0.117
G041561E43266N,22080,43.26568,41.56248,3.877
G042953E43152N,196063,43.15256,42.94372,2.5
G043340E42906N,22233,42.90498,43.33613,0.608
G044521E42725N,196720,42.72512,44.52141,0.126
G040508E43529N,194924,43.52832,40.5071,0.361
G041242E43409N,195026,43.40875,41.24215,0.101
G043629E42803N,22135,42.80296,43.6271,1.818
G043502E42881N,196319,42.88134,43.5017,0.031
G043138E43082N,,43.0815,43.13836,0.011
G042928E43272N,22011,43.27102,42.92193,0.865
G043660E42646N,196378,42.64625,43.65997,0.084
G041279E43356N,195044,43.35563,41.27861,0.058
G042038E43201N,,43.20072,42.03794,0.027
G044731E42633N,196748,42.63331,44.73155,0.092
G044418E42720N,196697,42.72031,44.41859,0.164
G041834E43338N,22064,43.33915,41.83611,0.644
G041880E43293N,195273,43.29327,41.88031,0.261
G043112E43131N,196117,43.13092,43.1121,0.059
G041520E43315N,,43.31537,41.52009,0.01
G042583E43378N,195844,43.37817,42.58313,0.057
G042632E43304N,,43.30367,42.63231,0.013
G042301E43221N,195618,43.22091,42.30111,0.11
G046193E42303N,22311,42.30331,46.18718,1.043
G044240E42694N,,42.69447,44.24024,0.016
G044302E42742N,,42.74188,44.30172,0.018
G043732E42593N,196400,42.59267,43.7324,0.025
G041548E43251N,195121,43.2506,41.55193,0.21
G042752E43244N,22217,43.24345,42.74122,1.305
G043190E43014N,196157,43.01407,43.18939,0.048
G043261E43060N,,43.05959,43.26043,0.062
G042603E43148N,22202,43.14993,42.59837,0.469
G040931E43457N,194954,43.45568,40.93211,0.079
G043884E42750N,196485,42.75151,43.88715,1.868
G041891E43277N,195279,43.27706,41.89138,0.064
G041678E43220N,195173,43.21936,41.67846,0.219
G041682E43195N,195174,43.19472,41.68184,0.026
G041932E43191N,195308,43.19213,41.93077,0.322
G042878E43227N,22121,43.22619,42.87453,0.674
G042012E43228N,195354,43.22579,42.01384,0.117
G044236E42699N,196597,42.69809,44.23731,0.031
G042973E43049N,,43.04795,42.97284,0.62
G041857E42987N,195248,42.98715,41.85733,0.17
G045069E42695N,196814,42.69525,45.06928,0.059
G043376E42914N,196243,42.91401,43.37615,0.127
G041891E43270N,22027,43.2703,41.88944,0.732
G042323E43112N,195639,43.11194,42.32327,0.075
G041997E43219N,195348,43.21923,42.00223,1.718
G041856E43269N,195247,43.2692,41.8557,0.047
G042821E43284N,195969,43.28407,42.82072,0.024
G043575E42860N,196347,42.86051,43.57553,0.114
G044473E42702N,196703,42.70206,44.4732,0.045
G040422E43729N,194909,43.72921,40.42255,0.328
G044154E42764N,196576,42.76383,44.15461,0.071
G041707E43284N,195180,43.28409,41.70683,0.104
G041950E43226N,22038,43.22394,41.951,0.456
G043265E43013N,196213,43.01244,43.26416,0.081
G043855E42593N,196473,42.59293,43.85538,0.025
G045528E42547N,196861,42.54674,45.52816,0.06
G042470E43131N,22186,43.13268,42.4674,0.934
G047284E41517N,197091,41.51659,47.28392,0.042
G042376E43328N,,43.32816,42.37554,0.016
G041190E43282N,194999,43.28005,41.19535,0.814
G041507E43305N,22065,43.30532,41.50385,1.18
G041966E43270N,195330,43.26998,41.96605,0.11
G044775E42659N,,42.65888,44.77472,0.031
G042565E42925N,22196,42.92913,42.56185,1.064
G043583E42820N,196352,42.81941,43.58177,0.085
G043251E43013N,196210,43.01353,43.24981,0.334
G041711E43283N,,43.28319,41.7112,0.016
G043753E42795N,,42.79469,43.75313,0.051
G045599E42530N,196875,42.53049,45.5985,0.047
G042471E43245N,195738,43.24544,42.46773,0.057
G043717E42797N,196395,42.79602,43.71766,0.772
G042160E43230N,195495,43.2302,42.15895,0.1
G043782E42808N,196431,42.80798,43.782,0.054
G043949E42568N,196519,42.56794,43.95013,0.176
G043754E42615N,,42.61498,43.75319,0.023
G041938E43234N,195310,43.23375,41.9394,0.363
G044428E42697N,196700,42.69683,44.42907,0.084
G041287E43418N,,43.41795,41.28646,0.021
G041715E43247N,22047,43.24579,41.71844,0.414
G043849E42743N,196471,42.74255,43.84925,0.055
G040443E43724N,194916,43.72411,40.4425,0.029
G043474E42963N,,42.96252,43.47255,0.421
G041322E43358N,195057,43.35826,41.32174,0.086
G044330E42751N,196651,42.75004,44.33107,0.282
G042028E43170N,195372,43.17004,42.02942,0.215
G043698E42782N,196390,42.78193,43.69994,0.196
G043995E42543N,196534,42.54348,43.99473,0.04
G042806E43129N,195960,43.12981,42.80168,0.108
G042480E42919N,195747,42.91924,42.47884,0.076
G042663E43179N,195890,43.17927,42.66274,0.023
G042759E43219N,195941,43.2186,42.75529,0.028
G040977E43436N,194958,43.43541,40.9771,0.032
G042769E43214N,3957,43.21286,42.76446,0.153
G043514E42995N,,42.99538,43.51412,0.016
G042320E43218N,195637,43.21824,42.31962,0.12
G044517E42715N,766,42.70935,44.51794,4.411
G041088E43473N,194967,43.47286,41.0882,0.014
G040215E43791N,194875,43.79109,40.21541,0.064
