outline_id,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
G050084E32354N,-0.579,-0.422,-0.206,-0.293,-0.319,-0.705,-0.677,-0.282,-0.279,-0.617,-0.588,-0.809,0.265,-0.029,-0.207,0.246,-0.944,0.556,-0.084,-0.994,-0.134,0.386,-0.764,0.436,-0.224,0.586,-0.164,0.526,-0.764,0.566,-0.824,0.392,-0.131,-0.439,1.158,0.532,0.159,0.352,-0.061,0.114,0.87,-0.533,0.141,0.027,0.358,-1.105,-0.553,-0.981,-0.555,0.477,0.35,0.639,0.428,-0.614,-1.269,-0.291,-0.169,-1.078,-0.78,-1.192,-0.31,-1.15,-0.918,-0.779,-0.878,-0.296,-0.598,-1.272,-0.195,-0.719,-0.36,-0.859,-0.53
G050113E32303N,-0.579,-0.422,-0.206,-0.293,-0.319,-0.705,-0.677,-0.282,-0.279,-0.617,-0.588,-0.809,0.265,-0.029,-0.207,0.246,-0.944,0.556,-0.084,-0.994,-0.134,0.386,-0.764,0.436,-0.224,0.586,-0.164,0.526,-0.764,0.566,-0.824,0.392,-0.131,-0.439,1.158,0.532,0.159,0.352,-0.061,0.114,0.87,-0.533,0.141,0.027,0.358,-1.105,-0.553,-0.981,-0.555,0.477,0.35,0.639,0.428,-0.614,-1.269,-0.291,-0.169,-1.078,-0.78,-1.192,-0.31,-1.15,-0.918,-0.779,-0.878,-0.296,-0.598,-1.272,-0.195,-0.719,-0.36,-0.859,-0.53
G050033E32410N,-0.318,-0.169,0.037,-0.046,-0.07,-0.438,-0.411,-0.036,-0.033,-0.354,-0.326,-0.536,0.485,0.205,0.036,0.519,-0.671,0.829,0.189,-0.721,0.139,0.659,-0.491,0.709,0.049,0.859,0.109,0.799,-0.491,0.839,-0.551,0.668,0.151,-0.174,1.381,0.792,0.429,0.612,0.221,0.396,1.107,-0.245,0.41,0.303,0.625,-0.856,-0.293,-0.707,-0.29,0.741,0.615,0.889,0.691,-0.337,-0.94,-0.021,0.096,-0.811,-0.506,-0.896,-0.027,-0.852,-0.646,-0.514,-0.602,-0.061,-0.336,-1.004,0.062,-0.472,-0.128,-0.626,-0.283
G052128E35950N,-0.579,-0.422,-0.206,-0.293,-0.319,-0.705,-0.677,-0.282,-0.279,-0.617,-0.588,-0.809,0.265,-0.029,-0.207,0.246,-0.944,0.556,-0.084,-0.994,-0.134,0.386,-0.764,0.436,-0.224,0.586,-0.164,0.526,-0.764,0.566,-0.824,0.392,-0.131,-0.439,1.158,0.532,0.159,0.352,-0.061,0.114,0.87,-0.533,0.141,0.027,0.358,-1.105,-0.553,-0.981,-0.555,0.477,0.35,0.639,0.428,-0.614,-1.269,-0.291,-0.169,-1.078,-0.78,-1.192,-0.31,-1.15,-0.918,-0.779,-0.878,-0.296,-0.598,-1.272,-0.195,-0.719,-0.36,-0.859,-0.53
G050053E32398N,-0.579,-0.422,-0.206,-0.293,-0.319,-0.705,-0.677,-0.282,-0.279,-0.617,-0.588,-0.809,0.265,-0.029,-0.207,0.246,-0.944,0.556,-0.084,-0.994,-0.134,0.386,-0.764,0.436,-0.224,0.586,-0.164,0.526,-0.764,0.566,-0.824,0.392,-0.131,-0.439,1.158,0.532,0.159,0.352,-0.061,0.114,0.87,-0.533,0.141,0.027,0.358,-1.105,-0.553,-0.981,-0.555,0.477,0.35,0.639,0.428,-0.614,-1.269,-0.291,-0.169,-1.078,-0.78,-1.192,-0.31,-1.15,-0.918,-0.779,-0.878,-0.296,-0.598,-1.272,-0.195,-0.719,-0.36,-0.859,-0.53
G050113E32282N,-0.579,-0.422,-0.206,-0.293,-0.319,-0.705,-0.677,-0.282,-0.279,-0.617,-0.588,-0.809,0.265,-0.029,-0.207,0.246,-0.944,0.556,-0.084,-0.994,-0.134,0.386,-0.764,0.436,-0.224,0.586,-0.164,0.526,-0.764,0.566,-0.824,0.392,-0.131,-0.439,1.158,0.532,0.159,0.352,-0.061,0.114,0.87,-0.533,0.141,0.027,0.358,-1.105,-0.553,-0.981,-0.555,0.477,0.35,0.639,0.428,-0.614,-1.269,-0.291,-0.169,-1.078,-0.78,-1.192,-0.31,-1.15,-0.918,-0.779,-0.878,-0.296,-0.598,-1.272,-0.195,-0.719,-0.36,-0.859,-0.53
G050047E32395N,-0.579,-0.422,-0.206,-0.293,-0.319,-0.705,-0.677,-0.282,-0.279,-0.617,-0.588,-0.809,0.265,-0.029,-0.207,0.246,-0.944,0.556,-0.084,-0.994,-0.134,0.386,-0.764,0.436,-0.224,0.586,-0.164,0.526,-0.764,0.566,-0.824,0.392,-0.131,-0.439,1.158,0.532,0.159,0.352,-0.061,0.114,0.87,-0.533,0.141,0.027,0.358,-1.105,-0.553,-0.981,-0.555,0.477,0.35,0.639,0.428,-0.614,-1.269,-0.291,-0.169,-1.078,-0.78,-1.192,-0.31,-1.15,-0.918,-0.779,-0.878,-0.296,-0.598,-1.272,-0.195,-0.719,-0.36,-0.859,-0.53
G050019E32424N,-0.126,0.024,0.229,0.146,0.122,-0.246,-0.219,0.156,0.159,-0.162,-0.134,-0.344,0.677,0.397,0.228,0.711,-0.479,1.021,0.381,-0.529,0.331,0.851,-0.299,0.901,0.241,1.051,0.301,0.991,-0.299,1.031,-0.359,0.86,0.343,0.018,1.573,0.984,0.621,0.804,0.413,0.588,1.299,-0.053,0.602,0.495,0.817,-0.664,-0.101,-0.515,-0.097,0.933,0.807,1.081,0.883,-0.145,-0.748,0.171,0.288,-0.619,-0.314,-0.704,0.165,-0.66,-0.454,-0.322,-0.41,0.131,-0.144,-0.812,0.254,-0.279,0.064,-0.434,-0.091
G050110E32310N,-0.579,-0.422,-0.206,-0.293,-0.319,-0.705,-0.677,-0.282,-0.279,-0.617,-0.588,-0.809,0.265,-0.029,-0.207,0.246,-0.944,0.556,-0.084,-0.994,-0.134,0.386,-0.764,0.436,-0.224,0.586,-0.164,0.526,-0.764,0.566,-0.824,0.392,-0.131,-0.439,1.158,0.532,0.159,0.352,-0.061,0.114,0.87,-0.533,0.141,0.027,0.358,-1.105,-0.553,-0.981,-0.555,0.477,0.35,0.639,0.428,-0.614,-1.269,-0.291,-0.169,-1.078,-0.78,-1.192,-0.31,-1.15,-0.918,-0.779,-0.878,-0.296,-0.598,-1.272,-0.195,-0.719,-0.36,-0.859,-0.53
G050029E32422N,0.161,0.31,0.515,0.432,0.408,0.041,0.068,0.443,0.446,0.124,0.152,-0.058,0.964,0.684,0.515,0.997,-0.193,1.307,0.667,-0.243,0.617,1.137,-0.013,1.187,0.527,1.337,0.587,1.277,-0.013,1.317,-0.073,1.146,0.63,0.304,1.859,1.27,0.908,1.09,0.7,0.875,1.586,0.233,0.888,0.781,1.104,-0.377,0.185,-0.228,0.189,1.219,1.094,1.368,1.17,0.141,-0.461,0.458,0.574,-0.332,-0.027,-0.418,0.452,-0.374,-0.168,-0.036,-0.124,0.417,0.143,-0.525,0.54,0.007,0.35,-0.147,0.196
G050111E32288N,-0.218,-0.069,0.136,0.053,0.029,-0.338,-0.312,0.064,0.067,-0.255,-0.227,-0.437,0.584,0.304,0.136,0.618,-0.572,0.928,0.288,-0.622,0.238,0.758,-0.392,0.808,0.148,0.958,0.208,0.898,-0.392,0.938,-0.452,0.767,0.251,-0.075,1.48,0.891,0.529,0.711,0.321,0.496,1.207,-0.146,0.509,0.402,0.724,-0.756,-0.194,-0.607,-0.19,0.84,0.715,0.988,0.791,-0.238,-0.84,0.079,0.195,-0.711,-0.406,-0.797,0.073,-0.753,-0.547,-0.415,-0.503,0.038,-0.236,-0.904,0.161,-0.372,-0.029,-0.526,-0.184
G050750E36318N,-0.579,-0.422,-0.206,-0.293,-0.319,-0.705,-0.677,-0.282,-0.279,-0.617,-0.588,-0.809,0.265,-0.029,-0.207,0.246,-0.944,0.556,-0.084,-0.994,-0.134,0.386,-0.764,0.436,-0.224,0.586,-0.164,0.526,-0.764,0.566,-0.824,0.392,-0.131,-0.439,1.158,0.532,0.159,0.352,-0.061,0.114,0.87,-0.533,0.141,0.027,0.358,-1.105,-0.553,-0.981,-0.555,0.477,0.35,0.639,0.428,-0.614,-1.269,-0.291,-0.169,-1.078,-0.78,-1.192,-0.31,-1.15,-0.918,-0.779,-0.878,-0.296,-0.598,-1.272,-0.195,-0.719,-0.36,-0.859,-0.53
G050079E32364N,-0.112,0.037,0.242,0.159,0.135,-0.232,-0.205,0.17,0.173,-0.149,-0.121,-0.331,0.691,0.411,0.242,0.724,-0.466,1.034,0.394,-0.516,0.344,0.864,-0.286,0.914,0.254,1.064,0.314,1.004,-0.286,1.044,-0.346,0.874,0.357,0.031,1.586,0.997,0.635,0.817,0.427,0.602,1.313,-0.039,0.615,0.509,0.831,-0.65,-0.087,-0.501,-0.084,0.947,0.821,1.095,0.897,-0.132,-0.734,0.185,0.301,-0.605,-0.3,-0.691,0.179,-0.647,-0.44,-0.309,-0.396,0.145,-0.13,-0.798,0.267,-0.266,0.077,-0.42,-0.077
G050090E32337N,0.143,0.292,0.497,0.414,0.39,0.023,0.05,0.425,0.428,0.106,0.134,-0.076,0.946,0.666,0.497,0.979,-0.211,1.289,0.649,-0.261,0.599,1.119,-0.031,1.169,0.509,1.319,0.569,1.259,-0.031,1.299,-0.091,1.129,0.612,0.286,1.841,1.252,0.89,1.072,0.682,0.857,1.568,0.216,0.87,0.764,1.086,-0.395,0.168,-0.246,0.171,1.202,1.076,1.35,1.152,0.123,-0.479,0.44,0.556,-0.35,-0.045,-0.436,0.434,-0.392,-0.185,-0.054,-0.141,0.399,0.125,-0.543,0.522,-0.011,0.332,-0.165,0.178
G050064E32398N,-0.579,-0.422,-0.206,-0.293,-0.319,-0.705,-0.677,-0.282,-0.279,-0.617,-0.588,-0.809,0.265,-0.029,-0.207,0.246,-0.944,0.556,-0.084,-0.994,-0.134,0.386,-0.764,0.436,-0.224,0.586,-0.164,0.526,-0.764,0.566,-0.824,0.392,-0.131,-0.439,1.158,0.532,0.159,0.352,-0.061,0.114,0.87,-0.533,0.141,0.027,0.358,-1.105,-0.553,-0.981,-0.555,0.477,0.35,0.639,0.428,-0.614,-1.269,-0.291,-0.169,-1.078,-0.78,-1.192,-0.31,-1.15,-0.918,-0.779,-0.878,-0.296,-0.598,-1.272,-0.195,-0.719,-0.36,-0.859,-0.53
G050668E36515N,-0.579,-0.422,-0.206,-0.293,-0.319,-0.705,-0.677,-0.282,-0.279,-0.617,-0.588,-0.809,0.265,-0.029,-0.207,0.246,-0.944,0.556,-0.084,-0.994,-0.134,0.386,-0.764,0.436,-0.224,0.586,-0.164,0.526,-0.764,0.566,-0.824,0.392,-0.131,-0.439,1.158,0.532,0.159,0.352,-0.061,0.114,0.87,-0.533,0.141,0.027,0.358,-1.105,-0.553,-0.981,-0.555,0.477,0.35,0.639,0.428,-0.614,-1.269,-0.291,-0.169,-1.078,-0.78,-1.192,-0.31,-1.15,-0.918,-0.779,-0.878,-0.296,-0.598,-1.272,-0.195,-0.719,-0.36,-0.859,-0.53
G047796E38263N,-0.326,-0.176,0.03,-0.053,-0.078,-0.447,-0.42,-0.043,-0.04,-0.363,-0.335,-0.546,0.48,0.199,0.029,0.509,-0.681,0.819,0.179,-0.731,0.129,0.649,-0.501,0.699,0.039,0.849,0.099,0.789,-0.501,0.829,-0.561,0.658,0.14,-0.183,1.379,0.784,0.42,0.604,0.21,0.386,1.103,-0.257,0.401,0.293,0.616,-0.862,-0.301,-0.716,-0.298,0.733,0.607,0.883,0.683,-0.347,-0.958,-0.03,0.087,-0.819,-0.515,-0.909,-0.038,-0.866,-0.655,-0.523,-0.612,-0.065,-0.344,-1.013,0.055,-0.477,-0.132,-0.629,-0.289
G050987E36337N,-0.951,-0.801,-0.595,-0.678,-0.702,-1.071,-1.044,-0.668,-0.665,-0.987,-0.959,-1.17,-0.146,-0.426,-0.596,-0.115,-1.305,0.195,-0.445,-1.355,-0.495,0.025,-1.125,0.075,-0.585,0.225,-0.525,0.165,-1.125,0.205,-1.185,0.034,-0.483,-0.807,0.752,0.16,-0.204,-0.02,-0.413,-0.238,0.477,-0.88,-0.223,-0.331,-0.008,-1.487,-0.925,-1.34,-0.922,0.108,-0.017,0.258,0.059,-0.971,-1.578,-0.654,-0.537,-1.443,-1.139,-1.532,-0.661,-1.488,-1.279,-1.147,-1.236,-0.691,-0.968,-1.637,-0.57,-1.103,-0.758,-1.256,-0.914
G050016E32428N,-0.409,-0.26,-0.054,-0.137,-0.161,-0.529,-0.502,-0.127,-0.124,-0.445,-0.417,-0.627,0.394,0.114,-0.055,0.428,-0.762,0.738,0.098,-0.812,0.048,0.568,-0.582,0.618,-0.042,0.768,0.018,0.708,-0.582,0.748,-0.642,0.577,0.06,-0.265,1.29,0.701,0.338,0.521,0.13,0.305,1.016,-0.336,0.319,0.212,0.534,-0.947,-0.384,-0.798,-0.38,0.65,0.524,0.798,0.6,-0.428,-1.031,-0.112,0.005,-0.902,-0.597,-0.987,-0.118,-0.943,-0.737,-0.605,-0.693,-0.152,-0.427,-1.095,-0.029,-0.563,-0.219,-0.717,-0.374
