outline_id,glacier_id,latitude,longitude,area_km2
RGI60-11.00001,134185,47.4949,13.5987,0.122
RGI60-11.00002,535,47.4845,13.6135,2.292
RGI60-11.00003,134186,47.4835,13.596,0.851
RGI60-11.00004,134187,47.4807,13.5829,0.053
RGI60-11.00005,134188,47.4774,13.6026,0.057
RGI60-11.00006,134189,47.4708,13.6304,0.908
RGI60-11.00007,134190,47.4735,13.6143,0.014
RGI60-11.00008,134191,47.4288,13.0368,0.169
RGI60-11.00009,134192,47.4247,13.0484,0.327
RGI60-11.00010,134193,47.4248,13.0783,0.036
RGI60-11.00011,134194,47.4254,13.0419,0.037
RGI60-11.00012,134195,47.4242,13.0581,0.197
RGI60-11.00013,134196,47.198,12.7528,0.081
RGI60-11.00014,134197,47.1953,12.6823,0.912
RGI60-11.00015,134198,47.1964,12.6737,0.076
RGI60-11.00016,134199,47.1935,12.7581,0.032
RGI60-11.00017,134200,47.1897,12.7572,0.102
RGI60-11.00018,134201,47.1916,12.6916,0.103
RGI60-11.00019,134202,47.1848,12.6802,0.295
RGI60-11.00020,,47.183,12.7578,0.017
RGI60-11.00021,134203,47.1766,12.7675,0.645
RGI60-11.00022,134204,47.1893,12.3863,0.26
RGI60-11.00023,134205,47.1784,12.6836,0.055
RGI60-11.00024,134206,47.1827,12.3982,0.074
RGI60-11.00025,549,47.1648,12.7508,0.571
RGI60-11.00026,134208,47.1724,12.6766,0.044
RGI60-11.00027,134209,47.1644,12.766,0.157
RGI60-11.00028,134210,47.1631,12.6785,0.381
RGI60-11.00029,134211,47.1641,12.7448,0.072
RGI60-11.00030,134212,47.1615,12.7761,0.036
RGI60-11.00031,134213,47.1613,12.6697,0.272
RGI60-11.00032,134214,47.1631,12.6897,0.043
RGI60-11.00033,134215,47.1608,12.7616,0.037
RGI60-11.00034,134216,47.1779,12.1348,0.125
RGI60-11.00035,134217,47.1595,12.7569,0.025
RGI60-11.00036,134218,47.1571,12.7432,0.306
RGI60-11.00037,,47.1725,12.3401,0.013
RGI60-11.00038,134219,47.1586,12.6835,0.293
RGI60-11.00039,134220,47.1747,12.1413,0.065
RGI60-11.00040,134221,47.1634,12.3506,0.138
RGI60-11.00041,134222,47.1511,12.752,0.523
RGI60-11.00042,134223,47.1719,12.0875,0.058
RGI60-11.00043,134224,47.1699,12.1428,0.117
RGI60-11.00044,134225,47.1701,12.2199,0.014
RGI60-11.00045,134226,47.1499,12.7384,0.14
RGI60-11.00046,134227,47.1528,12.6781,0.207
RGI60-11.00047,134228,47.1386,12.7194,2.273
RGI60-11.00048,134229,47.1492,12.7699,0.074
RGI60-11.00049,134230,47.1398,12.7411,1.399
RGI60-11.00050,134231,47.1647,12.1491,0.245
RGI60-11.00051,134232,47.1591,12.3534,0.035
RGI60-11.00052,134233,47.157,12.3998,0.032
RGI60-11.00053,134234,47.1569,12.3562,0.058
RGI60-11.00054,134235,47.1487,12.3717,2.274
RGI60-11.00055,134236,47.1562,12.4033,0.019
RGI60-11.00056,134237,47.1466,12.6658,0.143
RGI60-11.00057,,47.1563,12.3493,0.011
RGI60-11.00058,134238,47.1541,12.3963,0.013
