outline_id,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-11.00001,0.775,0.775,0.775,0.775,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.939,0.784,0.784,0.784,0.903,0.78,0.78,0.875,0.867,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.776,0.776,0.775,0.775,0.775,0.775,0.775,0.775,0.775,0.775,0.775,0.775,0.775,0.775,0.775,0.764,0.764,0.764,0.739,0.739,0.739,0.739,0.739,0.739,0.737,0.737,0.737,0.736,0.736,0.736,0.736,0.735,0.735,0.736,0.735,0.735,0.735,0.735,0.735,0.735,0.734,0.734,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487
RGI60-11.00002,0.7,0.7,0.7,0.7,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.878,0.71,0.71,0.71,0.839,0.705,0.705,0.809,0.801,0.703,0.703,0.703,0.703,0.703,0.702,0.702,0.702,0.702,0.702,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.701,0.7,0.7,0.7,0.7,0.688,0.688,0.688,0.659,0.659,0.659,0.659,0.659,0.659,0.657,0.657,0.657,0.656,0.656,0.656,0.656,0.655,0.655,0.656,0.655,0.655,0.655,0.655,0.655,0.655,0.654,0.654,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178,0.178
RGI60-11.00003,0.703,0.703,0.703,0.703,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.711,0.711,0.711,0.841,0.707,0.707,0.811,0.803,0.704,0.704,0.704,0.704,0.704,0.703,0.703,0.703,0.703,0.703,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.702,0.701,0.701,0.701,0.701,0.689,0.689,0.689,0.66,0.66,0.66,0.66,0.66,0.66,0.659,0.659,0.659,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.656,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.355
RGI60-11.00004,0.827,0.827,0.827,0.827,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.833,0.833,0.833,0.947,0.829,0.829,0.92,0.913,0.827,0.827,0.827,0.827,0.827,0.826,0.826,0.826,0.826,0.826,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.825,0.814,0.814,0.814,0.79,0.79,0.79,0.79,0.79,0.79,0.788,0.788,0.788,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569
RGI60-11.00005,0.736,0.736,0.736,0.736,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.907,0.745,0.745,0.745,0.87,0.74,0.74,0.841,0.833,0.738,0.738,0.738,0.738,0.738,0.737,0.737,0.737,0.737,0.737,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.724,0.724,0.724,0.696,0.696,0.696,0.696,0.696,0.696,0.694,0.694,0.694,0.693,0.693,0.693,0.693,0.693,0.693,0.693,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.692,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413
RGI60-11.00006,0.702,0.702,0.702,0.702,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.713,0.713,0.713,0.841,0.708,0.708,0.811,0.803,0.706,0.706,0.706,0.706,0.706,0.705,0.705,0.705,0.705,0.705,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.691,0.691,0.691,0.662,0.662,0.662,0.662,0.662,0.662,0.66,0.66,0.66,0.659,0.659,0.659,0.659,0.658,0.658,0.659,0.658,0.658,0.658,0.657,0.657,0.657,0.657,0.657,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.347,0.347
RGI60-11.00007,0.887,0.887,0.887,0.887,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,1.033,0.894,0.894,0.894,1.0,0.891,0.891,0.975,0.968,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.888,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.887,0.877,0.877,0.877,0.854,0.854,0.854,0.854,0.854,0.854,0.853,0.853,0.853,0.852,0.852,0.852,0.852,0.851,0.851,0.852,0.851,0.851,0.851,0.851,0.851,0.851,0.85,0.85,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64
RGI60-11.00008,0.702,0.702,0.702,0.702,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.87,0.638,0.638,0.638,0.832,0.634,0.634,0.798,0.791,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.633,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.631,0.631,0.631,0.631,0.614,0.614,0.614,0.587,0.587,0.587,0.587,0.587,0.587,0.585,0.585,0.585,0.584,0.584,0.584,0.584,0.584,0.584,0.586,0.584,0.584,0.584,0.584,0.584,0.584,0.582,0.582,0.535,0.535,0.535,0.535,0.535,0.535,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.534,0.535
RGI60-11.00009,0.69,0.69,0.69,0.69,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.861,0.626,0.626,0.626,0.823,0.623,0.623,0.788,0.781,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.601,0.601,0.601,0.573,0.573,0.573,0.573,0.573,0.573,0.571,0.571,0.571,0.57,0.57,0.57,0.57,0.57,0.57,0.572,0.57,0.57,0.57,0.57,0.57,0.57,0.568,0.568,0.518,0.518,0.518,0.518,0.518,0.518,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.518
RGI60-11.00010,0.717,0.717,0.717,0.717,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.883,0.66,0.66,0.66,0.846,0.657,0.657,0.813,0.805,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.654,0.636,0.636,0.636,0.608,0.608,0.608,0.608,0.608,0.608,0.606,0.606,0.606,0.605,0.605,0.605,0.605,0.605,0.605,0.607,0.605,0.605,0.605,0.605,0.605,0.605,0.603,0.603,0.551,0.551,0.551,0.551,0.551,0.551,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.551
