outline_id,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-11.00001,0.676,0.676,0.676,0.676,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.686,0.686,0.686,0.82,0.682,0.682,0.789,0.78,0.679,0.679,0.679,0.679,0.679,0.678,0.678,0.678,0.678,0.678,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.664,0.664,0.664,0.634,0.634,0.634,0.634,0.634,0.634,0.632,0.632,0.632,0.631,0.631,0.631,0.631,0.63,0.63,0.631,0.63,0.63,0.63,0.63,0.63,0.63,0.629,0.629,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.306,0.307
RGI60-11.00002,0.677,0.677,0.677,0.677,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.687,0.687,0.687,0.82,0.683,0.683,0.789,0.781,0.68,0.68,0.68,0.68,0.68,0.679,0.679,0.679,0.679,0.679,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.677,0.677,0.677,0.677,0.665,0.665,0.665,0.635,0.635,0.635,0.635,0.635,0.635,0.633,0.633,0.633,0.632,0.632,0.632,0.631,0.631,0.631,0.631,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGI60-11.00003,0.676,0.676,0.676,0.676,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.685,0.685,0.685,0.819,0.68,0.68,0.788,0.78,0.678,0.678,0.678,0.678,0.678,0.677,0.677,0.677,0.677,0.677,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.662,0.662,0.662,0.632,0.632,0.632,0.632,0.632,0.632,0.63,0.63,0.63,0.629,0.629,0.629,0.629,0.628,0.628,0.629,0.628,0.628,0.628,0.628,0.628,0.628,0.627,0.627,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
RGI60-11.00004,0.676,0.676,0.676,0.676,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.683,0.683,0.683,0.819,0.679,0.679,0.788,0.779,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.675,0.675,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.674,0.661,0.661,0.661,0.63,0.63,0.63,0.63,0.63,0.63,0.628,0.628,0.628,0.627,0.627,0.627,0.627,0.626,0.626,0.627,0.626,0.626,0.626,0.626,0.626,0.626,0.625,0.625,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312
RGI60-11.00005,0.676,0.676,0.676,0.676,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.685,0.685,0.685,0.819,0.681,0.681,0.788,0.78,0.678,0.678,0.678,0.678,0.678,0.677,0.677,0.677,0.677,0.677,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.675,0.675,0.675,0.675,0.663,0.663,0.663,0.632,0.632,0.632,0.632,0.632,0.632,0.63,0.63,0.63,0.629,0.629,0.629,0.629,0.628,0.628,0.629,0.628,0.628,0.628,0.628,0.628,0.628,0.627,0.627,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292
RGI60-11.00006,0.677,0.677,0.677,0.677,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.688,0.688,0.688,0.82,0.683,0.683,0.789,0.781,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.679,0.679,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.678,0.665,0.665,0.665,0.635,0.635,0.635,0.635,0.635,0.635,0.633,0.633,0.633,0.631,0.631,0.631,0.631,0.631,0.631,0.631,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292,0.292
RGI60-11.00007,0.676,0.676,0.676,0.676,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.859,0.686,0.686,0.686,0.82,0.682,0.682,0.789,0.78,0.679,0.679,0.679,0.679,0.679,0.678,0.678,0.678,0.678,0.678,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.676,0.664,0.664,0.664,0.633,0.633,0.633,0.633,0.633,0.633,0.631,0.631,0.631,0.63,0.63,0.63,0.63,0.629,0.629,0.63,0.629,0.629,0.629,0.629,0.628,0.628,0.628,0.628,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.285
RGI60-11.00008,0.667,0.667,0.667,0.667,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.6,0.6,0.6,0.804,0.596,0.596,0.768,0.76,0.595,0.595,0.595,0.595,0.595,0.594,0.594,0.594,0.594,0.594,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.574,0.574,0.574,0.545,0.545,0.545,0.545,0.545,0.545,0.543,0.543,0.543,0.543,0.543,0.543,0.543,0.542,0.542,0.545,0.543,0.543,0.543,0.543,0.543,0.543,0.541,0.541,0.489,0.489,0.489,0.489,0.489,0.489,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.488,0.489
RGI60-11.00009,0.668,0.668,0.668,0.668,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.601,0.601,0.601,0.804,0.597,0.597,0.769,0.761,0.596,0.596,0.596,0.596,0.596,0.595,0.595,0.595,0.595,0.595,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.575,0.575,0.575,0.545,0.545,0.545,0.545,0.545,0.545,0.543,0.543,0.543,0.542,0.542,0.542,0.542,0.542,0.542,0.544,0.542,0.542,0.542,0.542,0.542,0.542,0.54,0.54,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.488
RGI60-11.00010,0.668,0.668,0.668,0.668,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.606,0.606,0.606,0.805,0.603,0.603,0.77,0.762,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.601,0.6,0.6,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.58,0.58,0.58,0.549,0.549,0.549,0.549,0.549,0.549,0.547,0.547,0.547,0.546,0.546,0.546,0.546,0.546,0.546,0.548,0.546,0.546,0.546,0.546,0.546,0.546,0.544,0.544,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.485,0.486
RGI60-11.00011,0.667,0.667,0.667,0.667,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.842,0.6,0.6,0.6,0.804,0.596,0.596,0.768,0.76,0.595,0.595,0.595,0.595,0.595,0.594,0.594,0.594,0.594,0.594,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.593,0.574,0.574,0.574,0.545,0.545,0.545,0.545,0.545,0.545,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.541,0.541,0.544,0.542,0.542,0.542,0.542,0.542,0.542,0.54,0.54,0.488,0.488,0.488,0.488,0.488,0.488,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.488
RGI60-11.00012,0.668,0.668,0.668,0.668,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.843,0.602,0.602,0.602,0.804,0.599,0.599,0.769,0.761,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.596,0.576,0.576,0.576,0.546,0.546,0.546,0.546,0.546,0.546,0.544,0.544,0.544,0.543,0.543,0.543,0.543,0.543,0.543,0.545,0.543,0.543,0.543,0.543,0.543,0.543,0.541,0.541,0.487,0.487,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.487
RGI60-11.00013,0.662,0.662,0.662,0.662,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.433,0.433,0.433,0.792,0.432,0.432,0.752,0.744,0.432,0.432,0.432,0.432,0.432,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.431,0.385,0.385,0.385,0.371,0.371,0.371,0.371,0.371,0.371,0.369,0.369,0.369,0.368,0.368,0.368,0.368,0.368,0.368,0.389,0.385,0.385,0.385,0.385,0.385,0.385,0.366,0.366,0.363,0.363,0.363,0.363,0.363,0.363,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.362,0.363
RGI60-11.00014,0.66,0.66,0.66,0.66,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.395,0.395,0.395,0.79,0.394,0.394,0.748,0.74,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.394,0.359,0.359,0.359,0.353,0.353,0.353,0.353,0.353,0.353,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.352,0.37,0.368,0.368,0.368,0.368,0.368,0.368,0.351,0.351,0.348,0.348,0.347,0.347,0.347,0.347,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346,0.346
