outline_id,glacier_id,latitude,longitude,area_km2
RGI60-05.00001,,66.0765,-53.2909,0.168
RGI60-05.00002,199588,65.3617,-52.0705,0.118
RGI60-05.00003,199589,65.5791,-52.0017,0.059
RGI60-05.00004,199590,65.159,-51.7992,0.188
RGI60-05.00005,199591,65.1786,-51.7228,0.086
RGI60-05.00006,199592,65.0853,-51.8737,0.227
RGI60-05.00007,199593,65.0853,-51.8526,0.493
RGI60-05.00008,199594,65.18,-51.7327,0.096
RGI60-05.00009,199595,65.2553,-52.0037,0.229
RGI60-05.00010,199596,65.0878,-51.9327,0.449
RGI60-05.00011,199597,65.0861,-52.0142,0.09
RGI60-05.00012,199598,65.0911,-51.9652,0.574
RGI60-05.00013,199599,65.0912,-52.0007,0.37
RGI60-05.00014,199600,65.1348,-51.9677,0.144
RGI60-05.00015,199601,65.1396,-51.9269,0.081
RGI60-05.00016,199602,65.1414,-51.94,0.168
RGI60-05.00017,199603,65.2594,-51.9954,0.132
RGI60-05.00018,199604,65.2706,-51.8186,0.112
RGI60-05.00019,199605,65.2724,-51.7967,0.229
RGI60-05.00020,199606,65.2789,-51.7958,1.014
RGI60-05.00021,199607,65.2853,-51.7603,0.133
RGI60-05.00022,199608,65.2783,-51.9796,0.123
RGI60-05.00023,199609,65.2934,-51.7329,0.862
RGI60-05.00024,199610,65.2718,-52.1039,1.682
RGI60-05.00025,199611,65.3026,-51.6819,0.192
RGI60-05.00026,199612,65.2891,-52.0852,0.056
RGI60-05.00027,199613,65.3199,-51.7599,0.08
RGI60-05.00028,199614,65.3172,-51.868,0.081
RGI60-05.00029,199615,65.3225,-51.7366,0.322
RGI60-05.00030,199616,65.3277,-51.7616,0.117
RGI60-05.00031,199617,65.3228,-51.8752,0.065
RGI60-05.00032,199618,65.3578,-51.9037,0.159
RGI60-05.00033,199619,65.3571,-51.9191,0.218
RGI60-05.00034,199620,65.3526,-52.0736,0.66
RGI60-05.00035,199621,65.3069,-51.8327,7.288
RGI60-05.00036,199622,65.3302,-51.7428,1.0
RGI60-05.00037,199623,65.3417,-51.6754,0.061
RGI60-05.00038,199624,65.3495,-52.015,0.493
RGI60-05.00039,199625,65.3594,-52.0949,0.94
RGI60-05.00040,199626,65.3791,-51.9751,0.052
RGI60-05.00041,199627,65.3945,-51.9994,0.079
RGI60-05.00042,199628,65.3925,-52.2044,0.132
RGI60-05.00043,199629,65.4199,-51.8048,0.111
RGI60-05.00044,199630,65.3976,-52.2068,0.42
RGI60-05.00045,199631,65.4226,-51.8162,0.117
RGI60-05.00046,199632,65.4047,-52.1508,7.604
RGI60-05.00047,199633,65.4931,-51.9017,0.327
RGI60-05.00048,199634,65.4959,-51.8819,0.145
RGI60-05.00049,199635,65.4172,-52.1074,6.12
RGI60-05.00050,199636,65.4773,-52.2924,0.528
RGI60-05.00051,199637,65.5245,-51.7948,0.086
RGI60-05.00052,199638,65.5382,-52.2024,0.056
RGI60-05.00053,199639,65.5412,-52.1986,0.052
RGI60-05.00054,199640,65.5265,-52.4963,0.098
RGI60-05.00055,199641,65.5315,-52.5058,0.095
RGI60-05.00056,199642,65.4227,-52.0481,8.268
RGI60-05.00057,199643,65.4003,-52.0892,0.571
RGI60-05.00058,199644,65.4538,-52.0494,5.745
RGI60-05.00059,199645,65.5444,-52.2141,0.112
RGI60-05.00060,199646,65.5422,-52.7505,0.123
RGI60-05.00061,199647,65.5876,-51.9836,0.16
RGI60-05.00062,199648,65.5877,-51.9966,0.192
RGI60-05.00063,199649,65.5581,-52.6355,0.057
RGI60-05.00064,199650,65.5576,-52.6892,0.07
RGI60-05.00065,199651,65.5657,-52.6488,0.071
RGI60-05.00066,199652,65.8652,-50.3788,0.165
RGI60-05.00067,199653,65.5751,-52.4771,1.444
RGI60-05.00068,199654,65.5713,-52.4507,1.487
RGI60-05.00069,199655,65.581,-52.5932,0.16
RGI60-05.00070,199656,65.649,-51.2255,0.159
RGI60-05.00071,199657,65.6514,-51.2449,0.089
RGI60-05.00072,199658,65.6534,-51.2496,0.051
RGI60-05.00073,199659,65.5712,-52.9709,0.067
RGI60-05.00074,199660,65.6589,-51.2699,0.555
RGI60-05.00075,199661,65.6707,-51.0841,0.051
RGI60-05.00076,199662,65.6308,-51.8127,1.425
RGI60-05.00077,199663,65.5773,-52.9354,0.06
RGI60-05.00078,199664,65.5944,-52.6567,0.263
RGI60-05.00079,199665,65.6737,-51.0786,0.679
RGI60-05.00080,199666,65.5892,-52.9352,0.768
RGI60-05.00081,199667,65.5981,-53.0632,0.375
RGI60-05.00082,199668,65.5806,-52.9772,1.894
RGI60-05.00083,199669,65.6851,-51.1755,0.44
RGI60-05.00084,199670,65.6569,-52.0367,0.059
RGI60-05.00085,199671,65.7841,-53.0255,0.24
RGI60-05.00086,199672,65.6631,-51.5517,5.509
RGI60-05.00087,199673,65.6134,-52.6854,0.089
RGI60-05.00088,199674,65.5949,-53.0488,0.066
RGI60-05.00089,199675,65.6028,-52.8946,0.125
RGI60-05.00090,199676,65.602,-52.9034,0.206
RGI60-05.00091,199677,65.5935,-53.0759,0.068
RGI60-05.00092,199678,65.6132,-52.6978,0.609
RGI60-05.00093,199679,65.695,-51.2049,0.166
RGI60-05.00094,199680,65.5988,-53.1318,0.244
RGI60-05.00095,199681,65.8011,-52.7662,0.171
RGI60-05.00096,199682,65.6082,-52.9195,1.034
RGI60-05.00097,199683,65.6107,-52.8924,0.165
RGI60-05.00098,199684,65.6979,-51.183,0.169
RGI60-05.00099,199685,65.6038,-53.0364,0.204
RGI60-05.00100,199686,65.604,-52.5771,0.581
RGI60-05.00101,199687,65.6194,-52.5727,4.265
RGI60-05.00102,199688,65.5955,-52.5869,1.166
RGI60-05.00103,199689,65.577,-52.5919,0.099
RGI60-05.00104,199690,65.6225,-52.9376,0.135
RGI60-05.00105,199691,65.5772,-52.6492,13.414
RGI60-05.00106,199692,65.5996,-52.6204,0.898
RGI60-05.00107,199693,65.5953,-52.6428,0.292
RGI60-05.00108,199694,65.643,-52.5497,0.287
RGI60-05.00109,199695,65.6931,-51.1221,7.731
RGI60-05.00110,199696,65.6085,-53.0075,0.155
RGI60-05.00111,199697,65.6259,-52.6485,2.196
RGI60-05.00112,199698,65.6227,-52.9881,0.126
RGI60-05.00113,199699,66.0296,-53.1869,0.26
RGI60-05.00114,199700,65.6032,-53.1216,0.43
RGI60-05.00115,199701,65.6,-52.1262,72.377
RGI60-05.00116,199702,65.503,-52.336,9.893
RGI60-05.00117,199703,65.5377,-52.3082,20.428
RGI60-05.00118,199704,65.7019,-51.9155,0.059
RGI60-05.00119,199705,65.6579,-52.5446,1.741
RGI60-05.00120,199706,65.5175,-52.2473,10.319
RGI60-05.00121,199707,65.706,-51.2327,0.338
RGI60-05.00122,199708,65.6721,-51.9143,0.19
RGI60-05.00123,199709,65.6253,-52.8808,0.058
RGI60-05.00124,199710,65.6187,-52.9679,1.344
RGI60-05.00125,199711,65.6248,-52.9505,0.204
RGI60-05.00126,199712,65.6502,-52.5281,0.112
RGI60-05.00127,199713,65.6825,-52.9489,0.501
RGI60-05.00128,199714,65.7194,-52.3983,0.082
RGI60-05.00129,199715,65.7019,-51.3447,12.821
RGI60-05.00130,199716,65.6992,-52.8305,0.055
RGI60-05.00131,199717,65.7187,-52.4959,0.124
RGI60-05.00132,199718,65.6355,-52.8796,0.258
RGI60-05.00133,199719,65.6302,-52.9237,1.705
RGI60-05.00134,199720,65.6219,-52.9141,0.318
RGI60-05.00135,199721,65.87,-50.2615,0.224
RGI60-05.00136,199722,65.635,-52.8974,0.412
RGI60-05.00137,199723,65.621,-52.8919,0.758
RGI60-05.00138,199724,65.6395,-52.9161,0.325
RGI60-05.00139,199725,65.7531,-52.8165,0.405
RGI60-05.00140,199726,65.6307,-52.9962,0.559
RGI60-05.00141,199727,65.6149,-53.0409,1.455
RGI60-05.00142,,65.7668,-52.5918,0.165
RGI60-05.00143,199728,65.6239,-53.0135,2.19
RGI60-05.00144,199729,65.6369,-52.9864,0.22
RGI60-05.00145,199730,65.6539,-52.7157,0.132
RGI60-05.00146,199731,65.6656,-52.5032,1.374
RGI60-05.00147,199732,65.6565,-52.5114,0.28
RGI60-05.00148,199733,65.677,-52.6835,0.309
RGI60-05.00149,199734,65.6838,-52.5931,0.052
RGI60-05.00150,199735,65.6862,-52.6283,0.078
RGI60-05.00151,199736,65.6415,-52.5958,3.834
RGI60-05.00152,199737,65.7008,-52.033,0.122
RGI60-05.00153,199738,65.6712,-52.64,0.085
RGI60-05.00154,199739,65.721,-51.7379,1.097
RGI60-05.00155,199740,65.6879,-52.5842,0.122
RGI60-05.00156,199741,65.7567,-52.7826,0.138
RGI60-05.00157,199742,65.687,-52.604,0.413
RGI60-05.00158,199743,65.6952,-52.5377,0.229
RGI60-05.00159,199744,65.7035,-52.5604,1.178
RGI60-05.00160,199745,65.7242,-52.6416,0.16
RGI60-05.00161,199746,65.681,-52.6502,2.056
RGI60-05.00162,,65.6993,-52.5383,0.051
RGI60-05.00163,199747,65.6869,-52.7902,0.05
RGI60-05.00164,199748,65.6988,-52.5479,0.472
RGI60-05.00165,199749,65.6981,-52.5642,0.061
RGI60-05.00166,199750,65.6885,-52.8245,0.99
RGI60-05.00167,199751,65.6931,-52.8045,0.467
RGI60-05.00168,199752,65.6898,-52.931,0.264
RGI60-05.00169,199753,65.7047,-52.8131,0.814
RGI60-05.00170,199754,65.7103,-52.7923,0.642
RGI60-05.00171,199755,65.7033,-52.9831,0.058
RGI60-05.00172,199756,65.7004,-52.9993,0.65
RGI60-05.00173,199757,65.6987,-53.0905,1.127
RGI60-05.00174,199758,65.7039,-53.0534,0.501
RGI60-05.00175,199759,65.7133,-53.0103,0.09
RGI60-05.00176,199760,65.7348,-52.6315,0.161
RGI60-05.00177,199761,65.7198,-52.8012,0.636
RGI60-05.00178,199762,65.7156,-52.9544,0.22
RGI60-05.00179,199763,65.7354,-52.9145,0.314
RGI60-05.00180,199764,65.7056,-52.9086,0.615
RGI60-05.00181,199765,65.7104,-52.9288,2.06
RGI60-05.00182,,65.7551,-52.6108,0.106
RGI60-05.00183,199766,65.8219,-52.7749,0.07
RGI60-05.00184,199767,65.6998,-52.9527,2.807
RGI60-05.00185,199768,65.7154,-53.0147,0.188
RGI60-05.00186,199769,65.7195,-53.0059,0.072
RGI60-05.00187,199770,65.7161,-53.0468,0.224
RGI60-05.00188,199771,65.7169,-52.9746,1.266
RGI60-05.00189,199772,65.7145,-52.9966,0.373
RGI60-05.00190,199773,65.7187,-53.0329,0.501
RGI60-05.00191,199774,65.7342,-52.8801,0.811
RGI60-05.00192,199775,65.7489,-52.5468,0.51
RGI60-05.00193,199776,65.7597,-52.5195,1.128
RGI60-05.00194,199777,65.7458,-52.8794,0.215
RGI60-05.00195,199778,65.7509,-52.8712,0.227
RGI60-05.00196,199779,65.7465,-52.8495,1.259
RGI60-05.00197,199780,65.808,-51.8231,0.058
RGI60-05.00198,199781,65.8546,-52.1933,0.061
RGI60-05.00199,199782,65.7568,-52.853,0.069
RGI60-05.00200,199783,65.7624,-52.5733,1.411
RGI60-05.00201,199784,65.7629,-52.7578,0.139
