outline_id,glacier_id,latitude,longitude,area_km2
RGI60-06.00001,23606,64.8174,-23.7852,4.903
RGI60-06.00002,23607,64.7951,-23.7686,1.897
RGI60-06.00003,23608,64.7979,-23.8043,0.751
RGI60-06.00004,133891,64.8036,-23.821,0.067
RGI60-06.00005,23609,64.8046,-23.7993,0.978
RGI60-06.00006,23610,64.8003,-23.753,0.912
RGI60-06.00007,23611,64.8116,-23.7522,2.712
RGI60-06.00008,23612,65.4045,-18.542,2.166
RGI60-06.00009,23613,65.6388,-18.3031,0.448
RGI60-06.00010,23614,65.6495,-18.2939,1.0
RGI60-06.00011,133892,65.6563,-18.3097,0.258
RGI60-06.00012,133893,65.641,-18.3319,0.052
RGI60-06.00013,23615,65.6436,-18.3225,0.828
RGI60-06.00014,23616,65.6683,-18.9709,0.771
RGI60-06.00015,23617,65.6694,-19.0037,0.469
RGI60-06.00016,133894,65.6644,-18.3142,0.077
RGI60-06.00017,23618,65.6725,-18.9196,3.279
RGI60-06.00018,133895,65.6796,-18.6833,0.096
RGI60-06.00019,133896,65.6845,-18.7129,0.119
RGI60-06.00020,133897,65.6958,-18.7361,0.229
RGI60-06.00021,133898,65.6965,-18.7501,0.165
RGI60-06.00022,133899,65.4502,-18.5253,0.23
RGI60-06.00023,133900,65.8259,-18.4386,0.086
RGI60-06.00024,133901,65.6993,-18.7197,0.113
RGI60-06.00025,23619,65.6839,-18.8748,6.608
RGI60-06.00026,23620,65.6889,-18.8107,4.776
RGI60-06.00027,23621,65.6541,-18.8311,5.093
RGI60-06.00028,23622,65.6535,-18.8658,0.896
RGI60-06.00029,23623,65.6425,-18.7725,0.862
RGI60-06.00030,133902,65.693,-18.7833,0.062
RGI60-06.00031,133903,65.6972,-18.7775,0.364
RGI60-06.00032,133904,65.7021,-18.7876,0.146
RGI60-06.00033,133905,65.6385,-18.7411,0.277
RGI60-06.00034,133906,65.6382,-18.7699,0.279
RGI60-06.00035,133907,65.6392,-18.7999,0.167
RGI60-06.00036,23624,65.7055,-18.9181,1.167
RGI60-06.00037,133908,65.7154,-18.9989,0.128
RGI60-06.00038,133909,65.7156,-18.6996,0.101
RGI60-06.00039,133910,65.7174,-19.022,0.822
RGI60-06.00040,133911,65.7204,-18.9901,0.164
RGI60-06.00041,23625,65.7119,-18.9644,4.714
RGI60-06.00042,133912,65.7191,-18.6297,0.11
RGI60-06.00043,3080,65.7117,-18.6567,3.16
RGI60-06.00044,23626,65.7172,-18.568,0.87
RGI60-06.00045,133913,65.7174,-18.6064,0.15
RGI60-06.00046,23627,65.7239,-18.5984,0.929
RGI60-06.00047,133914,65.8278,-18.492,0.139
RGI60-06.00048,23628,65.8272,-18.5195,1.803
RGI60-06.00049,23629,65.8254,-18.4794,0.558
RGI60-06.00050,133915,65.4701,-18.5328,0.276
RGI60-06.00051,133916,65.7246,-18.5294,0.349
RGI60-06.00052,23630,65.7246,-18.5532,0.579
RGI60-06.00053,133917,65.7289,-18.6663,0.199
RGI60-06.00054,133918,65.731,-18.7643,0.143
RGI60-06.00055,23631,65.7311,-18.7931,0.768
RGI60-06.00056,133919,65.7372,-18.8129,0.158
RGI60-06.00057,23632,65.7333,-18.5384,0.524
RGI60-06.00058,23633,65.7423,-18.8399,0.642
RGI60-06.00059,133920,65.7403,-18.5704,0.354
RGI60-06.00060,133921,65.7455,-18.5902,0.387
RGI60-06.00061,23634,65.85,-18.9314,0.429
RGI60-06.00062,133922,65.8478,-18.9409,0.057
RGI60-06.00063,133923,65.7468,-18.5141,0.359
RGI60-06.00064,133924,65.4705,-18.5026,0.766
RGI60-06.00065,133925,65.7545,-18.5151,0.096
RGI60-06.00066,23635,65.7596,-18.8512,0.852
RGI60-06.00067,23636,65.7656,-18.5032,2.275
RGI60-06.00068,133926,65.7716,-18.7193,0.318
RGI60-06.00069,23637,65.7634,-18.7606,1.216
RGI60-06.00070,133927,65.7673,-18.8077,0.38
RGI60-06.00071,23638,65.7708,-18.7922,2.152
RGI60-06.00072,23639,65.7523,-18.8042,0.522
RGI60-06.00073,133928,65.7606,-18.7398,0.053
RGI60-06.00074,23640,65.7611,-18.8189,1.897
RGI60-06.00075,133929,65.775,-18.6993,0.263
RGI60-06.00076,133930,65.7743,-18.6866,0.19
RGI60-06.00077,133931,65.774,-18.6829,0.214
RGI60-06.00078,23641,65.7739,-18.5571,0.684
RGI60-06.00079,23642,65.778,-18.4698,0.461
RGI60-06.00080,133932,65.4892,-18.3718,0.302
RGI60-06.00081,23643,65.7777,-18.5239,0.827
RGI60-06.00082,133933,65.7782,-18.4996,0.395
RGI60-06.00083,133934,65.789,-18.9399,0.123
RGI60-06.00084,133935,65.4744,-18.4145,0.6
RGI60-06.00085,23644,65.4771,-18.43,0.577
RGI60-06.00086,133936,65.791,-18.9204,0.23
RGI60-06.00087,23645,65.7887,-18.5311,0.445
RGI60-06.00088,133937,65.7958,-18.8457,0.172
RGI60-06.00089,23646,65.7907,-18.8193,1.745
RGI60-06.00090,133938,65.7981,-18.7767,0.313
RGI60-06.00091,133939,65.796,-18.5407,0.122
RGI60-06.00092,133940,65.8086,-18.7128,0.295
RGI60-06.00093,133941,65.8084,-18.7353,0.377
RGI60-06.00094,23647,65.8066,-18.7611,1.202
RGI60-06.00095,133942,65.8395,-18.4984,0.084
RGI60-06.00096,23648,65.8445,-18.5104,0.752
RGI60-06.00097,133943,65.8389,-18.4925,0.167
RGI60-06.00098,23649,65.804,-18.5213,0.582
RGI60-06.00099,133944,65.7977,-18.857,0.195
RGI60-06.00100,23650,65.8034,-18.869,0.804
RGI60-06.00101,133945,65.806,-18.8891,0.253
RGI60-06.00102,23651,65.8116,-18.9033,0.587
RGI60-06.00103,133946,65.8189,-18.9169,0.194
RGI60-06.00104,23652,65.8395,-18.9696,1.532
RGI60-06.00105,23653,65.8511,-18.9872,0.732
RGI60-06.00106,23654,65.8523,-18.9691,0.882
RGI60-06.00107,23655,65.8577,-19.0423,0.473
RGI60-06.00108,133947,65.8564,-18.5008,0.137
RGI60-06.00109,23656,65.8542,-18.4895,0.572
RGI60-06.00110,133948,65.865,-18.4618,1.072
RGI60-06.00111,133949,65.4305,-18.9197,0.044
RGI60-06.00112,23657,65.8726,-18.9651,0.73
RGI60-06.00113,23658,65.8742,-18.9484,0.718
RGI60-06.00114,133950,65.8935,-18.8599,0.117
RGI60-06.00115,133951,65.8932,-18.8067,0.277
RGI60-06.00116,133952,65.8933,-18.7368,0.417
RGI60-06.00117,133953,65.8947,-18.4847,0.249
RGI60-06.00118,133954,65.4827,-18.4619,0.962
RGI60-06.00119,133955,65.4884,-18.4889,1.612
RGI60-06.00120,133956,65.9022,-18.7596,0.165
RGI60-06.00121,23659,65.902,-18.8436,0.679
RGI60-06.00122,133957,65.8967,-18.8207,0.232
RGI60-06.00123,133958,65.9066,-18.7867,0.137
RGI60-06.00124,133959,65.906,-18.7827,0.069
RGI60-06.00125,133960,65.9075,-18.7733,0.078
RGI60-06.00126,133961,65.9119,-18.7662,0.157
RGI60-06.00127,133962,65.489,-18.4014,0.142
RGI60-06.00128,133963,65.9147,-18.6706,0.168
RGI60-06.00129,133964,65.9165,-18.7346,0.512
RGI60-06.00130,23660,65.9095,-17.7568,0.531
RGI60-06.00131,133965,65.9303,-17.7845,0.123
RGI60-06.00132,133966,65.9542,-17.9963,0.165
RGI60-06.00133,23661,65.9516,-17.7748,0.967
RGI60-06.00134,133967,65.9491,-17.76,0.233
RGI60-06.00135,133968,65.5026,-18.7727,0.222
RGI60-06.00136,133969,65.9571,-17.7482,0.123
RGI60-06.00137,23662,65.9763,-17.7597,2.165
RGI60-06.00138,133970,65.9758,-17.7333,0.29
RGI60-06.00139,133971,65.9895,-17.7351,0.117
RGI60-06.00140,23663,65.8159,-19.0109,1.13
RGI60-06.00141,23664,65.8222,-19.0311,0.759
RGI60-06.00142,133972,65.9969,-17.7419,0.229
RGI60-06.00143,133973,66.001,-17.7621,0.229
RGI60-06.00144,133974,66.0204,-18.1895,0.155
RGI60-06.00145,133975,66.0215,-18.1951,0.051
RGI60-06.00146,133976,66.0179,-17.7668,0.187
RGI60-06.00147,23665,66.0259,-18.2108,0.548
RGI60-06.00148,133977,66.0426,-18.5961,0.155
RGI60-06.00149,133978,66.0505,-18.1545,0.127
RGI60-06.00150,133979,65.5011,-18.5079,0.36
RGI60-06.00151,23666,66.0574,-18.2275,0.764
RGI60-06.00152,133980,66.0569,-18.2432,0.051
RGI60-06.00153,133981,66.065,-18.2323,0.08
RGI60-06.00154,133982,65.8225,-18.65,0.094
RGI60-06.00155,133983,66.0692,-17.9799,0.114
RGI60-06.00156,133984,66.0698,-17.9547,0.167
RGI60-06.00157,133985,66.0682,-17.9553,0.073
RGI60-06.00158,133986,66.077,-18.031,0.122
RGI60-06.00159,133987,66.0798,-18.2344,0.206
RGI60-06.00160,133988,66.0844,-18.25,0.219
RGI60-06.00161,133989,66.0924,-18.2535,0.144
RGI60-06.00162,133990,66.0921,-18.1597,0.131
RGI60-06.00163,133991,66.0964,-18.0211,0.125
RGI60-06.00164,133992,65.5149,-19.0738,0.094
RGI60-06.00165,23667,66.1008,-18.0041,0.458
RGI60-06.00166,133993,65.8266,-19.051,0.343
RGI60-06.00167,133994,66.1085,-18.0115,0.334
RGI60-06.00168,133995,65.5102,-18.522,0.272
RGI60-06.00169,133996,65.5148,-18.7311,0.485
RGI60-06.00170,133997,65.5172,-18.7466,0.158
RGI60-06.00171,133998,65.5266,-18.6444,0.139
RGI60-06.00172,133999,65.4311,-18.532,0.164
RGI60-06.00173,23668,65.5257,-18.6676,0.77
RGI60-06.00174,134000,65.5328,-18.9893,0.188
RGI60-06.00175,134001,65.5399,-18.999,0.275
RGI60-06.00176,134002,65.5324,-18.3213,0.191
RGI60-06.00177,23669,65.5358,-18.3409,0.926
RGI60-06.00178,134003,65.5309,-18.3536,0.065
RGI60-06.00179,134004,65.8172,-18.5001,0.132
RGI60-06.00180,134005,65.8198,-18.5002,0.163
RGI60-06.00181,134006,65.5491,-19.0103,0.109
RGI60-06.00182,134007,65.5432,-18.431,0.206
RGI60-06.00183,134008,65.5513,-18.4142,0.245
RGI60-06.00184,134009,65.5622,-19.0847,0.117
RGI60-06.00185,134010,65.5545,-18.3798,0.061
RGI60-06.00186,23670,65.5515,-18.3584,1.539
RGI60-06.00187,134011,65.4362,-18.5008,0.299
RGI60-06.00188,134012,65.5646,-18.8346,0.239
RGI60-06.00189,23671,65.5545,-18.2824,0.734
RGI60-06.00190,23672,65.5649,-19.1443,0.497
RGI60-06.00191,23673,65.8198,-18.7053,0.901
RGI60-06.00192,134013,65.8174,-18.7194,0.286
RGI60-06.00193,134014,65.5644,-19.1113,1.167
RGI60-06.00194,23674,65.5599,-18.4025,0.793
RGI60-06.00195,23675,65.5666,-18.2821,0.413
RGI60-06.00196,134015,65.5733,-18.8574,0.232
RGI60-06.00197,23676,65.5752,-18.8804,1.894
RGI60-06.00198,23677,65.579,-18.9081,2.095
RGI60-06.00199,23678,65.5822,-18.4123,0.533
RGI60-06.00200,134016,65.5477,-18.2358,0.217
RGI60-06.00201,23679,65.5515,-18.2514,0.539
RGI60-06.00202,23680,65.5701,-18.248,2.465
RGI60-06.00203,3059,65.5847,-18.3719,1.849
RGI60-06.00204,134017,65.5657,-18.3775,0.17
RGI60-06.00205,134018,65.5738,-18.3736,0.837
RGI60-06.00206,23681,65.4337,-18.5637,1.247
RGI60-06.00207,23682,65.5824,-19.0354,1.346
RGI60-06.00208,23683,65.5947,-19.0637,2.381
