outline_id,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-06.00001,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.091,1.047,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.731,0.552,0.731,0.542,0.731,0.715,0.675,0.663,0.662,0.662,0.662,0.629,0.614,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.606,0.606,0.606,0.606,0.606,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602,0.602
RGI60-06.00002,1.093,1.092,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.049,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.555,0.733,0.545,0.733,0.717,0.677,0.665,0.664,0.664,0.664,0.631,0.616,0.614,0.615,0.615,0.615,0.615,0.615,0.615,0.614,0.614,0.614,0.608,0.608,0.608,0.608,0.608,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604
RGI60-06.00003,1.094,1.093,1.094,1.094,1.094,1.094,1.094,1.094,1.094,1.094,1.094,1.094,1.094,1.05,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.557,0.735,0.547,0.735,0.718,0.678,0.667,0.666,0.666,0.666,0.632,0.618,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.61,0.61,0.61,0.61,0.61,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606
RGI60-06.00004,1.108,1.108,1.108,1.108,1.108,1.108,1.108,1.108,1.108,1.108,1.108,1.108,1.108,1.065,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.585,0.756,0.575,0.756,0.741,0.702,0.69,0.69,0.69,0.69,0.657,0.643,0.641,0.642,0.642,0.642,0.642,0.642,0.642,0.641,0.641,0.641,0.636,0.636,0.636,0.636,0.636,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.632
RGI60-06.00005,1.093,1.092,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.049,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.733,0.554,0.733,0.545,0.733,0.717,0.677,0.665,0.664,0.664,0.664,0.63,0.616,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.608,0.608,0.608,0.608,0.608,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604,0.604
RGI60-06.00006,1.093,1.092,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.049,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.556,0.734,0.546,0.734,0.718,0.678,0.666,0.665,0.665,0.665,0.632,0.617,0.615,0.616,0.616,0.616,0.616,0.616,0.616,0.615,0.615,0.615,0.609,0.609,0.609,0.609,0.609,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605
RGI60-06.00007,1.093,1.092,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.093,1.049,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.734,0.556,0.734,0.546,0.734,0.717,0.677,0.666,0.665,0.665,0.665,0.632,0.617,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.615,0.609,0.609,0.609,0.609,0.609,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605
RGI60-06.00008,0.983,0.982,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.934,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.501,0.557,0.423,0.557,0.551,0.526,0.518,0.517,0.517,0.517,0.511,0.509,0.508,0.509,0.509,0.509,0.509,0.509,0.509,0.508,0.508,0.508,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505
RGI60-06.00009,1.023,1.023,1.023,1.023,1.023,1.023,1.023,1.023,1.023,1.023,1.023,1.023,1.023,0.976,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.527,0.625,0.477,0.625,0.618,0.581,0.571,0.57,0.57,0.57,0.562,0.559,0.557,0.559,0.559,0.559,0.559,0.559,0.559,0.557,0.557,0.557,0.553,0.553,0.553,0.553,0.553,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552,0.552
RGI60-06.00010,1.021,1.02,1.021,1.021,1.021,1.021,1.021,1.021,1.021,1.021,1.021,1.021,1.021,0.973,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.519,0.62,0.469,0.62,0.613,0.575,0.565,0.564,0.564,0.564,0.555,0.553,0.551,0.552,0.552,0.552,0.552,0.552,0.552,0.551,0.551,0.551,0.547,0.547,0.547,0.547,0.547,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546
