outline_id,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-06.00001,1.083,1.082,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.039,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.536,0.719,0.526,0.719,0.702,0.661,0.649,0.648,0.648,0.648,0.614,0.599,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.591,0.591,0.591,0.591,0.591,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587
RGI60-06.00002,1.083,1.082,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.039,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.536,0.719,0.526,0.719,0.702,0.661,0.649,0.648,0.648,0.648,0.614,0.599,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.591,0.591,0.591,0.591,0.591,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587
RGI60-06.00003,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.039,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.536,0.719,0.526,0.719,0.703,0.662,0.65,0.649,0.649,0.649,0.615,0.599,0.597,0.598,0.598,0.598,0.598,0.598,0.598,0.597,0.597,0.597,0.591,0.591,0.591,0.591,0.591,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587
RGI60-06.00004,1.084,1.083,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.084,1.039,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.536,0.72,0.526,0.72,0.703,0.662,0.65,0.649,0.649,0.649,0.615,0.6,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.598,0.591,0.591,0.591,0.591,0.591,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587
RGI60-06.00005,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.039,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.719,0.536,0.719,0.526,0.719,0.703,0.662,0.65,0.649,0.649,0.649,0.614,0.599,0.597,0.598,0.598,0.598,0.598,0.598,0.598,0.597,0.597,0.597,0.591,0.591,0.591,0.591,0.591,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587,0.587
RGI60-06.00006,1.083,1.082,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.038,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.536,0.718,0.525,0.718,0.702,0.661,0.649,0.648,0.648,0.648,0.614,0.598,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.59,0.59,0.59,0.59,0.59,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586
RGI60-06.00007,1.083,1.082,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.083,1.038,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.536,0.718,0.525,0.718,0.702,0.661,0.649,0.648,0.648,0.648,0.614,0.598,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.59,0.59,0.59,0.59,0.59,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586,0.586
RGI60-06.00008,0.971,0.97,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.971,0.921,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.535,0.477,0.535,0.394,0.535,0.529,0.502,0.494,0.494,0.494,0.493,0.488,0.485,0.484,0.485,0.485,0.485,0.485,0.485,0.485,0.484,0.484,0.484,0.481,0.481,0.481,0.481,0.481,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48
RGI60-06.00009,1.006,1.005,1.006,1.006,1.006,1.006,1.006,1.006,1.006,1.006,1.006,1.006,1.006,0.958,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.597,0.492,0.597,0.439,0.597,0.589,0.55,0.539,0.538,0.538,0.538,0.53,0.527,0.525,0.527,0.527,0.527,0.527,0.527,0.527,0.525,0.525,0.525,0.521,0.521,0.521,0.521,0.521,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
RGI60-06.00010,1.008,1.007,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,1.008,0.96,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.599,0.493,0.599,0.44,0.599,0.591,0.552,0.541,0.54,0.54,0.54,0.531,0.529,0.526,0.528,0.528,0.528,0.528,0.528,0.528,0.526,0.526,0.526,0.522,0.522,0.522,0.522,0.522,0.521,0.521,0.521,0.521,0.521,0.521,0.521,0.521,0.521,0.521,0.521,0.521,0.521
