outline_id,glacier_id,latitude,longitude,area_km2
RGI60-18.00001,144033,-39.2754,175.549,0.025
RGI60-18.00002,144034,-39.2604,175.574,0.074
RGI60-18.00003,144035,-39.3007,175.567,0.016
RGI60-18.00004,144036,-39.2615,175.569,0.022
RGI60-18.00005,,-39.2769,175.582,0.016
RGI60-18.00006,21625,-39.2775,175.57,1.182
RGI60-18.00007,,-39.2678,175.553,0.019
RGI60-18.00008,,-39.2942,175.575,0.021
RGI60-18.00009,21626,-39.2912,175.57,0.663
RGI60-18.00010,21627,-39.2804,175.554,0.645
RGI60-18.00011,144037,-39.2708,175.567,0.357
RGI60-18.00012,144038,-39.266,175.563,0.039
RGI60-18.00013,21628,-39.27,175.579,1.147
RGI60-18.00014,21629,-39.2956,175.562,0.507
RGI60-18.00015,,-39.2925,175.554,0.01
RGI60-18.00016,144039,-39.2904,175.559,0.086
RGI60-18.00017,144040,-39.2879,175.557,0.045
RGI60-18.00018,144041,-39.2654,175.583,0.018
RGI60-18.00019,144042,-39.2606,175.585,0.152
RGI60-18.00020,21630,-39.2711,175.557,0.457
RGI60-18.00021,144043,-39.2855,175.564,0.356
RGI60-18.00022,144044,-42.2203,172.588,0.067
RGI60-18.00023,,-41.9499,172.741,0.032
RGI60-18.00024,144045,-45.0297,167.674,0.032
RGI60-18.00025,144046,-44.7359,168.069,0.143
RGI60-18.00026,144047,-44.7312,168.066,0.067
RGI60-18.00027,144048,-44.7278,168.071,0.048
RGI60-18.00028,,-44.7159,167.742,0.071
RGI60-18.00029,,-44.7153,167.748,0.035
RGI60-18.00030,,-44.7158,167.707,0.268
RGI60-18.00031,144049,-44.7157,167.777,0.031
RGI60-18.00032,,-44.7123,167.743,0.024
RGI60-18.00033,144050,-44.7281,168.059,0.025
RGI60-18.00034,144051,-44.7257,168.058,0.072
RGI60-18.00035,144052,-44.7219,168.059,0.078
RGI60-18.00036,,-44.712,167.732,0.051
RGI60-18.00037,,-44.7151,167.728,0.456
RGI60-18.00038,,-44.7174,167.725,0.103
RGI60-18.00039,,-44.7147,167.719,0.062
RGI60-18.00040,,-44.7228,167.73,0.181
RGI60-18.00041,,-44.7216,167.725,0.121
RGI60-18.00042,,-44.7243,168.073,0.04
RGI60-18.00043,144053,-44.7223,168.073,0.02
RGI60-18.00044,144054,-44.7226,168.065,0.031
RGI60-18.00045,,-44.7206,168.075,0.024
RGI60-18.00046,144055,-44.7203,168.073,0.022
RGI60-18.00047,144056,-44.7215,168.069,0.094
RGI60-18.00048,,-44.6988,167.727,0.051
RGI60-18.00049,,-44.6999,167.767,0.067
RGI60-18.00050,,-44.6978,167.761,0.124
RGI60-18.00051,,-44.7009,167.774,0.034
RGI60-18.00052,,-44.7034,167.77,0.203
RGI60-18.00053,,-44.6692,168.051,0.352
RGI60-18.00054,144057,-44.7019,168.036,0.044
RGI60-18.00055,144058,-44.6967,168.053,0.063
RGI60-18.00056,,-44.6884,167.794,0.062
RGI60-18.00057,,-44.688,167.791,0.079
RGI60-18.00058,144059,-44.7706,168.047,0.066
RGI60-18.00059,144060,-44.7235,168.022,0.12
RGI60-18.00060,144061,-44.7167,168.018,0.093
RGI60-18.00061,,-44.6935,168.033,0.029
RGI60-18.00062,21631,-44.7609,168.037,0.511
RGI60-18.00063,144062,-44.7532,168.04,0.206
RGI60-18.00064,144063,-44.7509,168.038,0.034
RGI60-18.00065,,-44.6966,168.033,0.112
RGI60-18.00066,,-44.7102,168.019,0.08
RGI60-18.00067,144064,-44.7281,168.024,0.179
RGI60-18.00068,,-44.6989,168.022,0.097
RGI60-18.00069,,-44.7015,168.027,0.218
RGI60-18.00070,,-44.7798,168.048,0.365
RGI60-18.00071,,-44.7443,168.033,0.318
RGI60-18.00072,144065,-44.7426,168.038,0.199
RGI60-18.00073,144066,-44.7597,168.051,0.139
RGI60-18.00074,,-44.7698,168.033,0.052
RGI60-18.00075,144067,-44.8007,168.063,0.097
RGI60-18.00076,,-44.7662,168.022,0.114
RGI60-18.00077,144068,-44.7947,168.061,0.022
RGI60-18.00078,144069,-44.7969,168.066,0.387
RGI60-18.00079,,-44.7917,168.059,0.216
RGI60-18.00080,21632,-44.7873,168.051,0.42
RGI60-18.00081,,-44.7706,168.024,0.354
RGI60-18.00082,144070,-44.7635,168.03,0.439
RGI60-18.00083,144071,-44.7427,168.046,0.175
RGI60-18.00084,21633,-44.804,168.072,0.419
RGI60-18.00085,144072,-44.7662,168.048,0.087
RGI60-18.00086,,-44.7689,168.038,0.151
RGI60-18.00087,144073,-44.7367,168.024,0.327
RGI60-18.00088,21634,-44.761,168.044,0.423
RGI60-18.00089,21635,-44.6536,167.808,0.42
