outline_id,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-18.00001,0.16,-0.019,0.679,0.909,0.735,0.763,-0.547,2.337,0.009,0.754,-0.207,1.041,1.677,-0.0,-0.019,0.188,1.414,0.457,-0.283,0.146,0.038,-0.598,1.725,-1.423,0.24,0.733,-0.734,-0.254,-1.37,0.855,0.561,0.767,-0.872,-0.232,0.553,-1.277,-0.153,0.734,0.56,0.637,-0.551,0.467,-1.3,-1.145,-0.633,-0.322,-0.665,-0.664,-0.795,-0.511
RGI60-18.00002,0.16,-0.019,0.678,0.909,0.735,0.763,-0.547,2.336,0.009,0.754,-0.207,1.041,1.677,-0.0,-0.019,0.188,1.413,0.457,-0.283,0.146,0.038,-0.598,1.724,-1.423,0.24,0.733,-0.734,-0.254,-1.37,0.855,0.561,0.767,-0.872,-0.232,0.553,-1.277,-0.153,0.733,0.56,0.637,-0.551,0.467,-1.299,-1.144,-0.633,-0.322,-0.665,-0.664,-0.794,-0.511
RGI60-18.00003,0.116,-0.063,0.634,0.865,0.691,0.719,-0.591,2.293,-0.035,0.71,-0.252,0.997,1.634,-0.044,-0.063,0.144,1.37,0.413,-0.327,0.102,-0.007,-0.643,1.681,-1.468,0.196,0.689,-0.778,-0.298,-1.414,0.812,0.517,0.723,-0.917,-0.276,0.509,-1.322,-0.197,0.689,0.516,0.593,-0.595,0.423,-1.344,-1.189,-0.678,-0.366,-0.709,-0.709,-0.839,-0.556
RGI60-18.00004,0.327,0.148,0.845,1.076,0.901,0.93,-0.38,2.503,0.176,0.92,-0.041,1.208,1.844,0.167,0.148,0.355,1.58,0.624,-0.116,0.313,0.204,-0.432,1.891,-1.256,0.407,0.9,-0.567,-0.087,-1.203,1.021,0.727,0.934,-0.705,-0.065,0.72,-1.11,0.013,0.9,0.727,0.804,-0.384,0.633,-1.133,-0.978,-0.467,-0.155,-0.498,-0.498,-0.628,-0.345
RGI60-18.00005,-0.291,-0.493,0.293,0.553,0.357,0.389,-1.088,2.162,-0.461,0.378,-0.705,0.702,1.419,-0.472,-0.493,-0.259,1.122,0.044,-0.79,-0.307,-0.429,-1.146,1.472,-2.075,-0.201,0.228,-1.239,-0.759,-1.875,0.767,0.303,0.42,-1.546,-0.751,-0.034,-1.87,-0.631,0.264,0.146,0.215,-1.158,0.207,-2.019,-1.643,-1.223,-0.513,-1.188,-1.115,-1.267,-0.833
RGI60-18.00006,0.05,-0.129,0.568,0.799,0.624,0.653,-0.657,2.226,-0.101,0.643,-0.318,0.931,1.567,-0.111,-0.129,0.078,1.303,0.347,-0.393,0.036,-0.073,-0.709,1.614,-1.533,0.13,0.623,-0.844,-0.364,-1.48,0.745,0.45,0.657,-0.983,-0.342,0.443,-1.388,-0.264,0.623,0.45,0.527,-0.661,0.356,-1.41,-1.255,-0.744,-0.432,-0.775,-0.775,-0.905,-0.622
RGI60-18.00007,-0.291,-0.493,0.293,0.553,0.357,0.389,-1.088,2.162,-0.461,0.378,-0.705,0.702,1.419,-0.472,-0.493,-0.259,1.122,0.044,-0.79,-0.307,-0.429,-1.146,1.472,-2.075,-0.201,0.228,-1.239,-0.759,-1.875,0.767,0.303,0.42,-1.546,-0.751,-0.034,-1.87,-0.631,0.264,0.146,0.215,-1.158,0.207,-2.019,-1.643,-1.223,-0.513,-1.188,-1.115,-1.267,-0.833
RGI60-18.00008,-0.291,-0.493,0.293,0.553,0.357,0.389,-1.088,2.162,-0.461,0.378,-0.705,0.702,1.419,-0.472,-0.493,-0.259,1.122,0.044,-0.79,-0.307,-0.429,-1.146,1.472,-2.075,-0.201,0.228,-1.239,-0.759,-1.875,0.767,0.303,0.42,-1.546,-0.751,-0.034,-1.87,-0.631,0.264,0.146,0.215,-1.158,0.207,-2.019,-1.643,-1.223,-0.513,-1.188,-1.115,-1.267,-0.833
RGI60-18.00009,0.019,-0.16,0.537,0.768,0.594,0.622,-0.688,2.196,-0.132,0.613,-0.348,0.9,1.536,-0.141,-0.16,0.047,1.273,0.316,-0.424,0.005,-0.103,-0.74,1.584,-1.564,0.099,0.592,-0.875,-0.395,-1.511,0.714,0.42,0.626,-1.013,-0.373,0.412,-1.418,-0.294,0.592,0.419,0.496,-0.692,0.326,-1.441,-1.286,-0.774,-0.463,-0.806,-0.806,-0.936,-0.652
RGI60-18.00010,-0.04,-0.219,0.479,0.71,0.535,0.564,-0.746,2.137,-0.19,0.554,-0.407,0.842,1.478,-0.2,-0.219,-0.011,1.214,0.257,-0.483,-0.054,-0.162,-0.798,1.525,-1.623,0.041,0.533,-0.934,-0.454,-1.57,0.656,0.361,0.567,-1.072,-0.432,0.353,-1.477,-0.353,0.534,0.361,0.438,-0.751,0.267,-1.499,-1.344,-0.833,-0.521,-0.865,-0.864,-0.994,-0.711
RGI60-18.00011,0.127,-0.052,0.645,0.876,0.702,0.73,-0.58,2.304,-0.024,0.721,-0.241,1.008,1.644,-0.033,-0.052,0.155,1.38,0.424,-0.316,0.113,0.004,-0.632,1.691,-1.456,0.207,0.7,-0.767,-0.287,-1.403,0.822,0.528,0.734,-0.905,-0.265,0.52,-1.31,-0.186,0.7,0.527,0.604,-0.584,0.434,-1.333,-1.178,-0.667,-0.355,-0.698,-0.698,-0.828,-0.545
RGI60-18.00012,-0.08,-0.259,0.438,0.669,0.494,0.523,-0.787,2.096,-0.231,0.513,-0.448,0.801,1.437,-0.241,-0.259,-0.052,1.173,0.216,-0.523,-0.095,-0.203,-0.839,1.484,-1.663,-0.0,0.493,-0.974,-0.494,-1.61,0.614,0.32,0.526,-1.113,-0.472,0.313,-1.518,-0.394,0.493,0.32,0.397,-0.791,0.226,-1.54,-1.385,-0.874,-0.562,-0.905,-0.905,-1.035,-0.752
RGI60-18.00013,0.046,-0.133,0.564,0.795,0.621,0.649,-0.66,2.223,-0.104,0.64,-0.321,0.927,1.563,-0.114,-0.133,0.074,1.299,0.343,-0.397,0.032,-0.076,-0.712,1.61,-1.537,0.126,0.619,-0.848,-0.368,-1.484,0.741,0.447,0.653,-0.986,-0.346,0.439,-1.391,-0.267,0.619,0.447,0.523,-0.665,0.353,-1.413,-1.258,-0.747,-0.436,-0.779,-0.778,-0.908,-0.625
