outline_id,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-18.00001,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,1.226,0.84,0.84,0.84,0.84,0.883,0.883,0.883,0.883,0.883,0.883,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795,0.795
RGI60-18.00002,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,1.219,0.828,0.828,0.828,0.828,0.873,0.873,0.873,0.873,0.873,0.873,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783,0.783
RGI60-18.00003,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,1.235,0.853,0.853,0.853,0.853,0.896,0.896,0.896,0.896,0.896,0.896,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809,0.809
RGI60-18.00004,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,1.237,0.855,0.855,0.855,0.855,0.898,0.898,0.898,0.898,0.898,0.898,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811
RGI60-18.00005,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,0.827,0.827,0.827,0.827,0.692,0.692,0.692,0.692,0.692,0.692,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594
RGI60-18.00006,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,1.207,0.811,0.811,0.811,0.811,0.857,0.857,0.857,0.857,0.857,0.857,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765,0.765
RGI60-18.00007,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,0.827,0.827,0.827,0.827,0.692,0.692,0.692,0.692,0.692,0.692,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594
RGI60-18.00008,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,1.187,0.827,0.827,0.827,0.827,0.692,0.692,0.692,0.692,0.692,0.692,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594,0.594
RGI60-18.00009,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,1.209,0.814,0.814,0.814,0.814,0.859,0.859,0.859,0.859,0.859,0.859,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768,0.768
RGI60-18.00010,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,1.208,0.814,0.814,0.814,0.814,0.858,0.858,0.858,0.858,0.858,0.858,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767,0.767
