outline_id,glacier_id,latitude,longitude,area_km2
RGI60-09.00001,20308,73.9686,56.8706,3.818
RGI60-09.00002,98642,75.4779,58.3974,3.605
RGI60-09.00003,98643,75.487,58.3146,1.714
RGI60-09.00004,98644,73.1107,55.0259,0.581
RGI60-09.00005,20309,75.5001,58.2102,2.535
RGI60-09.00006,20310,75.5221,58.7392,1.841
RGI60-09.00007,98645,75.6629,58.5582,1.165
RGI60-09.00008,20311,75.6708,58.5799,2.032
RGI60-09.00009,20312,75.6894,58.6143,1.932
RGI60-09.00010,98646,75.7897,59.5643,0.434
RGI60-09.00011,98647,75.7858,59.5313,0.824
RGI60-09.00012,98648,75.9712,61.0686,1.133
RGI60-09.00013,98649,75.9619,61.0382,0.433
RGI60-09.00014,20313,73.9902,57.4136,2.687
RGI60-09.00015,98650,76.0139,61.171,0.376
RGI60-09.00016,98651,76.219,66.3941,1.525
RGI60-09.00017,20314,76.2696,64.2964,1.431
RGI60-09.00018,98652,72.9675,54.2581,0.66
RGI60-09.00019,98653,73.0873,54.2435,0.661
RGI60-09.00020,20315,76.3203,64.3786,1.598
RGI60-09.00021,98654,76.3458,64.7045,0.313
RGI60-09.00022,20316,76.3428,64.6697,1.406
RGI60-09.00023,20317,76.3456,64.6204,1.581
RGI60-09.00024,20318,76.3921,64.8489,0.57
RGI60-09.00025,20319,73.9638,56.5161,1.994
RGI60-09.00026,20320,76.4123,65.0187,2.371
RGI60-09.00027,20321,76.5313,66.2337,9.504
RGI60-09.00028,20322,75.1067,59.4957,5.49
RGI60-09.00029,20323,74.4584,56.8355,6.587
RGI60-09.00030,98655,75.9362,60.6878,6.364
RGI60-09.00031,20324,74.6193,56.2643,4.757
RGI60-09.00032,98656,76.6788,66.132,5.379
RGI60-09.00033,20325,75.4014,57.9265,4.296
RGI60-09.00034,20326,74.4386,56.8576,5.209
RGI60-09.00035,20327,74.5414,57.7073,4.371
RGI60-09.00036,98657,76.7157,66.4865,3.644
RGI60-09.00037,20328,76.4994,65.7944,2.662
RGI60-09.00038,20329,74.5172,56.5386,2.82
RGI60-09.00039,20330,76.3323,64.7329,2.364
RGI60-09.00040,20331,74.9525,56.9011,1.865
RGI60-09.00041,20332,76.2389,63.9717,3.617
RGI60-09.00042,98658,75.5742,58.5805,1.879
RGI60-09.00043,98659,75.5803,58.5568,1.368
RGI60-09.00044,20333,76.4981,65.8776,0.974
RGI60-09.00045,98660,74.5908,56.2078,2.118
RGI60-09.00046,20334,75.5703,58.4818,1.074
RGI60-09.00047,20335,75.2177,57.9952,0.921
RGI60-09.00048,20336,74.6847,57.2197,1.1
RGI60-09.00049,20337,75.433,57.9623,0.734
RGI60-09.00050,20338,76.3614,64.8941,0.565
RGI60-09.00051,98661,74.9907,57.3405,437.891
RGI60-09.00052,98662,75.144,57.0945,0.322
RGI60-09.00053,98663,74.7632,57.1551,164.901
RGI60-09.00054,98664,76.329,64.4196,0.25
RGI60-09.00055,4481,76.0499,65.316,383.049
RGI60-09.00056,98666,74.4372,57.3147,162.455
RGI60-09.00057,4485,75.5568,59.0772,396.401
RGI60-09.00058,98668,75.558,58.599,8.946
RGI60-09.00059,98669,75.9816,62.7231,373.218
RGI60-09.00060,98670,75.6674,59.4073,367.35
RGI60-09.00061,98671,75.9973,61.6507,332.142
RGI60-09.00062,98672,76.6429,66.8801,231.108
RGI60-09.00063,98673,76.4071,65.3895,0.328
RGI60-09.00064,4326,76.3362,65.5402,233.743
RGI60-09.00065,4466,75.7252,62.3796,957.197
RGI60-09.00066,4324,76.1697,64.3931,222.998
RGI60-09.00067,20339,75.5318,58.6057,1.743
RGI60-09.00068,98677,75.551,58.5181,4.936
RGI60-09.00069,4486,75.4599,58.9223,249.782
RGI60-09.00070,4320,76.5794,66.4581,132.985
RGI60-09.00071,98679,74.7894,58.2277,223.167
RGI60-09.00072,98680,76.4637,66.5314,669.472
RGI60-09.00073,98681,75.8347,63.2603,237.934
RGI60-09.00074,98682,76.3979,66.8544,122.131
RGI60-09.00075,98683,76.5297,67.6479,178.459
RGI60-09.00076,20340,75.2299,58.2227,1.913
RGI60-09.00077,98684,75.2979,58.6413,757.677
RGI60-09.00078,98685,74.902,57.1846,80.007
RGI60-09.00079,98686,74.5137,56.896,117.113
RGI60-09.00080,4319,76.2555,64.4109,85.768
RGI60-09.00081,216951,76.1119,62.6657,82.426
RGI60-09.00082,20341,74.8904,56.9508,1.6
RGI60-09.00083,98688,74.8544,56.8306,71.86
RGI60-09.00084,20342,74.8908,57.0001,0.587
RGI60-09.00085,20343,74.7449,56.8725,0.476
