outline_id,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-09.00001,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.462,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.581,0.63,0.63,0.63,0.63,0.63,0.63,0.617,0.617,0.578,0.578,0.578,0.578,0.578,0.576,0.576,0.576,0.576,0.576,0.575,0.575,0.575,0.574,0.575,0.575,0.575,0.566,0.566,0.566,0.565,0.565,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.566,0.575,0.566,0.573,0.609,0.609,0.612
RGI60-09.00002,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.453,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.621,0.572,0.621,0.621,0.621,0.621,0.621,0.621,0.607,0.607,0.568,0.568,0.568,0.568,0.568,0.566,0.567,0.567,0.567,0.567,0.565,0.565,0.565,0.565,0.565,0.565,0.565,0.555,0.556,0.556,0.555,0.555,0.554,0.554,0.554,0.554,0.554,0.554,0.554,0.554,0.555,0.566,0.555,0.564,0.599,0.599,0.602
RGI60-09.00003,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.455,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.622,0.573,0.622,0.622,0.622,0.622,0.622,0.622,0.609,0.609,0.569,0.569,0.569,0.569,0.569,0.567,0.568,0.568,0.568,0.568,0.566,0.566,0.566,0.566,0.567,0.567,0.567,0.557,0.557,0.557,0.556,0.556,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.555,0.557,0.567,0.557,0.565,0.6,0.6,0.603
RGI60-09.00004,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.471,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.638,0.589,0.638,0.638,0.638,0.638,0.638,0.638,0.625,0.625,0.585,0.585,0.585,0.585,0.585,0.583,0.584,0.584,0.584,0.584,0.582,0.582,0.582,0.582,0.582,0.582,0.582,0.573,0.573,0.573,0.572,0.572,0.572,0.572,0.571,0.571,0.571,0.571,0.571,0.571,0.573,0.583,0.573,0.581,0.616,0.616,0.619
RGI60-09.00005,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.463,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.579,0.628,0.628,0.628,0.628,0.628,0.628,0.615,0.615,0.576,0.576,0.576,0.576,0.576,0.574,0.574,0.574,0.574,0.574,0.573,0.573,0.573,0.572,0.573,0.573,0.573,0.563,0.563,0.563,0.562,0.562,0.562,0.562,0.561,0.561,0.561,0.561,0.561,0.561,0.563,0.573,0.563,0.571,0.606,0.606,0.609
RGI60-09.00006,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.463,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.628,0.58,0.628,0.628,0.628,0.628,0.628,0.628,0.615,0.615,0.576,0.576,0.576,0.576,0.576,0.574,0.575,0.575,0.575,0.575,0.573,0.573,0.573,0.573,0.574,0.574,0.574,0.564,0.564,0.564,0.563,0.563,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.562,0.564,0.574,0.564,0.572,0.607,0.607,0.61
RGI60-09.00007,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.465,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.581,0.629,0.629,0.629,0.629,0.629,0.629,0.616,0.616,0.577,0.577,0.577,0.577,0.577,0.575,0.576,0.576,0.576,0.576,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.565,0.565,0.565,0.564,0.564,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.565,0.575,0.565,0.573,0.607,0.607,0.61
RGI60-09.00008,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.463,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.579,0.627,0.627,0.627,0.627,0.627,0.627,0.614,0.614,0.575,0.575,0.575,0.575,0.575,0.573,0.574,0.574,0.574,0.574,0.572,0.572,0.572,0.572,0.573,0.573,0.573,0.563,0.563,0.563,0.562,0.562,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.563,0.573,0.563,0.571,0.606,0.606,0.609
RGI60-09.00009,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.463,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.627,0.579,0.627,0.627,0.627,0.627,0.627,0.627,0.614,0.614,0.576,0.576,0.576,0.576,0.576,0.574,0.574,0.574,0.574,0.574,0.573,0.573,0.573,0.572,0.573,0.573,0.573,0.563,0.563,0.563,0.562,0.562,0.562,0.562,0.561,0.561,0.561,0.561,0.561,0.561,0.563,0.573,0.563,0.571,0.606,0.606,0.609
RGI60-09.00010,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.465,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.629,0.582,0.629,0.629,0.629,0.629,0.629,0.629,0.616,0.616,0.578,0.578,0.578,0.578,0.578,0.576,0.577,0.577,0.577,0.577,0.575,0.575,0.575,0.575,0.575,0.575,0.575,0.565,0.566,0.566,0.565,0.565,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.564,0.565,0.576,0.565,0.574,0.608,0.608,0.611
