outline_id,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-09.00001,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.439,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.563,0.613,0.613,0.613,0.613,0.613,0.613,0.6,0.6,0.559,0.559,0.559,0.559,0.559,0.557,0.558,0.558,0.558,0.558,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.547,0.547,0.547,0.546,0.546,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.545,0.547,0.557,0.547,0.555,0.591,0.591,0.594
RGI60-09.00002,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.435,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.557,0.607,0.607,0.607,0.607,0.607,0.607,0.594,0.594,0.553,0.553,0.553,0.553,0.553,0.551,0.552,0.552,0.552,0.552,0.55,0.55,0.55,0.55,0.551,0.551,0.551,0.54,0.541,0.541,0.54,0.54,0.539,0.539,0.539,0.539,0.539,0.539,0.539,0.539,0.54,0.551,0.54,0.549,0.585,0.585,0.588
RGI60-09.00003,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.434,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.557,0.607,0.607,0.607,0.607,0.607,0.607,0.594,0.594,0.553,0.553,0.553,0.553,0.553,0.551,0.552,0.552,0.552,0.552,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.541,0.541,0.539,0.539,0.539,0.539,0.538,0.538,0.538,0.538,0.538,0.538,0.54,0.551,0.54,0.549,0.585,0.585,0.588
RGI60-09.00004,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.44,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.565,0.616,0.616,0.616,0.616,0.616,0.616,0.602,0.602,0.561,0.561,0.561,0.561,0.561,0.559,0.56,0.56,0.56,0.56,0.558,0.558,0.558,0.558,0.558,0.558,0.558,0.549,0.549,0.549,0.548,0.548,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.547,0.549,0.559,0.549,0.556,0.594,0.594,0.597
RGI60-09.00005,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.434,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.557,0.607,0.607,0.607,0.607,0.607,0.607,0.593,0.593,0.553,0.553,0.553,0.553,0.553,0.551,0.552,0.552,0.552,0.552,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.54,0.54,0.539,0.539,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.54,0.55,0.54,0.548,0.585,0.585,0.588
RGI60-09.00006,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.435,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.608,0.558,0.608,0.608,0.608,0.608,0.608,0.608,0.594,0.594,0.554,0.554,0.554,0.554,0.554,0.552,0.553,0.553,0.553,0.553,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.541,0.541,0.541,0.54,0.54,0.539,0.539,0.539,0.539,0.539,0.539,0.539,0.539,0.541,0.551,0.541,0.549,0.585,0.585,0.589
RGI60-09.00007,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.434,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.557,0.606,0.606,0.606,0.606,0.606,0.606,0.593,0.593,0.553,0.553,0.553,0.553,0.553,0.551,0.551,0.551,0.551,0.551,0.55,0.55,0.55,0.549,0.55,0.55,0.55,0.54,0.54,0.54,0.539,0.539,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.54,0.55,0.54,0.548,0.584,0.584,0.587
RGI60-09.00008,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.434,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.557,0.606,0.606,0.606,0.606,0.606,0.606,0.593,0.593,0.553,0.553,0.553,0.553,0.553,0.551,0.551,0.551,0.551,0.551,0.55,0.55,0.55,0.549,0.55,0.55,0.55,0.54,0.54,0.54,0.539,0.539,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.54,0.55,0.54,0.548,0.584,0.584,0.587
RGI60-09.00009,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.434,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.606,0.557,0.606,0.606,0.606,0.606,0.606,0.606,0.593,0.593,0.553,0.553,0.553,0.553,0.553,0.551,0.551,0.551,0.551,0.551,0.55,0.55,0.55,0.549,0.55,0.55,0.55,0.54,0.54,0.54,0.539,0.539,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.538,0.54,0.55,0.54,0.548,0.584,0.584,0.587
RGI60-09.00010,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.435,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.558,0.607,0.607,0.607,0.607,0.607,0.607,0.594,0.594,0.554,0.554,0.554,0.554,0.554,0.552,0.553,0.553,0.553,0.553,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.541,0.541,0.541,0.54,0.54,0.539,0.539,0.539,0.539,0.539,0.539,0.539,0.539,0.541,0.552,0.541,0.549,0.585,0.585,0.588
RGI60-09.00011,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.435,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.607,0.558,0.607,0.607,0.607,0.607,0.607,0.607,0.594,0.594,0.554,0.554,0.554,0.554,0.554,0.552,0.553,0.553,0.553,0.553,0.551,0.551,0.551,0.551,0.551,0.551,0.551,0.541,0.541,0.541,0.54,0.54,0.539,0.539,0.539,0.539,0.539,0.539,0.539,0.539,0.541,0.551,0.541,0.549,0.585,0.585,0.588
RGI60-09.00012,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.436,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.56,0.609,0.609,0.609,0.609,0.609,0.609,0.595,0.595,0.556,0.556,0.556,0.556,0.556,0.554,0.555,0.555,0.555,0.555,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.543,0.543,0.543,0.542,0.542,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.543,0.553,0.543,0.551,0.587,0.587,0.59
RGI60-09.00013,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.436,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.56,0.609,0.609,0.609,0.609,0.609,0.609,0.595,0.595,0.556,0.556,0.556,0.556,0.556,0.554,0.555,0.555,0.555,0.555,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.543,0.543,0.543,0.542,0.542,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.543,0.553,0.543,0.551,0.587,0.587,0.59
RGI60-09.00014,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.439,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.564,0.614,0.614,0.614,0.614,0.614,0.614,0.601,0.601,0.56,0.56,0.56,0.56,0.56,0.558,0.559,0.559,0.559,0.559,0.557,0.557,0.557,0.557,0.557,0.557,0.557,0.547,0.548,0.548,0.547,0.547,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.547,0.558,0.547,0.556,0.592,0.592,0.595
RGI60-09.00015,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.436,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.609,0.56,0.609,0.609,0.609,0.609,0.609,0.609,0.595,0.595,0.556,0.556,0.556,0.556,0.556,0.554,0.555,0.555,0.555,0.555,0.553,0.553,0.553,0.553,0.553,0.553,0.553,0.543,0.543,0.543,0.542,0.542,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.543,0.553,0.543,0.551,0.587,0.587,0.59
RGI60-09.00016,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.441,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.616,0.568,0.616,0.616,0.616,0.616,0.616,0.616,0.603,0.603,0.564,0.564,0.564,0.564,0.564,0.562,0.563,0.563,0.563,0.563,0.561,0.561,0.561,0.561,0.561,0.561,0.561,0.551,0.552,0.552,0.551,0.551,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.551,0.562,0.551,0.56,0.594,0.594,0.597
RGI60-09.00017,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.438,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.612,0.564,0.612,0.612,0.612,0.612,0.612,0.612,0.599,0.599,0.56,0.56,0.56,0.56,0.56,0.558,0.559,0.559,0.559,0.559,0.557,0.557,0.557,0.557,0.558,0.558,0.558,0.547,0.548,0.548,0.547,0.547,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.546,0.547,0.558,0.547,0.556,0.591,0.591,0.594
