outline_id,glacier_id,latitude,longitude,area_km2
RGI60-17.00001,35608,-34.4356,-70.2602,0.888
RGI60-17.00002,35609,-34.4453,-70.2315,0.077
RGI60-17.00003,35610,-34.472,-69.9941,0.028
RGI60-17.00004,35611,-34.4988,-70.3635,0.094
RGI60-17.00005,35612,-34.5327,-70.3407,0.058
RGI60-17.00006,35613,-34.5609,-70.2559,0.036
RGI60-17.00007,35614,-34.5783,-70.2698,0.053
RGI60-17.00008,35615,-34.581,-70.3739,0.241
RGI60-17.00009,35616,-34.5863,-70.2728,0.158
RGI60-17.00010,35617,-34.5824,-70.2699,0.011
RGI60-17.00011,35618,-34.5902,-70.3864,1.107
RGI60-17.00012,35619,-34.5864,-70.3708,0.234
RGI60-17.00013,27144,-34.5947,-70.257,0.51
RGI60-17.00014,35620,-34.593,-70.3703,0.252
RGI60-17.00015,27145,-34.5975,-70.2806,0.328
RGI60-17.00016,27146,-34.6097,-70.264,0.392
RGI60-17.00017,35621,-34.4896,-70.0942,0.014
RGI60-17.00018,35622,-34.5105,-70.1012,0.022
RGI60-17.00019,35623,-34.5107,-70.139,0.023
RGI60-17.00020,35624,-34.5132,-70.1392,0.024
RGI60-17.00021,27147,-34.5169,-70.13,0.818
RGI60-17.00022,27148,-34.5256,-70.1373,1.229
RGI60-17.00023,27149,-34.5673,-70.1612,2.893
RGI60-17.00024,27150,-34.5498,-70.1423,6.234
RGI60-17.00025,35625,-34.5416,-70.1528,0.021
RGI60-17.00026,35626,-34.5433,-70.1536,0.032
RGI60-17.00027,35627,-34.5477,-70.1281,0.025
RGI60-17.00028,35628,-34.5486,-70.1246,0.041
RGI60-17.00029,27151,-34.5553,-70.164,0.177
RGI60-17.00030,35629,-34.5643,-70.1748,0.043
RGI60-17.00031,35630,-34.5701,-70.1837,0.069
RGI60-17.00032,27152,-34.5988,-70.1829,9.679
RGI60-17.00033,35631,-34.5776,-70.1711,0.019
RGI60-17.00034,35632,-34.5788,-70.1728,0.026
