outline_id,glacier_id,latitude,longitude,area_km2
RGI60-08.00001,,67.93,33.83,0.03
RGI60-08.00002,,67.87,33.5,0.03
RGI60-08.00003,,67.82,33.75,0.02
RGI60-08.00004,,67.83,33.77,0.02
RGI60-08.00005,341,67.139,16.345,21.469
RGI60-08.00006,342,68.083,18.055,4.886
RGI60-08.00007,99339,68.104,18.153,0.137
RGI60-08.00008,19361,68.145,18.166,0.531
RGI60-08.00009,19362,68.118,18.206,0.734
RGI60-08.00010,99340,68.122,18.085,0.303
RGI60-08.00011,99341,68.105,18.099,0.374
RGI60-08.00012,99342,68.567,18.446,0.135
RGI60-08.00013,19363,68.545,18.332,1.048
RGI60-08.00014,19364,67.775,16.813,0.563
RGI60-08.00015,19365,67.135,16.471,11.306
RGI60-08.00016,19366,67.154,16.444,0.906
RGI60-08.00017,19367,67.187,16.697,0.808
RGI60-08.00018,99343,67.227,16.893,0.109
RGI60-08.00019,19368,67.365,17.317,1.069
RGI60-08.00020,99344,67.217,16.914,0.133
RGI60-08.00021,99345,67.41,17.443,5.591
RGI60-08.00022,19369,67.362,17.392,0.44
RGI60-08.00023,99346,67.262,17.353,0.286
RGI60-08.00024,19370,67.302,17.444,2.547
RGI60-08.00025,99347,67.369,17.33,0.286
RGI60-08.00026,19371,67.292,17.341,0.88
RGI60-08.00027,19372,67.298,17.312,0.684
RGI60-08.00028,99348,67.352,16.999,0.377
RGI60-08.00029,19373,67.357,17.458,0.425
RGI60-08.00030,99349,67.508,17.315,0.645
RGI60-08.00031,99350,67.424,17.421,1.617
RGI60-08.00032,19374,67.393,17.49,1.811
RGI60-08.00033,19375,67.313,17.413,0.693
RGI60-08.00034,19376,67.392,17.435,0.742
RGI60-08.00035,19377,67.297,17.275,0.437
RGI60-08.00036,99351,67.315,17.43,0.288
RGI60-08.00037,19378,67.25,17.421,1.633
RGI60-08.00038,19379,67.361,17.362,0.822
RGI60-08.00039,99352,67.21,17.382,0.151
RGI60-08.00040,19380,67.241,17.379,3.137
RGI60-08.00041,19381,67.217,17.346,0.541
RGI60-08.00042,19382,67.258,17.393,2.968
RGI60-08.00043,19383,67.323,17.489,0.564
RGI60-08.00044,19384,67.228,17.34,0.452
RGI60-08.00045,99354,67.351,17.415,3.166
RGI60-08.00046,99355,67.158,17.218,0.292
RGI60-08.00047,99356,67.187,17.322,0.236
RGI60-08.00048,99357,66.991,17.069,0.289
RGI60-08.00049,19385,67.779,17.922,0.49
RGI60-08.00050,19386,67.909,17.47,0.827
RGI60-08.00051,99358,67.9,17.5,0.246
RGI60-08.00052,99359,67.785,17.917,0.289
RGI60-08.00053,19387,67.798,17.917,1.788
RGI60-08.00054,99360,67.719,17.833,0.123
RGI60-08.00055,19388,67.577,17.405,0.463
RGI60-08.00056,19389,67.709,17.831,1.024
RGI60-08.00057,344,67.583,17.468,1.189
RGI60-08.00058,19390,67.573,17.486,0.546
RGI60-08.00059,99361,67.722,17.713,0.319
RGI60-08.00060,99362,67.716,17.737,0.359
RGI60-08.00061,19391,67.581,17.5,0.765
RGI60-08.00062,99363,67.703,17.84,0.228
RGI60-08.00063,19392,67.569,17.399,0.479
RGI60-08.00064,99364,67.686,17.931,0.283
RGI60-08.00065,99365,67.683,17.944,0.131
RGI60-08.00066,19393,67.686,17.875,0.46
RGI60-08.00067,99366,67.686,17.875,0.243
RGI60-08.00068,99367,67.576,17.386,0.629
RGI60-08.00069,99368,67.592,17.507,0.136
RGI60-08.00070,19394,67.572,17.47,0.584
RGI60-08.00071,99369,67.722,17.811,0.312
RGI60-08.00072,19395,67.577,17.431,2.421
RGI60-08.00073,99370,67.588,17.511,0.271
RGI60-08.00074,99371,67.695,17.858,0.532
RGI60-08.00075,19396,67.715,17.791,2.062
RGI60-08.00076,99372,67.301,17.846,0.191
RGI60-08.00077,99373,67.327,17.494,0.256
RGI60-08.00078,99374,67.4,17.714,0.285
RGI60-08.00079,99375,67.285,17.48,0.324
RGI60-08.00080,19397,67.35,17.575,0.97
RGI60-08.00081,19398,67.226,17.781,1.069
RGI60-08.00082,99376,67.209,17.831,0.091
RGI60-08.00083,19399,67.295,17.885,0.82
RGI60-08.00084,99377,67.429,17.647,0.239
RGI60-08.00085,19400,67.402,17.809,3.193
RGI60-08.00086,99378,67.454,17.62,0.228
RGI60-08.00087,19401,67.385,17.789,1.659
RGI60-08.00088,19402,67.277,17.902,0.488
RGI60-08.00089,99379,67.445,17.615,0.245
RGI60-08.00090,99380,67.304,17.593,9.389
RGI60-08.00091,99381,67.299,17.908,0.238
RGI60-08.00092,99382,67.321,17.607,0.373
RGI60-08.00093,99383,67.222,17.827,0.6
RGI60-08.00094,19403,67.333,17.916,0.403
RGI60-08.00095,339,67.449,17.655,4.594
RGI60-08.00096,19404,67.345,17.631,1.185
RGI60-08.00097,19405,67.448,17.584,0.903
RGI60-08.00098,99384,67.4,17.728,0.152
RGI60-08.00099,19406,67.46,17.601,0.815
RGI60-08.00100,99385,67.335,17.893,0.202
RGI60-08.00101,99386,67.253,17.783,0.224
RGI60-08.00102,19407,67.454,17.62,1.4
RGI60-08.00103,336,67.471,17.571,7.206
RGI60-08.00104,99387,67.331,17.51,0.129
RGI60-08.00105,19408,67.392,17.748,2.56
RGI60-08.00106,19409,67.403,17.52,0.512
RGI60-08.00107,19410,67.476,17.52,1.476
RGI60-08.00108,19411,67.322,17.584,0.405
RGI60-08.00109,19412,67.44,17.703,3.731
RGI60-08.00110,99388,67.292,17.504,0.154
RGI60-08.00111,99389,67.396,17.824,0.054
RGI60-08.00112,19413,67.396,17.538,0.629
RGI60-08.00113,99390,67.31,17.491,0.195
RGI60-08.00114,99391,67.485,17.592,0.352
RGI60-08.00115,19414,67.421,17.529,0.577
RGI60-08.00116,99392,67.216,17.797,0.33
RGI60-08.00117,99393,67.245,17.807,0.184
RGI60-08.00118,19415,67.344,17.589,0.787
RGI60-08.00119,99394,67.228,17.752,0.346
RGI60-08.00120,99395,67.369,17.79,0.325
RGI60-08.00121,338,67.415,17.693,6.731
RGI60-08.00122,19416,67.316,17.52,2.841
RGI60-08.00123,99396,67.452,17.595,0.154
RGI60-08.00124,99397,67.382,17.724,0.25
RGI60-08.00125,19417,67.406,17.488,0.528
RGI60-08.00126,19418,67.301,17.51,3.294
RGI60-08.00127,19419,67.277,17.93,0.85
RGI60-08.00128,19420,67.344,17.902,1.797
RGI60-08.00129,99398,67.39,17.582,0.261
RGI60-08.00130,99399,67.351,17.885,0.143
RGI60-08.00131,99400,67.488,17.544,0.513
RGI60-08.00132,19421,67.412,17.78,4.628
RGI60-08.00133,99401,67.441,17.73,0.318
RGI60-08.00134,19422,67.292,17.922,2.517
RGI60-08.00135,99402,67.392,17.806,0.272
RGI60-08.00136,19423,67.429,17.75,2.579
RGI60-08.00137,19424,67.333,17.611,5.525
RGI60-08.00138,99403,67.323,17.489,0.118
RGI60-08.00139,99404,67.176,17.546,0.4
RGI60-08.00140,99405,67.202,17.835,0.176
RGI60-08.00141,19425,67.199,17.636,0.547
RGI60-08.00142,99406,67.187,17.685,0.349
RGI60-08.00143,99407,67.171,17.575,0.202
RGI60-08.00144,99408,67.193,17.606,0.208
RGI60-08.00145,99409,67.203,17.735,0.138
RGI60-08.00146,327,67.172,17.655,10.223
RGI60-08.00147,19426,67.186,17.583,2.261
RGI60-08.00148,99410,67.156,17.682,0.234
RGI60-08.00149,99411,67.174,17.558,0.097
RGI60-08.00150,99412,67.293,18.059,0.063
RGI60-08.00151,99413,67.277,18.012,0.162
RGI60-08.00152,99414,67.277,18.012,0.205
RGI60-08.00153,19427,67.325,17.984,0.6
RGI60-08.00154,99415,67.335,17.965,3.184
RGI60-08.00155,19428,67.279,17.988,0.658
RGI60-08.00156,99416,67.346,17.944,2.387
RGI60-08.00157,19429,67.278,17.958,1.805
RGI60-08.00158,19430,67.32,17.964,0.672
RGI60-08.00159,99417,67.279,18.075,0.486
RGI60-08.00160,99418,67.338,18.01,0.155
RGI60-08.00161,19431,67.291,17.964,1.519
RGI60-08.00162,19432,67.447,17.968,0.894
RGI60-08.00163,19433,67.33,18.002,0.616
RGI60-08.00164,99419,67.775,16.813,0.433
RGI60-08.00165,99420,67.839,18.553,0.176
RGI60-08.00166,99421,67.836,18.546,0.142
RGI60-08.00167,99422,67.682,18.404,0.125
RGI60-08.00168,99423,67.686,18.412,0.19
RGI60-08.00169,99424,67.863,18.172,0.354
RGI60-08.00170,19435,67.616,18.469,0.544
RGI60-08.00171,19436,67.887,18.57,0.413
RGI60-08.00172,99425,67.585,18.269,0.22
RGI60-08.00173,19437,67.542,18.277,0.767
RGI60-08.00174,99426,67.542,18.277,0.235
RGI60-08.00175,19438,67.574,18.268,2.155
RGI60-08.00176,19439,67.565,18.263,0.425
RGI60-08.00177,99427,67.557,18.267,0.141
RGI60-08.00178,99428,68.054,18.617,0.078
RGI60-08.00179,99429,67.935,18.563,0.109
RGI60-08.00180,99430,68.114,18.686,0.167
RGI60-08.00181,99431,67.994,18.49,0.263
RGI60-08.00182,99432,68.111,18.606,0.169
RGI60-08.00183,331,68.052,18.428,1.346
RGI60-08.00184,19440,68.22,18.774,0.507
RGI60-08.00185,19441,68.037,18.361,0.408
RGI60-08.00186,99433,68.041,18.341,0.332
RGI60-08.00187,99434,67.94,18.541,0.075
RGI60-08.00188,334,67.91,18.496,3.696
RGI60-08.00189,99435,68.042,18.317,0.28
RGI60-08.00190,99436,68.216,18.675,0.313
RGI60-08.00191,19442,68.101,18.681,1.853
RGI60-08.00192,19443,68.065,18.704,0.582
RGI60-08.00193,99437,68.038,18.426,0.16
RGI60-08.00194,19444,67.947,18.608,0.555
RGI60-08.00195,19445,67.972,18.564,1.071
RGI60-08.00196,19446,67.987,18.408,1.031
RGI60-08.00197,19447,67.971,18.512,0.649
RGI60-08.00198,99438,68.205,18.718,0.172
RGI60-08.00199,1461,68.081,18.686,3.689
RGI60-08.00200,99439,68.257,18.713,0.057
RGI60-08.00201,99440,68.212,18.691,0.285
RGI60-08.00202,19448,67.924,18.563,0.731
RGI60-08.00203,19449,67.964,18.452,0.444
RGI60-08.00204,99441,68.192,18.841,0.156
RGI60-08.00205,99442,67.975,18.469,0.126
RGI60-08.00206,99443,67.97,18.461,0.354
RGI60-08.00207,99444,68.214,18.801,0.295
RGI60-08.00208,343,67.976,18.434,1.497
RGI60-08.00209,19450,67.933,18.179,1.701
RGI60-08.00210,326,67.934,18.648,1.283
RGI60-08.00211,19451,68.045,18.48,0.806
RGI60-08.00212,19452,68.039,18.473,0.693
RGI60-08.00213,332,67.903,18.569,3.405
RGI60-08.00214,345,68.049,18.384,1.428
RGI60-08.00215,335,67.969,18.399,1.799
RGI60-08.00216,99445,68.228,18.758,0.331
RGI60-08.00217,19453,68.019,18.337,0.914
