outline_id,glacier_id,latitude,longitude,area_km2
RGI60-07.00001,23845,76.7052,17.0347,0.597
RGI60-07.00002,23846,76.7872,16.1891,0.581
RGI60-07.00003,133364,76.9194,16.3915,0.388
RGI60-07.00004,23847,76.9423,15.9932,1.044
RGI60-07.00005,23848,76.9564,16.4966,0.5
RGI60-07.00006,309,76.9375,16.4289,13.618
RGI60-07.00007,23849,76.9661,16.4263,0.559
RGI60-07.00008,133365,77.0379,16.1035,1.577
RGI60-07.00009,23850,77.0472,15.2714,0.651
RGI60-07.00010,23851,77.043,15.7801,1.456
RGI60-07.00011,133366,77.0498,16.0916,0.659
RGI60-07.00012,133367,77.0683,15.893,0.513
RGI60-07.00013,133368,77.0789,15.7598,0.083
RGI60-07.00014,133369,77.08,15.8767,0.194
RGI60-07.00015,133370,77.0813,15.7456,0.312
RGI60-07.00016,133371,77.0842,15.8585,0.229
RGI60-07.00017,23852,77.1193,15.3078,0.688
RGI60-07.00018,23853,77.1532,15.2635,0.559
RGI60-07.00019,133372,77.1646,15.2666,0.329
RGI60-07.00020,23854,77.1711,17.3325,0.439
RGI60-07.00021,23855,77.3137,14.6749,0.552
RGI60-07.00022,23856,77.3246,14.6474,0.469
RGI60-07.00023,23857,77.3241,17.3663,0.951
RGI60-07.00024,23858,77.3469,16.0997,1.025
RGI60-07.00025,133373,79.4014,23.5121,1095.853
RGI60-07.00026,133374,79.3657,24.447,153.538
RGI60-07.00027,133375,79.5931,24.5544,1226.367
RGI60-07.00028,133376,79.6073,25.2752,249.109
RGI60-07.00029,133377,79.7418,25.601,662.905
RGI60-07.00030,133378,79.8072,26.3482,175.992
RGI60-07.00031,133379,79.8722,26.6074,218.616
RGI60-07.00032,133380,80.2419,20.2284,16.277
RGI60-07.00033,133381,80.2055,20.0636,38.758
RGI60-07.00034,133382,80.1519,20.1708,82.176
RGI60-07.00035,133383,80.0371,21.3418,224.739
RGI60-07.00036,3515,80.1855,20.5652,67.387
RGI60-07.00037,133384,79.9838,21.8724,112.063
RGI60-07.00038,133385,79.9525,19.4023,61.667
RGI60-07.00039,133386,79.8907,19.0047,54.782
RGI60-07.00040,133387,79.8836,21.8543,56.294
RGI60-07.00041,133388,80.1199,20.9865,158.996
RGI60-07.00042,133389,79.8936,21.4968,109.841
RGI60-07.00043,23859,79.8517,21.1601,44.96
RGI60-07.00044,23860,80.017,19.1828,1.397
RGI60-07.00045,23861,79.8928,18.6958,8.6
RGI60-07.00046,23862,80.4086,19.5886,5.053
RGI60-07.00047,23863,80.3341,20.2312,0.705
RGI60-07.00048,23864,80.4674,19.7338,0.517
RGI60-07.00049,133390,80.3812,20.1168,1.56
RGI60-07.00050,133391,80.4094,19.9346,4.121
RGI60-07.00051,133392,80.2838,20.0943,3.615
RGI60-07.00052,23865,80.2774,20.2235,1.727
RGI60-07.00053,133393,80.2552,20.0902,13.573
RGI60-07.00054,133394,80.2375,20.4525,15.223
RGI60-07.00055,133395,80.4274,19.6031,0.465
RGI60-07.00056,23866,80.4263,19.7955,1.635
RGI60-07.00057,133396,80.4198,19.6594,0.555
RGI60-07.00058,133397,80.4397,19.7808,0.391
RGI60-07.00059,133398,80.4446,19.8107,0.286
RGI60-07.00060,23867,79.9329,26.7924,79.912
RGI60-07.00061,133399,79.9971,26.7928,84.651
RGI60-07.00062,133400,80.0132,26.0182,692.661
RGI60-07.00063,23868,78.0648,21.4725,17.288
