outline_id,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-07.00001,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.391,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.387,0.525,0.525,0.525,0.525,0.525,0.525,0.508,0.508,0.38,0.38,0.38,0.38,0.38,0.375,0.379,0.379,0.379,0.379,0.374,0.374,0.374,0.374,0.379,0.379,0.379,0.374,0.375,0.375,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.374,0.384,0.374,0.374,0.497,0.497,0.5
RGI60-07.00002,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.393,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.356,0.524,0.524,0.524,0.524,0.524,0.524,0.508,0.508,0.35,0.35,0.35,0.35,0.35,0.342,0.35,0.35,0.35,0.35,0.342,0.342,0.342,0.342,0.349,0.349,0.349,0.347,0.347,0.347,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.347,0.354,0.347,0.342,0.496,0.496,0.5
RGI60-07.00003,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.394,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.524,0.343,0.524,0.524,0.524,0.524,0.524,0.524,0.507,0.507,0.331,0.331,0.331,0.331,0.331,0.325,0.33,0.33,0.33,0.33,0.325,0.325,0.325,0.325,0.33,0.33,0.33,0.328,0.328,0.328,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.323,0.328,0.341,0.328,0.324,0.496,0.496,0.499
RGI60-07.00004,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.388,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.519,0.311,0.519,0.519,0.519,0.519,0.519,0.519,0.502,0.502,0.3,0.3,0.3,0.3,0.3,0.291,0.299,0.299,0.299,0.299,0.291,0.291,0.291,0.291,0.299,0.299,0.299,0.298,0.298,0.298,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.298,0.31,0.298,0.291,0.49,0.49,0.494
RGI60-07.00005,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.396,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.525,0.346,0.525,0.525,0.525,0.525,0.525,0.525,0.508,0.508,0.332,0.332,0.332,0.332,0.332,0.327,0.332,0.332,0.332,0.332,0.327,0.327,0.327,0.327,0.332,0.332,0.332,0.329,0.329,0.329,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.325,0.329,0.345,0.329,0.327,0.497,0.497,0.5
RGI60-07.00006,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.377,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.511,0.321,0.511,0.511,0.511,0.511,0.511,0.511,0.493,0.493,0.306,0.306,0.306,0.306,0.306,0.3,0.306,0.306,0.306,0.306,0.3,0.3,0.3,0.3,0.306,0.306,0.306,0.304,0.304,0.304,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.298,0.304,0.32,0.304,0.3,0.482,0.482,0.485
RGI60-07.00007,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.394,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.523,0.339,0.523,0.523,0.523,0.523,0.523,0.523,0.506,0.506,0.324,0.324,0.324,0.324,0.324,0.318,0.324,0.324,0.324,0.324,0.318,0.318,0.318,0.318,0.323,0.323,0.323,0.321,0.321,0.321,0.317,0.317,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.316,0.321,0.337,0.321,0.318,0.495,0.495,0.498
RGI60-07.00008,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.389,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.306,0.518,0.518,0.518,0.518,0.518,0.518,0.501,0.501,0.284,0.284,0.284,0.284,0.284,0.278,0.283,0.283,0.283,0.283,0.278,0.278,0.278,0.278,0.283,0.283,0.283,0.282,0.282,0.282,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.282,0.305,0.282,0.278,0.489,0.489,0.493
RGI60-07.00009,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.386,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.236,0.514,0.514,0.514,0.514,0.514,0.514,0.497,0.497,0.268,0.268,0.268,0.268,0.268,0.23,0.268,0.268,0.268,0.268,0.23,0.23,0.23,0.23,0.267,0.267,0.267,0.267,0.267,0.267,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.229,0.267,0.236,0.267,0.23,0.486,0.486,0.489
RGI60-07.00010,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.384,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.514,0.269,0.514,0.514,0.514,0.514,0.514,0.514,0.496,0.496,0.243,0.243,0.243,0.243,0.243,0.235,0.243,0.243,0.243,0.243,0.235,0.235,0.235,0.235,0.243,0.243,0.243,0.243,0.243,0.243,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.235,0.243,0.269,0.243,0.235,0.485,0.485,0.488
