outline_id,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-07.00001,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.363,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.504,0.358,0.504,0.504,0.504,0.504,0.504,0.504,0.487,0.487,0.351,0.351,0.351,0.351,0.351,0.345,0.35,0.35,0.35,0.35,0.344,0.344,0.344,0.344,0.349,0.349,0.349,0.345,0.345,0.345,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.345,0.355,0.345,0.344,0.475,0.475,0.478
RGI60-07.00002,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.36,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.319,0.5,0.5,0.5,0.5,0.5,0.5,0.483,0.483,0.313,0.313,0.313,0.313,0.313,0.304,0.312,0.312,0.312,0.312,0.304,0.304,0.304,0.304,0.312,0.312,0.312,0.309,0.309,0.309,0.302,0.302,0.301,0.301,0.301,0.301,0.301,0.301,0.301,0.301,0.309,0.317,0.309,0.304,0.471,0.471,0.474
RGI60-07.00003,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.358,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.301,0.497,0.497,0.497,0.497,0.497,0.497,0.48,0.48,0.287,0.287,0.287,0.287,0.287,0.28,0.287,0.287,0.287,0.287,0.28,0.28,0.28,0.28,0.286,0.286,0.286,0.284,0.284,0.284,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.278,0.284,0.299,0.284,0.28,0.468,0.468,0.471
RGI60-07.00004,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.357,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.271,0.496,0.496,0.496,0.496,0.496,0.496,0.478,0.478,0.257,0.257,0.257,0.257,0.257,0.248,0.257,0.257,0.257,0.257,0.247,0.247,0.247,0.247,0.257,0.257,0.257,0.255,0.255,0.255,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.246,0.255,0.27,0.255,0.247,0.466,0.466,0.469
RGI60-07.00005,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.358,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.302,0.497,0.497,0.497,0.497,0.497,0.497,0.479,0.479,0.285,0.285,0.285,0.285,0.285,0.279,0.285,0.285,0.285,0.285,0.279,0.279,0.279,0.279,0.285,0.285,0.285,0.282,0.282,0.282,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.277,0.282,0.3,0.282,0.279,0.467,0.467,0.47
RGI60-07.00006,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.358,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.497,0.299,0.497,0.497,0.497,0.497,0.497,0.497,0.479,0.479,0.282,0.282,0.282,0.282,0.282,0.276,0.282,0.282,0.282,0.282,0.276,0.276,0.276,0.276,0.282,0.282,0.282,0.279,0.279,0.279,0.274,0.274,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.273,0.279,0.297,0.279,0.275,0.467,0.467,0.47
RGI60-07.00007,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.357,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.496,0.296,0.496,0.496,0.496,0.496,0.496,0.496,0.478,0.478,0.279,0.279,0.279,0.279,0.279,0.272,0.278,0.278,0.278,0.278,0.272,0.272,0.272,0.272,0.278,0.278,0.278,0.276,0.276,0.276,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.276,0.294,0.276,0.272,0.466,0.466,0.47
RGI60-07.00008,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.355,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.262,0.493,0.493,0.493,0.493,0.493,0.493,0.475,0.475,0.235,0.235,0.235,0.235,0.235,0.229,0.235,0.235,0.235,0.235,0.228,0.228,0.228,0.228,0.235,0.235,0.235,0.233,0.234,0.234,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.227,0.233,0.261,0.233,0.228,0.463,0.463,0.466
RGI60-07.00009,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.354,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.18,0.491,0.491,0.491,0.491,0.491,0.491,0.473,0.473,0.219,0.219,0.219,0.219,0.219,0.171,0.219,0.219,0.219,0.219,0.171,0.171,0.171,0.171,0.219,0.219,0.219,0.218,0.218,0.218,0.171,0.171,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.218,0.179,0.218,0.171,0.461,0.461,0.464
RGI60-07.00010,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.355,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.226,0.492,0.492,0.492,0.492,0.492,0.492,0.474,0.474,0.194,0.194,0.194,0.194,0.194,0.184,0.194,0.194,0.194,0.194,0.184,0.184,0.184,0.184,0.194,0.194,0.194,0.193,0.193,0.193,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.193,0.225,0.193,0.184,0.462,0.462,0.465
RGI60-07.00011,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.355,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.493,0.26,0.493,0.493,0.493,0.493,0.493,0.493,0.475,0.475,0.232,0.232,0.232,0.232,0.232,0.225,0.232,0.232,0.232,0.232,0.225,0.225,0.225,0.225,0.232,0.232,0.232,0.23,0.23,0.23,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.23,0.259,0.23,0.225,0.463,0.463,0.466
RGI60-07.00012,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.354,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.238,0.492,0.492,0.492,0.492,0.492,0.492,0.474,0.474,0.203,0.203,0.203,0.203,0.203,0.195,0.202,0.202,0.202,0.202,0.195,0.195,0.195,0.195,0.202,0.202,0.202,0.201,0.201,0.201,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.201,0.237,0.201,0.195,0.462,0.462,0.465
RGI60-07.00013,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.354,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.222,0.491,0.491,0.491,0.491,0.491,0.491,0.473,0.473,0.179,0.179,0.179,0.179,0.179,0.171,0.179,0.179,0.179,0.179,0.171,0.171,0.171,0.171,0.179,0.179,0.179,0.179,0.179,0.179,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.171,0.179,0.221,0.179,0.171,0.461,0.461,0.464
