outline_id,glacier_id,latitude,longitude,area_km2
RGI60-16.00001,26478,-16.5212,-69.9053,0.098
RGI60-16.00002,26479,-16.5196,-69.9117,0.147
RGI60-16.00003,26480,-16.5156,-69.9246,0.149
RGI60-16.00004,69715,-16.3855,-69.1445,0.051
RGI60-16.00005,69716,-16.384,-69.1411,0.037
RGI60-16.00006,26481,-16.4572,-69.895,0.927
RGI60-16.00007,26482,-16.4687,-69.8873,0.899
RGI60-16.00008,26483,-16.4684,-69.8764,0.091
RGI60-16.00009,26484,-16.4774,-69.8778,0.366
RGI60-16.00010,26485,-16.4167,-70.5634,0.504
RGI60-16.00011,26486,-16.4186,-70.5701,0.221
RGI60-16.00012,69717,-16.3693,-69.1673,0.048
RGI60-16.00013,33652,-16.3702,-70.5541,0.012
RGI60-16.00014,26487,-16.369,-70.5575,0.114
RGI60-16.00015,33653,-16.3656,-70.5518,0.04
RGI60-16.00016,33654,-16.3736,-70.551,0.012
RGI60-16.00017,33655,-16.3719,-70.5497,0.016
RGI60-16.00018,26488,-16.3739,-70.5473,0.493
RGI60-16.00019,69718,-16.3266,-69.1637,0.107
RGI60-16.00020,26489,-17.9296,-68.9068,0.468
RGI60-16.00021,69719,-17.9282,-68.9144,0.164
RGI60-16.00022,26490,-17.9345,-68.9143,1.269
RGI60-16.00023,26491,-16.3014,-70.3624,0.057
RGI60-16.00024,26492,-16.2926,-70.3654,0.228
RGI60-16.00025,33656,-16.2879,-70.3612,0.049
RGI60-16.00026,26493,-16.2952,-70.3732,0.112
RGI60-16.00027,33657,-16.2916,-70.3693,0.163
RGI60-16.00028,33658,-16.3016,-70.3432,0.61
RGI60-16.00029,26494,-16.2905,-70.3267,0.08
RGI60-16.00030,33659,-16.2889,-70.3493,0.021
RGI60-16.00031,26495,-16.2886,-70.3388,0.414
RGI60-16.00032,33660,-16.2885,-70.3571,0.138
RGI60-16.00033,33661,-16.2941,-70.3541,1.253
RGI60-16.00034,26496,-16.2385,-70.3321,0.168
RGI60-16.00035,33662,-16.2378,-70.37,0.4
RGI60-16.00036,33663,-16.2498,-70.3793,0.098
RGI60-16.00037,26497,-16.2533,-70.3326,0.829
RGI60-16.00038,26498,-16.2476,-70.3358,0.119
RGI60-16.00039,33664,-16.264,-70.3446,0.088
