outline_id,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-16.00001,0.089,-0.004,0.359,0.479,0.389,0.403,-0.279,1.223,0.011,0.398,-0.102,0.548,0.879,0.006,-0.004,0.104,-0.855,0.561,-0.043,-0.905,-0.47,0.509,-1.558,0.013,0.273,0.347,-0.219,-0.454,-0.635,-1.464,-0.086,-0.056,1.008,-0.608,-1.06,-0.049,0.046,0.122,0.051,0.144,-1.22,-0.321,0.258,-0.016,-0.389,0.288,0.015,-0.653,-1.392,-0.328
RGI60-16.00002,0.161,0.068,0.431,0.551,0.461,0.475,-0.207,1.295,0.083,0.47,-0.03,0.62,0.951,0.078,0.068,0.176,-0.783,0.633,0.029,-0.833,-0.398,0.581,-1.485,0.086,0.345,0.419,-0.147,-0.382,-0.562,-1.392,-0.014,0.016,1.081,-0.536,-0.987,0.024,0.118,0.194,0.123,0.215,-1.147,-0.248,0.33,0.056,-0.317,0.36,0.087,-0.58,-1.32,-0.255
RGI60-16.00003,0.087,-0.006,0.357,0.477,0.386,0.401,-0.281,1.22,0.009,0.396,-0.104,0.546,0.877,0.004,-0.006,0.102,-0.857,0.559,-0.045,-0.908,-0.472,0.506,-1.559,0.012,0.271,0.345,-0.221,-0.457,-0.636,-1.465,-0.088,-0.058,1.007,-0.609,-1.06,-0.05,0.045,0.119,0.049,0.141,-1.221,-0.322,0.255,-0.019,-0.391,0.286,0.013,-0.654,-1.393,-0.329
RGI60-16.00004,0.176,0.079,0.456,0.58,0.486,0.501,-0.206,1.35,0.095,0.496,-0.022,0.651,0.994,0.089,0.079,0.191,-0.776,0.64,0.036,-0.782,-0.42,0.648,-1.544,0.038,0.324,0.472,-0.103,-0.325,-0.567,-1.436,0.003,0.023,1.014,-0.56,-1.033,-0.035,0.055,0.221,0.122,0.278,-1.172,-0.264,0.359,0.139,-0.283,0.373,0.077,-0.601,-1.332,-0.25
RGI60-16.00005,0.216,0.119,0.496,0.62,0.526,0.541,-0.166,1.391,0.135,0.536,0.018,0.691,1.035,0.129,0.119,0.231,-0.736,0.68,0.076,-0.742,-0.381,0.688,-1.504,0.078,0.364,0.512,-0.063,-0.285,-0.527,-1.396,0.043,0.063,1.054,-0.52,-0.993,0.005,0.094,0.261,0.162,0.318,-1.132,-0.224,0.4,0.179,-0.242,0.413,0.117,-0.561,-1.292,-0.21
RGI60-16.00006,0.285,0.191,0.554,0.675,0.584,0.599,-0.083,1.418,0.206,0.594,0.093,0.743,1.075,0.201,0.191,0.299,-0.659,0.757,0.153,-0.709,-0.275,0.705,-1.363,0.209,0.468,0.543,-0.023,-0.258,-0.439,-1.269,0.109,0.139,1.202,-0.412,-0.863,0.146,0.24,0.317,0.246,0.34,-1.024,-0.125,0.453,0.18,-0.193,0.483,0.21,-0.457,-1.195,-0.132
RGI60-16.00007,0.234,0.141,0.504,0.624,0.533,0.548,-0.134,1.368,0.155,0.543,0.042,0.693,1.024,0.15,0.141,0.249,-0.71,0.706,0.102,-0.76,-0.326,0.655,-1.414,0.157,0.417,0.493,-0.074,-0.309,-0.49,-1.32,0.058,0.088,1.151,-0.464,-0.915,0.095,0.189,0.267,0.196,0.289,-1.075,-0.176,0.403,0.13,-0.244,0.432,0.159,-0.508,-1.247,-0.183
RGI60-16.00008,0.226,0.133,0.496,0.617,0.526,0.541,-0.142,1.361,0.148,0.536,0.035,0.685,1.017,0.143,0.133,0.241,-0.718,0.698,0.094,-0.767,-0.334,0.648,-1.422,0.149,0.409,0.486,-0.081,-0.316,-0.498,-1.328,0.051,0.081,1.143,-0.472,-0.923,0.087,0.18,0.259,0.188,0.282,-1.083,-0.184,0.395,0.123,-0.251,0.425,0.151,-0.516,-1.255,-0.19
RGI60-16.00009,0.2,0.107,0.47,0.59,0.5,0.514,-0.168,1.334,0.121,0.509,0.009,0.659,0.991,0.117,0.107,0.215,-0.744,0.672,0.068,-0.793,-0.36,0.621,-1.449,0.123,0.383,0.459,-0.107,-0.342,-0.524,-1.355,0.025,0.054,1.117,-0.498,-0.949,0.06,0.154,0.233,0.162,0.256,-1.109,-0.21,0.369,0.097,-0.278,0.399,0.125,-0.542,-1.281,-0.217
RGI60-16.00010,0.268,0.176,0.532,0.651,0.561,0.576,-0.094,1.38,0.19,0.571,0.079,0.718,1.043,0.185,0.176,0.281,-0.673,0.743,0.139,-0.746,-0.276,0.66,-1.347,0.218,0.462,0.508,-0.054,-0.294,-0.443,-1.253,0.084,0.119,1.219,-0.405,-0.841,0.166,0.255,0.295,0.238,0.303,-1.015,-0.125,0.427,0.121,-0.224,0.461,0.2,-0.454,-1.186,-0.145
RGI60-16.00011,0.298,0.207,0.563,0.681,0.592,0.607,-0.063,1.411,0.221,0.602,0.111,0.749,1.074,0.216,0.207,0.313,-0.641,0.774,0.17,-0.714,-0.244,0.692,-1.314,0.252,0.497,0.539,-0.023,-0.263,-0.413,-1.222,0.115,0.149,1.25,-0.374,-0.81,0.197,0.286,0.325,0.269,0.334,-0.985,-0.094,0.457,0.156,-0.19,0.494,0.232,-0.422,-1.154,-0.113
