outline_id,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-16.00001,1.321,1.321,1.321,1.321,1.321,1.321,1.321,1.321,1.321,1.321,1.321,1.321,1.321,1.321,1.321,1.321,0.646,0.646,0.646,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.827,0.818,0.818,0.794,0.79,0.79,0.79,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.787,0.79,0.787,0.787,0.787,0.789,1.011
RGI60-16.00002,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,1.317,0.638,0.638,0.638,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.821,0.812,0.812,0.788,0.783,0.783,0.783,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.781,0.783,0.781,0.781,0.781,0.782,1.005
RGI60-16.00003,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,0.646,0.646,0.646,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.828,0.818,0.818,0.795,0.79,0.79,0.79,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.79,0.788,0.788,0.788,0.789,1.01
RGI60-16.00004,1.331,1.331,1.331,1.331,1.331,1.331,1.331,1.331,1.331,1.331,1.331,1.331,1.331,1.331,1.331,1.331,0.607,0.607,0.607,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.778,0.767,0.767,0.752,0.748,0.748,0.748,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.747,0.748,0.747,0.747,0.747,0.748,1.024
RGI60-16.00005,1.356,1.356,1.356,1.356,1.356,1.356,1.356,1.356,1.356,1.356,1.356,1.356,1.356,1.356,1.356,1.356,0.659,0.659,0.659,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.809,0.809,0.795,0.791,0.791,0.791,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.79,0.791,0.79,0.79,0.79,0.791,1.056
RGI60-16.00006,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,0.626,0.626,0.626,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.802,0.802,0.778,0.773,0.773,0.773,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.773,0.771,0.771,0.771,0.772,0.998
RGI60-16.00007,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,1.311,0.626,0.626,0.626,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.811,0.802,0.802,0.778,0.773,0.773,0.773,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.773,0.771,0.771,0.771,0.772,0.998
RGI60-16.00008,1.325,1.325,1.325,1.325,1.325,1.325,1.325,1.325,1.325,1.325,1.325,1.325,1.325,1.325,1.325,1.325,0.654,0.654,0.654,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.833,0.824,0.824,0.801,0.796,0.796,0.796,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.794,0.796,0.794,0.794,0.794,0.795,1.016
RGI60-16.00009,1.315,1.315,1.315,1.315,1.315,1.315,1.315,1.315,1.315,1.315,1.315,1.315,1.315,1.315,1.315,1.315,0.634,0.634,0.634,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.808,0.808,0.784,0.779,0.779,0.779,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.779,0.777,0.777,0.777,0.779,1.004
RGI60-16.00010,1.305,1.305,1.305,1.305,1.305,1.305,1.305,1.305,1.305,1.305,1.305,1.305,1.305,1.305,1.305,1.305,0.647,0.647,0.647,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.834,0.825,0.825,0.796,0.791,0.791,0.791,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.788,0.791,0.788,0.788,0.788,0.79,0.99
