outline_id,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
RGI60-16.00001,1.304,1.304,1.304,1.304,1.304,1.304,1.304,1.304,1.304,1.304,1.304,1.304,1.304,1.304,1.304,1.304,0.61,0.61,0.61,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.799,0.79,0.79,0.765,0.761,0.761,0.761,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.761,0.758,0.758,0.758,0.76,0.988
RGI60-16.00002,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,0.61,0.61,0.61,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.79,0.79,0.766,0.761,0.761,0.761,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.758,0.761,0.758,0.758,0.758,0.76,0.988
RGI60-16.00003,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,0.61,0.61,0.61,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.791,0.791,0.766,0.761,0.761,0.761,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.759,0.761,0.759,0.759,0.759,0.76,0.988
RGI60-16.00004,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,0.553,0.553,0.553,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.725,0.725,0.709,0.705,0.705,0.705,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.704,0.705,0.704,0.704,0.704,0.705,0.993
RGI60-16.00005,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,0.552,0.552,0.552,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.736,0.725,0.725,0.708,0.705,0.705,0.705,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.703,0.705,0.703,0.703,0.703,0.704,0.993
RGI60-16.00006,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,0.609,0.609,0.609,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.789,0.789,0.764,0.759,0.759,0.759,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.759,0.757,0.757,0.757,0.759,0.987
RGI60-16.00007,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,0.608,0.608,0.608,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.788,0.788,0.764,0.759,0.759,0.759,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.759,0.757,0.757,0.757,0.758,0.988
RGI60-16.00008,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,0.608,0.608,0.608,0.797,0.797,0.797,0.797,0.797,0.797,0.797,0.797,0.788,0.788,0.764,0.759,0.759,0.759,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.756,0.759,0.756,0.756,0.756,0.758,0.988
RGI60-16.00009,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,1.303,0.608,0.608,0.608,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.798,0.788,0.788,0.764,0.759,0.759,0.759,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.757,0.759,0.757,0.757,0.757,0.758,0.988
RGI60-16.00010,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,0.633,0.633,0.633,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.815,0.815,0.785,0.78,0.78,0.78,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.78,0.777,0.777,0.777,0.779,0.981
RGI60-16.00011,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,0.634,0.634,0.634,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.824,0.815,0.815,0.785,0.78,0.78,0.78,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.78,0.777,0.777,0.777,0.779,0.981
RGI60-16.00012,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,0.555,0.555,0.555,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.739,0.728,0.728,0.711,0.708,0.708,0.708,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.708,0.706,0.706,0.706,0.707,0.993
RGI60-16.00013,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,0.633,0.633,0.633,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.814,0.814,0.785,0.779,0.779,0.779,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.779,0.777,0.777,0.777,0.778,0.981
RGI60-16.00014,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,0.633,0.633,0.633,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.815,0.815,0.785,0.779,0.779,0.779,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.779,0.777,0.777,0.777,0.778,0.981
RGI60-16.00015,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,0.633,0.633,0.633,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.814,0.814,0.785,0.779,0.779,0.779,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.779,0.777,0.777,0.777,0.778,0.981
RGI60-16.00016,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,0.633,0.633,0.633,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.814,0.814,0.785,0.779,0.779,0.779,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.779,0.777,0.777,0.777,0.778,0.981
RGI60-16.00017,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,0.633,0.633,0.633,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.814,0.814,0.785,0.779,0.779,0.779,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.779,0.777,0.777,0.777,0.778,0.981
RGI60-16.00018,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,1.298,0.633,0.633,0.633,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.823,0.814,0.814,0.784,0.779,0.779,0.779,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.779,0.777,0.777,0.777,0.778,0.981
RGI60-16.00019,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,1.307,0.555,0.555,0.555,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.738,0.727,0.727,0.71,0.707,0.707,0.707,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.705,0.707,0.705,0.705,0.705,0.706,0.992
RGI60-16.00020,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,0.614,0.614,0.614,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.799,0.799,0.778,0.773,0.773,0.773,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.773,0.771,0.771,0.771,0.772,1.009
RGI60-16.00021,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,0.614,0.614,0.614,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.799,0.799,0.779,0.773,0.773,0.773,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.773,0.771,0.771,0.771,0.772,1.009
RGI60-16.00022,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,1.319,0.614,0.614,0.614,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.799,0.799,0.779,0.774,0.774,0.774,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.771,0.774,0.771,0.771,0.771,0.773,1.009
RGI60-16.00023,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,0.627,0.627,0.627,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.808,0.808,0.779,0.774,0.774,0.774,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.774,0.772,0.772,0.772,0.773,0.982
RGI60-16.00024,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,1.299,0.627,0.627,0.627,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.817,0.808,0.808,0.779,0.774,0.774,0.774,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.774,0.772,0.772,0.772,0.773,0.982
