outline_id,glacier_id,latitude,longitude,area_km2
RGI60-02.00001,81465,49.0019,-121.235,0.073
RGI60-02.00002,81466,49.1617,-121.59,0.262
RGI60-02.00003,81467,49.1627,-121.209,0.307
RGI60-02.00004,81468,49.1657,-121.601,0.184
RGI60-02.00005,81469,49.1666,-121.611,0.274
RGI60-02.00006,81470,49.1668,-121.218,0.348
RGI60-02.00007,81471,49.1709,-121.628,0.172
RGI60-02.00008,81472,49.1751,-121.66,0.17
RGI60-02.00009,81473,49.4291,-122.344,0.066
RGI60-02.00010,81474,49.431,-122.353,0.075
RGI60-02.00011,81475,49.4353,-122.352,0.072
RGI60-02.00012,81476,49.4383,-122.357,0.4
RGI60-02.00013,,49.4364,-122.362,0.05
RGI60-02.00014,81477,49.4567,-125.761,0.419
RGI60-02.00015,81478,49.4658,-125.754,0.06
RGI60-02.00016,81479,49.4618,-125.748,0.921
RGI60-02.00017,81480,49.4635,-125.764,0.998
RGI60-02.00018,81481,49.4817,-125.646,0.623
RGI60-02.00019,81482,49.4802,-125.657,0.132
RGI60-02.00020,81483,49.4864,-125.5,0.307
RGI60-02.00021,81484,49.5074,-122.72,0.163
RGI60-02.00022,81485,49.5199,-125.739,0.071
RGI60-02.00023,81486,49.5311,-125.388,0.54
RGI60-02.00024,81487,49.5316,-125.396,0.311
RGI60-02.00025,81488,49.5356,-122.109,0.096
RGI60-02.00026,81489,49.5392,-122.102,0.104
RGI60-02.00027,81490,49.54,-125.728,0.182
RGI60-02.00028,81491,49.5397,-125.397,0.747
RGI60-02.00029,81492,49.5439,-125.74,0.05
RGI60-02.00030,81493,49.546,-125.607,0.066
RGI60-02.00031,81494,49.5467,-125.45,0.151
RGI60-02.00032,81495,49.5469,-125.443,0.144
RGI60-02.00033,81496,49.547,-125.603,0.084
RGI60-02.00034,81497,49.5453,-125.383,0.232
RGI60-02.00035,81498,49.549373627,-125.728973389,0.051
RGI60-02.00036,81499,49.5507,-125.457,0.154
RGI60-02.00037,81500,49.5511,-125.372,0.201
RGI60-02.00038,81501,49.5504,-125.353,0.751
RGI60-02.00039,81502,49.5457,-125.35,0.328
RGI60-02.00040,81503,49.5524,-125.36,0.22
RGI60-02.00041,81504,49.5494,-125.363,0.251
RGI60-02.00042,81505,49.5594,-125.368,0.06
RGI60-02.00043,81506,49.564,-122.074,0.178
RGI60-02.00044,81507,49.5663,-125.913,0.15
RGI60-02.00045,81508,49.571,-115.423,0.353
RGI60-02.00046,81509,49.5781,-125.399,0.139
RGI60-02.00047,81510,49.5802,-125.407,0.08
RGI60-02.00048,81511,49.5753,-122.807,0.58
RGI60-02.00049,81512,49.5768,-122.82,1.033
RGI60-02.00050,81513,49.572,-122.801,0.151
RGI60-02.00051,81514,49.5858,-122.068,0.176
RGI60-02.00052,81515,49.5837,-125.401,0.307
RGI60-02.00053,81516,49.5881,-125.412,0.059
RGI60-02.00054,81517,49.5877,-122.085,0.324
RGI60-02.00055,81518,49.5875,-122.094,0.127
RGI60-02.00056,81519,49.5885,-122.074,0.267
RGI60-02.00057,81520,49.5927,-122.241,0.164
RGI60-02.00058,81521,49.5889,-122.251,0.32
RGI60-02.00059,81522,49.5917,-125.398,0.174
RGI60-02.00060,81523,49.5987,-125.681,0.07
RGI60-02.00061,81524,49.6012,-125.671,0.064
RGI60-02.00062,81525,49.6097,-122.093,0.133
