year,area_km2,mwe,mwe_sigma,mwe_cumsum,gt,gt_sigma,gt_cumsum,gt_cumsum_sigma,mmsle,mmsle_sigma,mmsle_cumsum,mmsle_cumsum_sigma
1976,754711.34,0.015,0.394,0.015,12.432,106.67,12.432,106.67,-0.034,0.294,-0.034,0.294
1977,753124.23,-0.056,0.394,-0.041,-40.534,106.385,-28.102,150.653,0.112,0.293,0.078,0.416
1978,751543.12,-0.068,0.394,-0.109,-50.233,106.068,-78.335,184.247,0.139,0.293,0.216,0.508
1979,749959.92,-0.111,0.394,-0.22,-85.826,105.834,-164.161,212.48,0.237,0.292,0.453,0.586
1980,748382.74,0.038,0.392,-0.182,30.928,105.419,-133.233,237.194,-0.085,0.291,0.368,0.654
1981,746811.5,0.079,0.396,-0.102,61.274,105.582,-71.959,259.632,-0.169,0.291,0.199,0.716
1982,745246.19,-0.126,0.396,-0.229,-96.011,105.227,-167.969,280.145,0.265,0.29,0.463,0.773
1983,743686.76,0.159,0.394,-0.07,114.97,104.738,-52.999,299.084,-0.317,0.289,0.146,0.825
1984,742133.18,-0.135,0.393,-0.206,-99.126,104.139,-152.125,316.696,0.273,0.287,0.42,0.874
1985,740585.47,-0.046,0.394,-0.251,-33.522,103.91,-185.647,333.307,0.092,0.287,0.512,0.919
1986,738211.18,-0.074,0.391,-0.325,-54.048,103.448,-239.695,348.992,0.149,0.285,0.661,0.963
1987,735849.44,0.113,0.389,-0.212,81.165,102.782,-158.53,363.812,-0.224,0.284,0.437,1.004
1988,733500.3,0.06,0.387,-0.153,43.379,102.419,-115.151,377.954,-0.12,0.283,0.318,1.043
1989,731163.59,-0.158,0.388,-0.311,-117.075,101.971,-232.226,391.468,0.323,0.281,0.641,1.08
1990,728839.2,-0.362,0.387,-0.673,-265.403,101.676,-497.629,404.457,0.732,0.28,1.373,1.116
1991,726435.05,-0.137,0.386,-0.81,-100.456,101.108,-598.085,416.903,0.277,0.279,1.65,1.15
1992,724043.36,0.035,0.384,-0.775,23.785,100.857,-574.3,428.929,-0.066,0.278,1.584,1.183
1993,721664.01,-0.253,0.384,-1.028,-183.585,100.552,-757.884,440.557,0.506,0.277,2.091,1.215
1994,719296.91,-0.197,0.383,-1.225,-142.585,100.043,-900.469,451.774,0.393,0.276,2.484,1.246
1995,716942.03,-0.289,0.384,-1.514,-207.716,99.821,-1108.185,462.67,0.573,0.275,3.057,1.276
1996,714599.22,-0.181,0.381,-1.695,-128.487,98.887,-1236.672,473.12,0.354,0.273,3.412,1.305
1997,712268.5,-0.449,0.381,-2.144,-319.751,98.756,-1556.423,483.317,0.882,0.272,4.294,1.333
1998,709949.69,-0.151,0.381,-2.295,-107.772,98.276,-1664.195,493.207,0.297,0.271,4.591,1.361
1999,707642.8,-0.369,0.38,-2.665,-261.249,97.813,-1925.444,502.813,0.721,0.27,5.312,1.387
2000,705347.68,-0.189,0.322,-2.854,-133.304,74.417,-2058.747,508.29,0.368,0.205,5.679,1.402
2001,703064.26,-0.251,0.308,-3.105,-176.416,72.532,-2235.163,513.439,0.487,0.2,6.166,1.416
2002,700792.55,-0.228,0.317,-3.333,-159.949,74.554,-2395.113,518.823,0.441,0.206,6.607,1.431
2003,698532.38,-0.326,0.311,-3.659,-227.419,73.614,-2622.532,524.02,0.627,0.203,7.235,1.446
2004,696283.71,-0.492,0.311,-4.151,-341.602,73.775,-2964.134,529.187,0.942,0.204,8.177,1.46
2005,694046.46,-0.472,0.31,-4.623,-326.242,73.183,-3290.376,534.224,0.9,0.202,9.077,1.474
2006,691820.54,-0.391,0.307,-5.015,-270.62,72.378,-3560.996,539.105,0.747,0.2,9.823,1.487
2007,689605.93,-0.416,0.306,-5.43,-285.868,72.014,-3846.864,543.893,0.789,0.199,10.612,1.5
2008,687402.49,-0.229,0.303,-5.659,-159.241,71.286,-4006.105,548.545,0.439,0.197,11.051,1.513
2009,685210.2,-0.455,0.303,-6.114,-310.374,71.044,-4316.479,553.126,0.856,0.196,11.908,1.526
2010,683028.94,-0.229,0.302,-6.344,-153.134,70.716,-4469.613,557.628,0.422,0.195,12.33,1.538
2011,680858.7,-0.522,0.301,-6.865,-353.484,70.572,-4823.097,562.076,0.975,0.195,13.305,1.551
2012,678699.36,-0.305,0.3,-7.17,-208.449,69.968,-5031.546,566.415,0.575,0.193,13.88,1.563
2013,676550.91,-0.345,0.299,-7.515,-228.882,69.543,-5260.428,570.668,0.631,0.192,14.512,1.574
2014,674413.2,-0.207,0.299,-7.722,-137.071,69.249,-5397.499,574.854,0.378,0.191,14.89,1.586
2015,672286.18,-0.421,0.299,-8.144,-282.622,69.113,-5680.121,578.994,0.78,0.191,15.669,1.597
2016,670169.8,-0.525,0.299,-8.669,-348.755,68.733,-6028.877,583.059,0.962,0.19,16.631,1.608
2017,668064.01,-0.374,0.299,-9.043,-246.987,68.443,-6275.864,587.062,0.681,0.189,17.313,1.619
2018,665968.72,-0.336,0.299,-9.379,-223.695,68.243,-6499.559,591.016,0.617,0.188,17.93,1.63
2019,663883.88,-0.666,0.299,-10.045,-434.048,68.424,-6933.607,594.963,1.197,0.189,19.127,1.641
2020,661809.36,-0.695,0.302,-10.74,-460.912,68.281,-7394.519,598.869,1.271,0.188,20.399,1.652
2021,659745.18,-0.472,0.3,-11.212,-306.623,67.574,-7701.142,602.669,0.846,0.186,21.245,1.663
2022,657691.25,-0.697,0.301,-11.909,-457.819,67.53,-8158.961,606.441,1.263,0.186,22.507,1.673
2023,655647.47,-0.858,0.304,-12.767,-555.494,68.007,-8714.456,610.242,1.532,0.188,24.04,1.683
2024,653613.83,-0.705,0.304,-13.472,-460.575,67.467,-9175.031,613.96,1.271,0.186,25.31,1.694
2025,651590.19,-0.629,0.305,-14.101,-408.101,67.223,-9583.132,617.629,1.126,0.185,26.436,1.704
