year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1960,108021.09,-0.461,0.222,-49.775,24.149
1961,107945.48,-0.053,0.199,-5.734,21.498
1962,107869.91,-0.624,0.199,-67.315,21.743
1963,107794.41,-0.025,0.196,-2.648,21.171
1964,107718.95,0.337,0.196,36.277,21.234
1965,107643.55,0.109,0.196,11.743,21.149
1966,107568.2,-0.02,0.196,-2.202,21.127
1967,107492.9,0.104,0.196,11.146,21.119
1968,107417.65,-0.103,0.196,-11.019,21.104
1969,107342.46,0.059,0.196,6.382,21.085
1970,107267.32,0.041,0.196,4.37,21.069
1971,107192.23,-0.169,0.196,-18.14,21.072
1972,107117.2,0.092,0.196,9.898,21.044
1973,107042.22,0.049,0.196,5.226,21.025
1974,106967.29,-0.013,0.196,-1.368,21.009
1975,106892.41,0.131,0.196,13.976,21.005
1976,106817.59,0.171,0.196,18.222,20.999
1977,106742.81,-0.141,0.196,-15.052,20.978
1978,106668.09,0.008,0.196,0.836,20.95
1979,106593.43,0.044,0.196,4.669,20.936
1980,106518.81,0.041,0.208,4.32,22.124
1981,106444.25,-0.082,0.208,-8.683,22.112
1982,106369.74,0.034,0.208,3.667,22.093
1983,106295.28,0.017,0.196,1.773,20.877
1984,106220.87,0.099,0.196,10.559,20.869
1985,106146.52,0.011,0.196,1.191,20.847
1986,106072.21,0.138,0.196,14.604,20.845
1987,105997.96,-0.137,0.196,-14.557,20.831
1988,105923.76,-0.109,0.196,-11.595,20.812
1989,105849.62,0.073,0.196,7.738,20.793
1990,105775.52,-0.202,0.196,-21.386,20.802
1991,105701.48,-0.078,0.196,-8.239,20.764
1992,105627.49,-0.026,0.196,-2.751,20.746
1993,105553.55,-0.314,0.196,-33.145,20.797
1994,105479.66,-0.086,0.196,-9.049,20.721
1995,105405.83,-0.14,0.196,-14.806,20.715
1996,105332.04,0.069,0.196,7.297,20.691
1997,105258.31,0.041,0.196,4.336,20.674
1998,105184.63,-0.216,0.196,-22.687,20.689
1999,105111.0,-0.297,0.196,-31.236,20.703
2000,105037.42,-0.372,0.196,-39.084,20.722
2001,104963.9,-0.2,0.196,-20.98,20.642
2002,104890.42,0.091,0.196,9.558,20.606
2003,104817.0,-0.122,0.196,-12.774,20.596
2004,104743.63,0.196,0.196,20.532,20.597
2005,104670.31,-0.317,0.196,-33.21,20.624
2006,104597.04,-0.093,0.196,-9.718,20.549
2007,104523.82,-0.559,0.196,-58.405,20.735
2008,104450.65,-0.652,0.196,-68.146,20.795
2009,104377.54,-0.483,0.196,-50.394,20.654
2010,104304.47,-0.345,0.196,-35.938,20.564
2011,104231.46,-0.934,0.196,-97.34,21.042
2012,104158.5,-0.851,0.196,-88.607,20.931
2013,104085.59,0.101,0.196,10.564,20.449
2014,104012.73,-0.153,0.196,-15.935,20.444
2015,103939.92,-0.63,0.196,-65.432,20.674
2016,103867.16,-0.456,0.196,-47.382,20.537
2017,103794.45,0.086,0.196,8.898,20.39
2018,103721.8,0.16,0.196,16.603,20.388
2019,103649.19,-0.605,0.196,-62.706,20.597
2020,103576.64,-0.588,0.196,-60.873,20.569
2021,103504.13,0.023,0.196,2.344,20.329
2022,103431.68,-0.494,0.196,-51.132,20.474
2023,103359.28,-0.597,0.196,-61.745,20.533
2024,103286.93,-0.238,0.196,-24.566,20.323
2025,103214.63,-0.057,0.196,-5.89,20.274
