year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1960,42218.12,-0.707,0.278,-29.864,11.851
1961,42184.34,-0.326,0.252,-13.746,10.644
1962,42150.59,-0.823,0.252,-34.696,10.754
1963,42116.87,-0.24,0.247,-10.127,10.401
1964,42083.18,0.074,0.247,3.108,10.382
1965,42049.51,-0.12,0.247,-5.028,10.375
1966,42015.87,-0.276,0.247,-11.587,10.38
1967,41982.26,-0.137,0.247,-5.759,10.36
1968,41948.68,-0.31,0.247,-12.995,10.368
1969,41915.12,-0.206,0.247,-8.62,10.348
1970,41881.58,-0.215,0.247,-8.986,10.341
1971,41848.08,-0.409,0.247,-17.131,10.358
1972,41814.6,-0.183,0.247,-7.636,10.321
1973,41781.15,-0.252,0.247,-10.513,10.32
1974,41747.72,-0.271,0.247,-11.325,10.313
1975,41714.33,-0.152,0.247,-6.331,10.295
1976,41680.95,-0.075,0.247,-3.127,10.283
1977,41647.61,-0.339,0.247,-14.104,10.297
1978,41614.29,-0.214,0.247,-8.902,10.275
1979,41581.0,-0.186,0.247,-7.749,10.264
1980,41547.74,-0.209,0.25,-8.666,10.389
1981,41514.5,-0.324,0.25,-13.45,10.394
1982,41481.29,-0.248,0.25,-10.286,10.376
1983,41448.1,-0.196,0.247,-8.139,10.232
1984,41414.94,-0.145,0.247,-6.011,10.22
1985,41381.81,-0.243,0.247,-10.072,10.22
1986,41348.71,-0.053,0.247,-2.194,10.2
1987,41315.63,-0.293,0.247,-12.108,10.209
1988,41282.57,-0.417,0.247,-17.211,10.219
1989,41249.55,-0.218,0.247,-8.974,10.185
1990,41216.55,-0.415,0.247,-17.113,10.203
1991,41183.57,-0.29,0.247,-11.961,10.176
1992,41150.63,-0.25,0.247,-10.298,10.164
1993,41117.71,-0.538,0.247,-22.121,10.203
1994,41084.81,-0.293,0.247,-12.052,10.152
1995,41051.95,-0.392,0.247,-16.089,10.158
1996,41019.1,-0.208,0.247,-8.525,10.127
1997,40986.29,-0.19,0.247,-7.773,10.118
1998,40953.5,-0.511,0.247,-20.937,10.156
1999,40920.74,-0.523,0.247,-21.415,10.151
2000,40888.0,-0.625,0.247,-25.545,10.166
2001,40855.29,-0.49,0.247,-20.029,10.127
2002,40822.61,-0.155,0.247,-6.334,10.075
2003,40789.95,-0.331,0.247,-13.488,10.084
2004,40757.32,-0.034,0.247,-1.374,10.054
2005,40724.71,-0.503,0.247,-20.503,10.098
2006,40692.13,-0.369,0.247,-15.029,10.066
2007,40659.58,-0.796,0.247,-32.349,10.159
2008,40627.05,-0.883,0.247,-35.891,10.181
2009,40594.55,-0.692,0.247,-28.09,10.111
2010,40562.07,-0.651,0.247,-26.399,10.092
2011,40529.62,-1.157,0.247,-46.873,10.268
2012,40497.2,-1.089,0.247,-44.102,10.23
2013,40464.8,-0.161,0.247,-6.532,9.987
2014,40432.43,-0.38,0.247,-15.383,10.003
2015,40400.08,-0.867,0.247,-35.037,10.118
2016,40367.76,-0.727,0.247,-29.352,10.065
2017,40335.47,-0.182,0.247,-7.351,9.956
2018,40303.2,-0.068,0.247,-2.724,9.943
2019,40270.96,-0.777,0.247,-31.293,10.056
2020,40238.74,-0.845,0.247,-34.003,10.07
2021,40206.55,-0.187,0.247,-7.52,9.925
2022,40174.38,-0.784,0.247,-31.513,10.034
2023,40142.24,-0.879,0.247,-35.28,10.058
2024,40110.13,-0.492,0.247,-19.749,9.943
2025,40078.04,-0.31,0.247,-12.422,9.906
