year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1946,113543.88,-0.318,0.544,-36.067,61.844
1947,113543.88,0.082,0.544,9.355,61.819
1948,113543.88,0.242,0.544,27.529,61.833
1949,113543.88,0.653,0.544,74.09,61.928
1950,113543.88,-0.457,0.544,-51.934,61.872
1951,113543.88,-0.617,0.544,-70.094,61.917
1952,113543.88,-0.118,0.544,-13.342,61.821
1953,112998.87,-0.389,0.691,-43.967,78.06
1954,112456.48,0.053,0.734,5.959,82.533
1955,111916.69,0.86,0.691,96.206,77.432
1956,111379.49,-0.183,0.691,-20.429,76.918
1957,110844.86,-0.045,0.691,-4.968,76.542
1958,110312.81,-1.028,0.691,-113.374,76.385
1959,109783.31,0.001,0.691,0.154,75.809
1960,109256.35,-0.382,0.691,-41.749,75.474
1961,108731.92,-0.234,0.691,-25.399,75.094
1962,108210.0,-0.054,0.691,-5.798,74.723
1963,107690.6,-0.117,0.691,-12.548,74.367
1964,107173.68,1.098,0.691,117.671,74.24
1965,106659.25,0.173,0.681,18.465,72.593
1966,106147.28,-0.443,0.575,-46.997,61.112
1967,105637.78,-0.461,0.575,-48.742,60.822
1968,105130.71,-0.312,0.575,-32.782,60.504
1969,104626.09,-0.089,0.575,-9.316,60.193
1970,104123.88,0.301,0.575,31.379,59.923
1971,103624.09,-0.019,0.575,-1.926,59.615
1972,103126.69,-0.482,0.575,-49.737,59.381
1973,102631.68,0.072,0.575,7.349,59.045
1974,102139.05,-0.669,0.575,-68.302,58.86
1975,101648.78,-0.096,0.575,-9.799,58.479
1976,101160.87,-0.017,0.575,-1.716,58.197
1977,100675.3,0.444,0.575,44.695,57.96
1978,100192.06,0.008,0.575,0.821,57.639
1979,99711.13,-0.778,0.575,-77.578,57.494
1980,99232.52,0.536,0.575,53.144,57.149
1981,98756.2,0.558,0.575,55.062,56.881
1982,98282.17,-0.419,0.575,-41.158,56.578
1983,97810.42,-0.533,0.575,-52.117,56.329
1984,97340.93,-0.274,0.575,-26.665,56.025
1985,96873.69,0.008,0.575,0.8,55.74
1986,96408.7,-0.197,0.575,-18.984,55.481
1987,95945.94,-0.082,0.575,-7.888,55.208
1988,95485.4,0.201,0.575,19.189,54.95
1989,95027.07,-1.091,0.575,-103.684,54.923
1990,94570.94,-1.291,0.575,-122.091,54.756
1991,94117.0,-0.455,0.575,-42.811,54.196
1992,93665.24,-0.678,0.575,-63.463,53.987
1993,93215.64,-1.077,0.575,-100.429,53.87
1994,92768.21,-0.651,0.575,-60.385,53.463
1995,92322.92,-0.941,0.575,-86.886,53.299
1996,91879.77,-0.94,0.575,-86.388,53.043
1997,91438.75,-1.566,0.575,-143.181,53.098
1998,90999.84,-0.59,0.575,-53.722,52.429
1999,90563.04,-0.535,0.575,-48.466,52.165
2000,90128.34,0.167,0.575,15.07,51.864
2001,89695.72,-0.466,0.575,-41.812,51.652
2002,89265.18,-0.623,0.575,-55.652,51.437
2003,88836.71,-0.815,0.575,-72.415,51.244
2004,88410.29,-1.99,0.575,-175.959,51.625
2005,87985.93,-1.319,0.575,-116.029,50.931
2006,87563.59,-0.535,0.575,-46.812,50.411
2007,87143.29,-0.445,0.575,-38.743,50.152
2008,86725.0,0.731,0.575,63.438,49.975
2009,86308.72,-1.043,0.575,-90.025,49.838
2010,85894.44,-0.592,0.575,-50.855,49.462
2011,85482.14,-0.864,0.575,-73.824,49.298
2012,85071.83,0.511,0.575,43.451,48.972
2013,84663.49,-1.423,0.575,-120.443,49.06
2014,84257.1,-1.083,0.576,-91.223,48.735
2015,83852.67,-1.437,0.575,-120.5,48.597
2016,83450.17,-1.028,0.575,-85.816,48.182
2017,83049.61,-1.276,0.575,-106.01,48.054
2018,82650.98,-1.414,0.575,-116.902,47.889
2019,82254.25,-1.982,0.575,-163.003,48.0
2020,81859.43,-0.933,0.575,-76.35,47.231
2021,81466.5,-0.939,0.575,-76.46,47.006
2022,81075.47,-1.071,0.575,-86.833,46.827
2023,80686.3,-1.588,0.575,-128.106,46.842
2024,80299.01,-0.939,0.575,-75.434,46.333
2025,79913.57,-0.711,0.575,-56.799,46.045
