year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1976,136508.26,0.142,0.528,19.442,72.032
1977,136139.69,0.07,0.528,9.59,71.832
1978,135772.11,0.351,0.528,47.63,71.676
1979,135405.53,0.444,0.528,60.072,71.506
1980,135039.93,0.374,0.528,50.445,71.295
1981,134675.33,0.385,0.528,51.84,71.105
1982,134311.7,-0.142,0.528,-19.04,70.873
1983,133949.06,1.018,0.528,136.312,71.003
1984,133587.4,0.082,0.528,10.929,70.486
1985,133226.71,0.381,0.528,50.774,70.339
1986,132867.0,-0.005,0.528,-0.711,70.104
1987,132508.26,0.497,0.528,65.816,69.992
1988,132150.49,0.752,0.528,99.433,69.903
1989,131793.68,0.078,0.528,10.28,69.539
1990,131437.84,0.07,0.528,9.259,69.351
1991,131082.96,0.154,0.528,20.16,69.17
1992,130729.03,0.646,0.528,84.494,69.105
1993,130376.06,0.262,0.528,34.13,68.811
1994,130024.05,-0.036,0.528,-4.636,68.604
1995,129672.98,0.137,0.528,17.733,68.424
1996,129322.87,0.093,0.528,12.047,68.237
1997,128973.69,-0.163,0.528,-20.968,68.058
1998,128625.46,0.771,0.528,99.216,68.047
1999,128278.18,-0.494,0.528,-63.383,67.757
2000,127931.83,-0.479,0.177,-61.258,22.878
2001,127586.41,0.031,0.177,3.976,22.611
2002,127241.93,-0.336,0.228,-42.814,29.099
2003,126898.37,-0.291,0.228,-36.932,29.0
2004,126555.75,-0.066,0.228,-8.297,28.866
2005,126214.05,-0.074,0.228,-9.333,28.789
2006,125873.27,-0.554,0.228,-69.745,28.919
2007,125533.41,-0.309,0.228,-38.762,28.696
2008,125194.47,-0.175,0.228,-21.912,28.574
2009,124856.45,-0.334,0.228,-41.739,28.552
2010,124519.33,0.42,0.228,52.268,28.519
2011,124183.13,0.18,0.228,22.367,28.344
2012,123847.84,0.012,0.228,1.515,28.246
2013,123513.45,0.172,0.228,21.21,28.189
2014,123179.96,0.315,0.228,38.776,28.16
2015,122847.38,0.314,0.228,38.594,28.084
2016,122515.69,-0.1,0.228,-12.198,27.948
2017,122184.89,-0.332,0.228,-40.545,27.94
2018,121855.0,-0.257,0.228,-31.275,27.835
2019,121525.99,0.137,0.228,16.679,27.729
2020,121197.87,-0.729,0.228,-88.303,27.992
2021,120870.63,-0.388,0.228,-46.943,27.666
2022,120544.28,-0.153,0.228,-18.501,27.508
2023,120218.81,-0.632,0.228,-75.946,27.68
2024,119894.22,-0.175,0.228,-20.991,27.364
2025,119570.51,-0.351,0.228,-41.939,27.351
