year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1957,53756.4,0.215,0.259,11.533,13.922
1958,53659.64,0.695,0.259,37.268,14.009
1959,53563.05,0.226,0.319,12.102,17.115
1960,53466.64,0.263,0.319,14.065,17.088
1961,53370.4,0.095,0.319,5.092,17.044
1962,53274.33,-0.037,0.319,-1.974,17.012
1963,53178.44,0.747,0.319,39.719,17.097
1964,53082.72,0.679,0.319,36.02,17.046
1965,52987.17,0.572,0.319,30.314,16.988
1966,52891.79,0.258,0.319,13.671,16.904
1967,52796.59,0.492,0.319,25.986,16.909
1968,52701.55,-0.259,0.294,-13.648,15.531
1969,52606.69,0.518,0.289,27.23,15.288
1970,52512.0,0.139,0.289,7.299,15.204
1971,52417.48,-0.021,0.284,-1.125,14.876
1972,52323.13,0.444,0.289,23.246,15.189
1973,52228.94,-0.342,0.289,-17.855,15.144
1974,52134.93,-0.114,0.289,-5.957,15.093
1975,52041.09,-0.171,0.289,-8.891,15.07
1976,51947.42,-0.229,0.289,-11.884,15.048
1977,51853.91,-0.391,0.289,-20.262,15.043
1978,51760.57,-0.553,0.289,-28.602,15.05
1979,51667.4,-0.114,0.289,-5.886,14.958
1980,51574.4,-0.378,0.289,-19.482,14.96
1981,51481.57,0.119,0.289,6.141,14.904
1982,51388.9,-0.153,0.289,-7.859,14.88
1983,51296.4,0.007,0.289,0.38,14.848
1984,51204.07,-0.453,0.284,-23.181,14.578
1985,51111.9,-0.371,0.289,-18.967,14.825
1986,51019.9,-0.396,0.289,-20.222,14.802
1987,50928.06,0.169,0.277,8.591,14.108
1988,50836.39,-0.138,0.277,-6.998,14.08
1989,50744.89,0.035,0.284,1.778,14.402
1990,50653.55,-0.168,0.284,-8.505,14.382
1991,50562.37,-0.345,0.284,-17.436,14.376
1992,50471.36,0.227,0.289,11.475,14.62
1993,50380.51,0.439,0.289,22.109,14.624
1994,50289.83,-0.246,0.289,-12.369,14.569
1995,50199.3,-0.288,0.294,-14.45,14.797
1996,50108.94,-0.003,0.294,-0.127,14.753
1997,50018.75,-1.108,0.294,-55.396,14.984
1998,49928.71,-0.056,0.294,-2.805,14.7
1999,49838.84,-0.227,0.294,-11.306,14.642
2000,49749.13,0.186,0.319,9.247,15.893
2001,49659.58,-0.284,0.319,-14.116,15.873
2002,49570.2,-0.148,0.319,-7.347,15.833
2003,49480.97,-0.193,0.293,-9.545,14.528
2004,49391.91,-0.341,0.293,-16.856,14.519
2005,49303.0,0.088,0.293,4.363,14.47
2006,49214.25,-0.586,0.284,-28.824,14.062
2007,49125.67,-0.219,0.276,-10.774,13.582
2008,49037.24,-0.5,0.274,-24.51,13.477
2009,48948.98,0.108,0.274,5.283,13.399
2010,48860.87,-0.012,0.273,-0.583,13.356
2011,48772.92,0.212,0.262,10.353,12.805
2012,48685.13,-0.352,0.254,-17.134,12.412
2013,48597.49,-0.034,0.254,-1.629,12.36
2014,48510.02,-0.275,0.254,-13.355,12.356
2015,48422.7,-0.187,0.254,-9.032,12.324
2016,48335.54,0.026,0.254,1.279,12.294
2017,48248.54,-0.245,0.254,-11.804,12.286
2018,48161.69,-0.256,0.254,-12.327,12.265
2019,48075.0,-0.235,0.256,-11.298,12.299
2020,47988.46,0.085,0.259,4.089,12.415
2021,47902.08,-0.332,0.259,-15.898,12.417
2022,47815.86,-0.847,0.257,-40.519,12.442
2023,47729.79,-0.544,0.257,-25.962,12.323
2024,47643.88,-1.064,0.256,-50.693,12.437
2025,47558.12,-0.973,0.258,-46.285,12.5
