year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1957,17873.37,-0.086,0.317,-1.536,5.667
1958,17873.37,0.394,0.317,7.043,5.677
1959,17873.37,-0.048,0.395,-0.857,7.069
1960,17873.37,-0.037,0.395,-0.67,7.069
1961,17873.37,-0.177,0.395,-3.172,7.07
1962,17873.37,-0.31,0.395,-5.542,7.074
1963,17789.37,0.441,0.395,7.848,7.046
1964,17705.76,0.359,0.395,6.353,7.009
1965,17622.54,0.293,0.395,5.169,6.974
1966,17539.71,-0.057,0.395,-1.008,6.937
1967,17457.28,0.182,0.395,3.182,6.906
1968,17375.23,-0.539,0.378,-9.359,6.59
1969,17293.56,0.221,0.375,3.827,6.484
1970,17212.29,-0.166,0.375,-2.851,6.453
1971,17131.39,-0.279,0.372,-4.783,6.379
1972,17050.87,0.162,0.375,2.762,6.392
1973,16970.73,-0.641,0.375,-10.872,6.384
1974,16890.97,-0.381,0.375,-6.443,6.339
1975,16811.58,-0.405,0.375,-6.812,6.31
1976,16732.57,-0.476,0.375,-7.958,6.284
1977,16653.92,-0.611,0.375,-10.177,6.263
1978,16575.65,-0.78,0.375,-12.926,6.246
1979,16497.74,-0.379,0.375,-6.252,6.191
1980,16420.2,-0.643,0.375,-10.566,6.177
1981,16343.03,-0.21,0.375,-3.429,6.128
1982,16266.22,-0.411,0.375,-6.685,6.106
1983,16189.77,-0.251,0.375,-4.069,6.071
1984,16113.67,-0.68,0.372,-10.95,6.021
1985,16037.94,-0.659,0.375,-10.571,6.034
1986,15962.56,-0.687,0.375,-10.967,6.008
1987,15887.54,-0.158,0.349,-2.504,5.546
1988,15812.87,-0.43,0.349,-6.796,5.529
1989,15738.55,-0.226,0.372,-3.556,5.859
1990,15664.57,-0.416,0.372,-6.521,5.838
1991,15590.95,-0.643,0.372,-10.025,5.823
1992,15517.67,-0.056,0.375,-0.868,5.816
1993,15444.74,0.128,0.375,1.978,5.789
1994,15372.15,-0.526,0.375,-8.093,5.776
1995,15299.9,-0.553,0.378,-8.456,5.804
1996,15227.99,-0.267,0.378,-4.064,5.765
1997,15156.42,-1.358,0.378,-20.578,5.826
1998,15085.19,-0.381,0.378,-5.746,5.715
1999,15014.28,-0.641,0.326,-9.619,4.918
2000,14943.72,-0.126,0.395,-1.881,5.911
2001,14873.48,-0.596,0.395,-8.862,5.899
2002,14803.58,-0.471,0.395,-6.971,5.865
2003,14734.0,-0.717,0.355,-10.567,5.251
2004,14664.75,-0.81,0.355,-11.879,5.234
2005,14595.83,-0.187,0.355,-2.724,5.178
2006,14527.23,-0.829,0.327,-12.038,4.783
2007,14458.95,-0.219,0.287,-3.168,4.155
2008,14390.99,-0.452,0.263,-6.499,3.796
2009,14323.35,-0.548,0.263,-7.847,3.785
2010,14256.03,-0.34,0.258,-4.844,3.682
2011,14189.03,0.209,0.256,2.972,3.636
2012,14122.34,-0.714,0.242,-10.078,3.45
2013,14055.97,-0.087,0.242,-1.221,3.398
2014,13989.9,-0.504,0.242,-7.054,3.4
2015,13924.15,-0.395,0.242,-5.5,3.377
2016,13858.71,-0.35,0.242,-4.857,3.358
2017,13793.57,-0.534,0.242,-7.36,3.354
2018,13728.74,-0.869,0.242,-11.924,3.371
2019,13664.22,-0.622,0.247,-8.5,3.402
2020,13599.99,-0.41,0.25,-5.577,3.413
2021,13536.07,-0.308,0.25,-4.171,3.392
2022,13472.46,-1.191,0.255,-16.045,3.528
2023,13409.13,-0.774,0.255,-10.38,3.459
2024,13346.11,-1.297,0.247,-17.309,3.409
2025,13283.38,-0.807,0.274,-10.717,3.673
