year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1946,3148.11,0.051,0.381,0.161,1.199
1947,3134.57,0.451,0.381,1.414,1.196
1948,3121.09,0.611,0.381,1.908,1.192
1949,3107.67,1.021,0.381,3.174,1.194
1950,3094.31,-0.089,0.381,-0.275,1.179
1951,3081.0,-0.249,0.381,-0.766,1.174
1952,3067.75,0.251,0.381,0.771,1.169
1953,3054.56,0.204,0.523,0.623,1.599
1954,3041.43,0.434,0.523,1.319,1.593
1955,3028.35,1.603,0.523,4.856,1.603
1956,3015.33,0.174,0.523,0.525,1.578
1957,3002.36,0.081,0.425,0.245,1.276
1958,2989.45,0.187,0.425,0.559,1.271
1959,2976.6,-0.126,0.399,-0.375,1.188
1960,2963.8,-0.159,0.399,-0.472,1.183
1961,2951.05,-0.15,0.399,-0.444,1.178
1962,2938.36,-0.174,0.399,-0.513,1.173
1963,2925.73,0.341,0.399,0.999,1.169
1964,2913.15,0.538,0.399,1.568,1.165
1965,2900.62,0.317,0.399,0.92,1.158
1966,2888.15,-0.247,0.392,-0.715,1.132
1967,2875.73,-0.085,0.392,-0.245,1.126
1968,2863.37,-0.487,0.391,-1.394,1.121
1969,2851.05,0.067,0.386,0.192,1.101
1970,2838.79,0.123,0.386,0.348,1.097
1971,2826.59,-0.126,0.386,-0.357,1.091
1972,2814.43,-0.152,0.386,-0.427,1.087
1973,2802.33,-0.362,0.386,-1.013,1.084
1974,2790.28,-0.554,0.386,-1.545,1.081
1975,2778.28,-0.222,0.386,-0.616,1.074
1976,2766.34,-0.365,0.386,-1.01,1.07
1977,2754.44,0.128,0.343,0.352,0.946
1978,2742.6,-0.339,0.343,-0.93,0.943
1979,2730.8,-0.517,0.343,-1.412,0.94
1980,2719.06,0.053,0.343,0.145,0.934
1981,2707.37,0.068,0.343,0.184,0.93
1982,2695.73,-0.409,0.343,-1.102,0.927
1983,2684.14,-0.142,0.343,-0.382,0.922
1984,2672.59,-0.213,0.343,-0.568,0.918
1985,2661.1,-0.109,0.343,-0.289,0.914
1986,2649.66,-0.225,0.343,-0.597,0.909
1987,2638.26,0.017,0.343,0.044,0.904
1988,2626.92,0.07,0.343,0.184,0.9
1989,2615.62,-0.379,0.343,-0.992,0.899
1990,2604.38,-0.525,0.343,-1.367,0.897
1991,2593.18,-0.511,0.343,-1.326,0.893
1992,2582.03,-0.239,0.343,-0.616,0.887
1993,2570.93,-0.176,0.343,-0.453,0.883
1994,2559.87,-0.441,0.343,-1.129,0.881
1995,2548.86,-0.445,0.344,-1.135,0.879
1996,2537.9,-0.47,0.344,-1.192,0.875
1997,2526.99,-0.977,0.344,-2.468,0.878
1998,2516.12,-0.605,0.344,-1.522,0.869
1999,2505.3,-0.443,0.348,-1.11,0.873
2000,2494.53,-0.081,0.348,-0.203,0.868
2001,2483.8,-0.377,0.348,-0.937,0.865
2002,2473.12,-0.498,0.348,-1.231,0.862
2003,2462.49,-0.317,0.348,-0.781,0.857
2004,2451.9,-0.846,0.348,-2.074,0.859
2005,2441.36,-0.438,0.348,-1.069,0.851
2006,2430.86,-0.405,0.348,-0.984,0.846
2007,2420.41,-0.332,0.348,-0.803,0.842
2008,2410.0,-0.32,0.346,-0.771,0.834
2009,2399.64,-0.124,0.346,-0.298,0.829
2010,2389.32,-0.325,0.346,-0.776,0.827
2011,2379.04,-0.694,0.34,-1.651,0.814
2012,2368.81,-0.492,0.34,-1.165,0.807
2013,2358.63,-0.929,0.38,-2.19,0.903
2014,2348.49,-0.731,0.379,-1.716,0.895
2015,2338.39,-0.774,0.38,-1.811,0.892
2016,2328.33,-0.591,0.386,-1.375,0.9
2017,2318.32,-0.945,0.385,-2.192,0.899
2018,2308.35,-0.861,0.385,-1.986,0.894
2019,2298.43,-0.879,0.343,-2.021,0.795
2020,2288.54,-0.66,0.343,-1.509,0.788
2021,2278.7,-0.654,0.343,-1.491,0.785
2022,2268.9,-0.897,0.343,-2.036,0.785
2023,2259.15,-0.975,0.343,-2.203,0.783
2024,2249.43,-1.003,0.343,-2.257,0.78
2025,2239.76,-0.848,0.343,-1.899,0.774
