year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1957,38498.53,0.287,0.33,11.033,12.704
1958,38498.53,0.767,0.33,29.51,12.777
1959,38498.53,0.278,0.417,10.697,16.077
1960,38498.53,0.335,0.417,12.901,16.081
1961,38498.53,0.147,0.417,5.644,16.071
1962,38498.53,0.014,0.417,0.547,16.068
1963,38359.94,0.823,0.417,31.564,16.088
1964,38221.84,0.765,0.417,29.241,16.02
1965,38084.24,0.628,0.417,23.904,15.94
1966,37947.14,0.342,0.417,12.979,15.851
1967,37810.53,0.571,0.417,21.595,15.818
1968,37674.41,-0.209,0.379,-7.883,14.281
1969,37538.78,0.592,0.373,22.222,14.03
1970,37403.64,0.184,0.373,6.878,13.94
1971,37268.99,-0.031,0.368,-1.153,13.711
1972,37134.82,0.491,0.373,18.23,13.866
1973,37001.14,-0.319,0.373,-11.818,13.799
1974,36867.93,-0.085,0.373,-3.133,13.737
1975,36735.21,-0.232,0.373,-8.529,13.694
1976,36602.96,-0.243,0.373,-8.895,13.645
1977,36471.19,-0.44,0.373,-16.033,13.612
1978,36339.89,-0.568,0.373,-20.65,13.579
1979,36209.07,-0.1,0.373,-3.638,13.492
1980,36078.72,-0.381,0.373,-13.751,13.46
1981,35948.83,0.207,0.373,7.442,13.399
1982,35819.42,-0.15,0.373,-5.389,13.348
1983,35690.47,0.023,0.373,0.804,13.298
1984,35561.98,-0.439,0.368,-15.623,13.106
1985,35433.96,-0.338,0.373,-11.965,13.216
1986,35306.4,-0.369,0.373,-13.012,13.171
1987,35179.29,0.215,0.333,7.55,11.709
1988,35052.65,-0.034,0.333,-1.182,11.661
1989,34926.46,0.06,0.368,2.089,12.85
1990,34800.72,-0.149,0.368,-5.185,12.806
1991,34675.44,-0.272,0.368,-9.445,12.766
1992,34550.61,0.294,0.373,10.15,12.883
1993,34426.23,0.496,0.373,17.089,12.855
1994,34302.29,-0.222,0.373,-7.608,12.786
1995,34178.8,-0.287,0.379,-9.822,12.96
1996,34055.76,0.012,0.379,0.415,12.904
1997,33933.16,-1.128,0.379,-38.289,13.0
1998,33811.0,0.053,0.379,1.775,12.812
1999,33689.28,-0.156,0.38,-5.255,12.797
2000,33568.0,0.265,0.417,8.911,14.017
2001,33447.16,-0.204,0.417,-6.821,13.964
2002,33326.75,-0.059,0.417,-1.981,13.91
2003,33206.77,-0.378,0.35,-12.55,11.647
2004,33087.22,-0.438,0.35,-14.494,11.611
2005,32968.11,0.208,0.35,6.863,11.552
2006,32849.43,-0.662,0.34,-21.753,11.236
2007,32731.17,-0.351,0.339,-11.499,11.096
2008,32613.34,-0.545,0.338,-17.773,11.05
2009,32495.93,0.235,0.338,7.644,10.981
2010,32378.94,0.193,0.338,6.238,10.935
2011,32262.38,0.257,0.329,8.278,10.628
2012,32146.23,-0.274,0.322,-8.806,10.37
2013,32030.51,-0.094,0.322,-3.01,10.324
2014,31915.2,-0.222,0.322,-7.085,10.292
2015,31800.3,-0.087,0.322,-2.771,10.25
2016,31685.82,-0.038,0.322,-1.2,10.212
2017,31571.75,-0.117,0.322,-3.681,10.177
2018,31458.09,-0.106,0.322,-3.336,10.14
2019,31344.84,0.026,0.324,0.811,10.168
2020,31232.0,0.19,0.346,5.935,10.808
2021,31119.57,-0.235,0.346,-7.315,10.772
2022,31007.54,-0.906,0.326,-28.087,10.19
2023,30895.91,-0.316,0.326,-9.763,10.068
2024,30784.69,-0.93,0.324,-28.63,10.088
2025,30673.86,-1.024,0.326,-31.41,10.122
