year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1953,1517.95,-0.579,0.334,-0.879,0.509
1954,1517.95,-0.422,0.334,-0.641,0.508
1955,1517.95,-0.206,0.334,-0.313,0.508
1956,1517.95,-0.293,0.334,-0.445,0.508
1957,1517.95,-0.319,0.334,-0.484,0.508
1958,1517.95,-0.705,0.334,-1.07,0.51
1959,1517.95,-0.677,0.334,-1.027,0.51
1960,1517.95,-0.282,0.334,-0.428,0.508
1961,1509.91,-0.279,0.334,-0.421,0.505
1962,1501.9,-0.617,0.334,-0.927,0.504
1963,1493.94,-0.588,0.334,-0.878,0.501
1964,1486.03,-0.809,0.334,-1.201,0.5
1965,1478.15,0.265,0.334,0.392,0.494
1966,1470.32,-0.029,0.334,-0.043,0.491
1967,1462.52,-0.207,0.334,-0.302,0.489
1968,1454.77,0.246,0.269,0.358,0.392
1969,1447.06,-0.944,0.269,-1.366,0.395
1970,1439.39,0.556,0.269,0.8,0.389
1971,1431.76,-0.084,0.269,-0.12,0.385
1972,1424.18,-0.994,0.269,-1.416,0.389
1973,1416.63,-0.134,0.269,-0.19,0.381
1974,1409.12,0.386,0.269,0.544,0.38
1975,1401.65,-0.764,0.269,-1.071,0.381
1976,1394.22,0.436,0.269,0.608,0.376
1977,1386.83,-0.224,0.269,-0.311,0.373
1978,1379.48,0.586,0.269,0.808,0.373
1979,1372.17,-0.164,0.269,-0.225,0.369
1980,1364.9,0.526,0.269,0.718,0.369
1981,1357.66,-0.764,0.269,-1.037,0.369
1982,1350.47,0.566,0.269,0.764,0.365
1983,1343.31,-0.824,0.269,-1.107,0.365
1984,1336.19,0.392,0.332,0.524,0.444
1985,1329.11,-0.131,0.332,-0.174,0.441
1986,1322.07,-0.439,0.332,-0.581,0.44
1987,1315.06,1.158,0.332,1.523,0.443
1988,1308.09,0.532,0.332,0.695,0.435
1989,1301.16,0.159,0.332,0.207,0.432
1990,1294.26,0.352,0.332,0.455,0.43
1991,1287.4,-0.061,0.332,-0.079,0.427
1992,1280.58,0.114,0.332,0.146,0.425
1993,1273.79,0.87,0.332,1.108,0.426
1994,1267.04,-0.533,0.332,-0.676,0.422
1995,1260.32,0.141,0.332,0.178,0.418
1996,1253.64,0.027,0.332,0.034,0.416
1997,1247.0,0.358,0.332,0.446,0.414
1998,1240.39,-1.105,0.332,-1.37,0.417
1999,1233.82,-0.553,0.332,-0.682,0.411
2000,1227.28,-0.981,0.332,-1.204,0.412
2001,1220.77,-0.555,0.332,-0.677,0.406
2002,1214.3,0.477,0.332,0.58,0.404
2003,1207.87,0.35,0.332,0.422,0.401
2004,1201.47,0.639,0.332,0.767,0.401
2005,1195.1,0.428,0.332,0.512,0.397
2006,1188.76,-0.614,0.332,-0.73,0.396
2007,1182.46,-1.269,0.332,-1.501,0.399
2008,1176.2,-0.291,0.332,-0.342,0.391
2009,1169.96,-0.169,0.332,-0.198,0.388
2010,1163.76,-1.078,0.332,-1.255,0.391
2011,1157.59,-0.78,0.332,-0.903,0.387
2012,1151.46,-1.192,0.332,-1.373,0.388
2013,1145.36,-0.31,0.332,-0.355,0.38
2014,1139.29,-1.15,0.332,-1.31,0.384
2015,1133.25,-0.918,0.332,-1.04,0.38
2016,1127.24,-0.779,0.332,-0.878,0.377
2017,1121.27,-0.878,0.332,-0.985,0.375
2018,1115.32,-0.296,0.332,-0.33,0.37
2019,1109.41,-0.598,0.332,-0.663,0.37
2020,1103.53,-1.272,0.332,-1.404,0.373
2021,1097.68,-0.195,0.332,-0.214,0.364
2022,1091.87,-0.719,0.332,-0.785,0.364
2023,1086.08,-0.36,0.332,-0.391,0.361
2024,1080.32,-0.859,0.332,-0.928,0.361
2025,1074.6,-0.53,0.332,-0.569,0.358
