year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1915,2874.27,0.896,0.451,2.575,1.302
1916,2874.27,1.045,0.451,3.003,1.305
1917,2874.27,-0.054,0.451,-0.154,1.296
1918,2874.27,0.688,0.451,1.978,1.3
1919,2874.27,0.38,0.557,1.093,1.603
1920,2874.27,0.09,0.557,0.259,1.602
1921,2874.27,-1.801,0.557,-5.178,1.623
1922,2874.27,0.22,0.557,0.633,1.602
1923,2874.27,0.287,0.557,0.824,1.602
1924,2874.27,0.649,0.557,1.865,1.604
1925,2874.27,0.245,0.557,0.704,1.602
1926,2874.27,0.421,0.557,1.21,1.603
1927,2874.27,0.344,0.557,0.989,1.603
1928,2874.27,-1.124,0.557,-3.232,1.61
1929,2874.27,-0.981,0.557,-2.821,1.608
1930,2874.27,-0.136,0.557,-0.392,1.602
1931,2874.27,0.566,0.557,1.628,1.604
1932,2874.27,-0.817,0.557,-2.348,1.606
1933,2874.27,0.371,0.557,1.067,1.603
1934,2874.27,-0.586,0.557,-1.683,1.604
1935,2874.27,0.257,0.557,0.738,1.602
1936,2874.27,0.197,0.557,0.566,1.602
1937,2874.27,0.427,0.557,1.227,1.603
1938,2874.27,0.015,0.557,0.045,1.602
1939,2874.27,-0.284,0.557,-0.817,1.602
1940,2874.27,0.987,0.557,2.837,1.608
1941,2874.27,0.832,0.557,2.392,1.606
1942,2874.27,-0.88,0.557,-2.53,1.607
1943,2874.27,-0.345,0.557,-0.991,1.603
1944,2874.27,-0.075,0.557,-0.214,1.602
1945,2874.27,0.233,0.557,0.67,1.602
1946,2874.27,0.19,0.557,0.547,1.602
1947,2874.27,-2.391,0.557,-6.871,1.638
1948,2874.27,0.983,0.557,2.824,1.608
1949,2874.27,-0.945,0.479,-2.716,1.382
1950,2874.27,-0.969,0.479,-2.784,1.383
1951,2874.27,0.474,0.479,1.363,1.377
1952,2874.27,-0.543,0.503,-1.561,1.449
1953,2874.27,0.039,0.458,0.113,1.316
1954,2874.27,0.303,0.458,0.869,1.317
1955,2874.27,1.119,0.475,3.217,1.374
1956,2874.27,0.16,0.412,0.459,1.186
1957,2874.27,0.22,0.396,0.634,1.14
