year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1960,101511.02,-0.499,0.299,-50.656,30.465
1961,101511.02,-0.085,0.282,-8.632,28.668
1962,101511.02,-0.654,0.282,-66.389,28.856
1963,101511.02,-0.039,0.277,-3.992,28.146
1964,101511.02,0.324,0.277,32.842,28.193
1965,101511.02,0.101,0.277,10.289,28.15
1966,101511.02,-0.041,0.277,-4.206,28.146
1967,101511.02,0.094,0.277,9.526,28.149
1968,101511.02,-0.084,0.277,-8.511,28.148
1969,101511.02,0.048,0.277,4.883,28.146
1970,101511.02,0.006,0.277,0.594,28.145
1971,101511.02,-0.21,0.277,-21.281,28.165
1972,101511.02,0.04,0.277,4.027,28.146
1973,101511.02,-0.005,0.277,-0.46,28.145
1974,101511.02,-0.042,0.277,-4.214,28.146
1975,101511.02,0.098,0.277,9.978,28.149
1976,101511.02,0.142,0.277,14.407,28.154
1977,101511.02,-0.135,0.277,-13.706,28.153
1978,101511.02,-0.003,0.277,-0.309,28.145
1979,101511.02,0.03,0.277,3.081,28.145
1980,101511.02,0.023,0.282,2.356,28.664
1981,101511.02,-0.099,0.282,-10.008,28.669
1982,101511.02,-0.002,0.282,-0.16,28.664
1983,101511.02,0.0,0.277,0.015,28.145
1984,101511.02,0.095,0.277,9.625,28.149
1985,101511.02,-0.008,0.277,-0.765,28.145
1986,100678.63,0.155,0.277,15.595,27.925
1987,99853.06,-0.112,0.277,-11.211,27.691
1988,99034.27,-0.177,0.277,-17.516,27.472
1989,98222.19,0.034,0.277,3.386,27.234
1990,97416.76,-0.205,0.277,-19.991,27.028
1991,96617.95,-0.061,0.277,-5.866,26.79
1992,95825.68,-0.048,0.277,-4.579,26.57
1993,95039.91,-0.36,0.277,-34.218,26.406
1994,94260.58,-0.089,0.277,-8.427,26.138
1995,93487.65,-0.164,0.277,-15.358,25.932
1996,92721.05,0.338,0.251,31.383,23.337
1997,91960.73,0.17,0.251,15.65,23.106
1998,91206.66,-0.304,0.251,-27.734,22.946
1999,90458.76,-0.188,0.251,-16.963,22.732
2000,89717.0,-0.267,0.251,-23.976,22.562
2001,88981.32,-0.19,0.251,-16.897,22.361
2002,88251.67,0.161,0.251,14.213,22.173
2003,87528.01,0.352,0.251,30.833,22.034
2004,86810.28,0.018,0.251,1.533,21.8
2005,86098.44,-0.587,0.251,-50.566,21.768
2006,85392.43,0.01,0.251,0.849,21.444
2007,84692.21,-0.676,0.251,-57.257,21.46
2008,83997.73,-0.427,0.233,-35.897,19.649
2009,83308.95,-0.457,0.233,-38.111,19.5
2010,82625.82,-0.818,0.233,-67.599,19.542
2011,81948.29,-1.18,0.233,-96.668,19.692
2012,81276.31,-0.705,0.233,-57.266,19.148
2013,80609.85,-0.432,0.224,-34.817,18.176
2014,79948.85,-0.083,0.224,-6.599,17.948
2015,79293.27,-0.128,0.224,-10.164,17.805
2016,78643.06,-0.755,0.224,-59.395,17.9
2017,77998.19,-0.07,0.224,-5.474,17.509
2018,77358.6,0.417,0.224,32.293,17.438
2019,76724.26,-0.936,0.224,-71.811,17.591
2020,76095.12,-0.615,0.224,-46.827,17.239
2021,75471.14,-0.501,0.224,-37.794,17.045
2022,74852.28,-0.545,0.224,-40.769,16.924
2023,74238.49,-0.941,0.224,-69.829,17.025
2024,73629.74,-0.461,0.224,-33.94,16.613
2025,73025.97,-0.401,0.224,-29.306,16.456
