year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1949,13245.53,0.193,0.803,2.554,10.641
1950,13197.84,-0.163,0.803,-2.156,10.594
1951,13150.33,-0.345,0.803,-4.537,10.567
1952,13102.99,0.273,0.803,3.576,10.528
1953,13055.82,-0.57,0.803,-7.446,10.495
1954,13008.82,-0.512,0.803,-6.662,10.456
1955,12961.98,-0.309,0.803,-3.999,10.415
1956,12915.32,-0.076,0.803,-0.98,10.375
1957,12868.83,0.084,0.803,1.083,10.338
1958,12822.5,-0.01,0.803,-0.132,10.301
1959,12776.34,-0.883,0.803,-11.276,10.279
1960,12730.34,-0.744,0.803,-9.477,10.238
1961,12684.51,-0.33,0.803,-4.186,10.192
1962,12638.85,0.571,0.766,7.223,9.682
1963,12593.35,-0.88,0.481,-11.082,6.077
1964,12548.01,-0.046,0.481,-0.583,6.03
1965,12502.84,0.053,0.481,0.666,6.008
1966,12457.83,-0.711,0.481,-8.859,6.003
1967,12412.98,0.36,0.481,4.466,5.969
1968,12368.3,0.029,0.481,0.359,5.944
1969,12323.77,-1.27,0.481,-15.657,5.974
1970,12279.4,-0.677,0.481,-8.314,5.916
1971,12235.2,0.07,0.481,0.852,5.88
1972,12191.15,-0.301,0.481,-3.671,5.861
1973,12147.26,0.241,0.481,2.925,5.839
1974,12103.53,0.032,0.481,0.383,5.816
1975,12059.96,-0.115,0.481,-1.39,5.796
1976,12016.54,-0.03,0.481,-0.356,5.775
1977,11973.28,-0.594,0.481,-7.108,5.765
1978,11930.18,-0.474,0.481,-5.655,5.74
1979,11887.23,-0.162,0.481,-1.926,5.713
1980,11844.44,-0.91,0.481,-10.774,5.717
1981,11801.8,-0.05,0.481,-0.588,5.672
1982,11759.31,-0.47,0.481,-5.526,5.658
1983,11716.98,0.349,0.481,4.093,5.634
1984,11674.8,-0.115,0.481,-1.345,5.611
1985,11632.77,-0.454,0.481,-5.279,5.596
1986,11590.89,0.455,0.326,5.273,3.793
1987,11549.16,0.333,0.481,3.851,5.553
1988,11507.59,-0.797,0.363,-9.174,4.207
1989,11466.16,0.786,0.471,9.01,5.419
1990,11424.88,-0.598,0.456,-6.837,5.222
1991,11383.75,-1.284,0.371,-14.622,4.287
1992,11342.77,0.634,0.278,7.195,3.169
1993,11301.94,0.514,0.247,5.815,2.812
1994,11261.25,-0.118,0.247,-1.324,2.788
1995,11220.71,-0.777,0.238,-8.724,2.701
1996,11180.31,-0.936,0.252,-10.466,2.869
1997,11140.06,-1.045,0.235,-11.645,2.677
1998,11099.96,-1.204,0.226,-13.363,2.592
1999,11060.0,-0.766,0.258,-8.473,2.886
2000,11020.18,-1.227,0.258,-13.523,2.923
2001,10980.51,-0.759,0.258,-8.339,2.864
2002,10940.98,-0.757,0.258,-8.285,2.854
2003,10901.59,-1.107,0.258,-12.069,2.877
2004,10862.35,-1.28,0.258,-13.901,2.888
2005,10823.24,-1.521,0.226,-16.463,2.577
2006,10784.28,-1.041,0.226,-11.222,2.497
2007,10745.46,-0.795,0.226,-8.543,2.462
2008,10706.77,-0.982,0.225,-10.518,2.469
2009,10668.23,-0.457,0.225,-4.874,2.416
2010,10629.82,-2.563,0.225,-27.24,2.755
2011,10591.56,-0.468,0.225,-4.954,2.399
2012,10553.43,-0.973,0.225,-10.272,2.432
2013,10515.43,-0.607,0.225,-6.382,2.388
2014,10477.58,-0.823,0.225,-8.628,2.398
2015,10439.86,0.66,0.225,6.892,2.375
2016,10402.28,-0.987,0.225,-10.263,2.397
2017,10364.83,-0.385,0.225,-3.986,2.342
2018,10327.51,-0.154,0.225,-1.59,2.326
2019,10290.33,-1.239,0.225,-12.749,2.402
2020,10253.29,-0.524,0.225,-5.368,2.323
2021,10216.38,-1.324,0.225,-13.528,2.397
2022,10179.6,-0.267,0.225,-2.715,2.295
2023,10142.95,-1.144,0.225,-11.606,2.356
2024,10106.44,-0.656,0.225,-6.628,2.299
2025,10070.05,-1.553,0.225,-15.636,2.398
