year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1976,1162.0,-0.291,0.853,-0.338,0.991
1977,1162.0,-0.493,0.853,-0.573,0.991
1978,1162.0,0.293,0.853,0.341,0.991
1979,1153.98,0.553,0.853,0.639,0.985
1980,1146.02,0.357,0.853,0.409,0.977
1981,1138.11,0.389,0.853,0.442,0.971
1982,1130.26,-1.088,0.853,-1.229,0.966
1983,1122.46,2.162,0.853,2.427,0.965
1984,1114.72,-0.461,0.853,-0.514,0.951
1985,1107.02,0.378,0.853,0.419,0.944
1986,1099.39,-0.705,0.853,-0.775,0.938
1987,1091.8,0.702,0.853,0.767,0.932
1988,1084.27,1.419,0.853,1.539,0.928
1989,1076.78,-0.472,0.853,-0.508,0.919
1990,1069.36,-0.493,0.853,-0.527,0.912
1991,1061.98,-0.259,0.853,-0.275,0.906
1992,1054.65,1.122,0.853,1.183,0.901
1993,1047.37,0.044,0.853,0.046,0.893
1994,1040.14,-0.79,0.853,-0.822,0.888
1995,1032.97,-0.307,0.853,-0.317,0.881
1996,1025.84,-0.429,0.853,-0.44,0.875
1997,1018.76,-1.146,0.853,-1.167,0.871
1998,1011.73,1.472,0.853,1.489,0.866
1999,1004.75,-2.075,0.853,-2.085,0.863
2000,997.82,-0.201,0.853,-0.2,0.851
2001,990.93,0.228,0.588,0.226,0.582
2002,984.1,-1.239,0.588,-1.219,0.581
2003,977.31,-0.759,0.588,-0.742,0.575
2004,970.56,-1.875,0.588,-1.82,0.578
2005,963.87,0.767,0.486,0.74,0.47
2006,957.22,0.303,0.486,0.29,0.465
2007,950.61,0.42,0.486,0.399,0.462
2008,944.05,-1.546,0.486,-1.459,0.464
2009,937.54,-0.751,0.486,-0.704,0.457
2010,931.07,-0.034,0.486,-0.032,0.452
2011,924.64,-1.87,0.412,-1.729,0.39
2012,918.26,-0.631,0.412,-0.58,0.379
2013,911.93,0.264,0.412,0.241,0.376
2014,905.64,0.146,0.412,0.132,0.373
2015,899.39,0.215,0.412,0.194,0.37
2016,893.18,-1.158,0.412,-1.035,0.371
2017,887.02,0.207,0.412,0.183,0.365
2018,880.9,-2.019,0.412,-1.779,0.373
2019,874.82,-1.643,0.412,-1.437,0.367
2020,868.78,-1.223,0.412,-1.063,0.362
2021,862.79,-0.513,0.412,-0.442,0.356
2022,856.84,-1.188,0.412,-1.018,0.356
2023,850.92,-1.115,0.412,-0.949,0.353
2024,845.05,-1.267,0.412,-1.07,0.352
2025,839.22,-0.833,0.412,-0.699,0.347
