year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1946,53655.41,-0.436,0.381,-23.388,20.457
1947,53655.41,-1.064,0.381,-57.068,20.622
1948,53655.41,-0.319,0.381,-17.105,20.441
1949,53655.41,0.093,0.381,5.013,20.425
1950,53655.41,-0.534,0.381,-28.667,20.474
1951,53655.41,-0.544,0.381,-29.169,20.475
1952,53655.41,-0.164,0.381,-8.811,20.428
1953,53612.49,-0.427,0.381,-22.867,20.439
1954,53569.6,-0.619,0.381,-33.138,20.458
1955,53526.74,-0.352,0.381,-18.819,20.396
1956,53483.92,-0.323,0.381,-17.301,20.377
1957,53441.13,-0.342,0.381,-18.288,20.362
1958,53398.38,-0.361,0.381,-19.274,20.348
1959,53355.66,-0.544,0.381,-29.006,20.361
1960,53312.98,-0.937,0.381,-49.961,20.446
1961,53270.33,-0.553,0.381,-29.459,20.33
1962,53227.71,0.018,0.381,0.984,20.261
1963,53185.13,-0.277,0.381,-14.713,20.258
1964,53142.58,0.018,0.381,0.982,20.228
1965,53100.06,0.051,0.381,2.722,20.213
1966,53057.58,-0.441,0.381,-23.376,20.23
1967,53015.14,-0.161,0.273,-8.517,14.478
1968,52972.73,0.37,0.381,19.612,20.187
1969,52930.35,-0.45,0.381,-23.803,20.183
1970,52888.0,-0.1,0.381,-5.288,20.133
1971,52845.69,-0.085,0.381,-4.471,20.116
1972,52803.42,0.17,0.381,8.992,20.104
1973,52761.17,0.385,0.381,20.323,20.109
1974,52718.97,-0.47,0.381,-24.774,20.105
1975,52676.79,0.175,0.381,9.236,20.056
1976,52634.65,0.035,0.381,1.859,20.035
1977,52592.54,0.36,0.381,18.945,20.041
1978,52550.47,-0.085,0.381,-4.453,20.004
1979,52508.43,-0.25,0.381,-13.119,19.998
1980,52466.42,-0.013,0.352,-0.682,18.462
1981,52424.45,-0.07,0.381,-3.654,19.956
1982,52382.51,0.425,0.381,22.272,19.97
1983,52340.6,0.215,0.381,11.27,19.931
1984,52298.73,-0.27,0.381,-14.113,19.92
1985,52256.89,-0.08,0.381,-4.169,19.892
1986,52215.08,0.17,0.381,8.895,19.88
1987,52173.31,0.587,0.373,30.622,19.495
1988,52131.57,-0.081,0.373,-4.247,19.42
1989,52089.87,-0.028,0.349,-1.438,18.199
1990,52048.2,-0.342,0.349,-17.788,18.206
1991,52006.56,0.363,0.349,18.904,18.195
1992,51964.95,0.087,0.349,4.506,18.157
1993,51923.38,-0.53,0.349,-27.524,18.193
1994,51881.84,0.32,0.348,16.603,18.087
1995,51840.34,-0.182,0.349,-9.424,18.08
1996,51798.86,-0.519,0.349,-26.906,18.11
1997,51757.43,0.043,0.349,2.213,18.046
1998,51716.02,-0.394,0.349,-20.399,18.06
1999,51674.65,-0.03,0.348,-1.531,17.962
2000,51633.31,0.13,0.348,6.719,17.951
2001,51592.0,-0.398,0.348,-20.541,17.963
2002,51550.73,-0.052,0.347,-2.658,17.913
2003,51509.49,-0.362,0.348,-18.67,17.934
2004,51468.28,-0.486,0.348,-24.998,17.939
2005,51427.1,-0.207,0.348,-10.621,17.889
2006,51385.96,-0.039,0.341,-1.999,17.544
2007,51344.85,-0.04,0.342,-2.04,17.542
2008,51303.78,0.219,0.342,11.254,17.536
2009,51262.73,-0.302,0.341,-15.474,17.497
2010,51221.72,0.129,0.341,6.593,17.469
2011,51180.75,-0.501,0.341,-25.664,17.476
2012,51139.8,0.143,0.341,7.316,17.419
2013,51098.89,-0.553,0.34,-28.261,17.45
2014,51058.01,0.193,0.34,9.831,17.386
2015,51017.16,-0.307,0.34,-15.672,17.382
2016,50976.35,-0.696,0.34,-35.486,17.441
2017,50935.57,-0.26,0.34,-13.225,17.35
2018,50894.82,-0.419,0.34,-21.32,17.356
2019,50854.11,-0.296,0.341,-15.045,17.378
2020,50813.42,-1.18,0.348,-59.966,17.928
2021,50772.77,-0.346,0.341,-17.576,17.356
2022,50732.15,-1.092,0.347,-55.383,17.805
2023,50691.57,-0.527,0.367,-26.726,18.664
2024,50651.01,-1.5,0.367,-75.994,18.986
2025,50610.49,-1.097,0.369,-55.513,18.891
