year,area_km2,mwe,mwe_sigma,gt,gt_sigma
1976,26577.7,-0.612,0.667,-16.267,17.744
1977,26529.86,-0.697,0.667,-18.498,17.717
1978,26482.11,-0.365,0.667,-9.675,17.668
1979,26434.44,-0.255,0.667,-6.752,17.633
1980,26386.86,-0.338,0.667,-8.929,17.603
1981,26339.36,-0.325,0.667,-8.558,17.571
1982,26291.95,-0.948,0.667,-24.934,17.579
1983,26244.62,0.424,0.667,11.131,17.512
1984,26197.38,-0.684,0.667,-17.91,17.494
1985,26150.23,-0.329,0.667,-8.612,17.445
1986,26103.16,-0.787,0.667,-20.537,17.439
1987,26056.17,-0.192,0.667,-5.014,17.379
1988,26009.27,0.11,0.667,2.869,17.346
1989,25962.45,-0.688,0.667,-17.862,17.338
1990,25915.72,-0.697,0.667,-18.06,17.307
1991,25869.07,-0.598,0.667,-15.473,17.27
1992,25822.51,-0.015,0.667,-0.388,17.221
1993,25776.03,-0.47,0.667,-12.118,17.201
1994,25729.63,-0.822,0.667,-21.152,17.192
1995,25683.32,-0.618,0.667,-15.867,17.147
1996,25637.09,-0.677,0.667,-17.344,17.12
1997,25590.94,-0.981,0.667,-25.103,17.113
1998,25544.88,0.125,0.667,3.196,17.037
1999,25498.9,-1.37,0.667,-34.933,17.095
2000,25453.0,-0.57,0.667,-14.498,16.99
2001,25407.18,0.194,0.31,4.938,7.874
2002,25361.45,-1.27,0.31,-32.205,8.019
2003,25315.8,-0.789,0.31,-19.969,7.905
2004,25270.23,-1.904,0.31,-48.122,8.189
2005,25224.75,-1.577,0.31,-39.78,8.063
2006,25179.34,-1.099,0.31,-27.669,7.921
2007,25134.02,-0.487,0.31,-12.234,7.809
2008,25088.78,-0.642,0.31,-16.099,7.813
2009,25043.62,-0.705,0.31,-17.646,7.807
2010,24998.54,0.39,0.31,9.76,7.759
2011,24953.54,-0.905,0.31,-22.572,7.811
2012,24908.63,-0.906,0.31,-22.555,7.798
2013,24863.79,-0.436,0.31,-10.828,7.721
2014,24819.04,-0.019,0.31,-0.484,7.688
2015,24774.36,-0.742,0.31,-18.395,7.729
2016,24729.77,-0.53,0.31,-13.119,7.688
2017,24685.25,-1.292,0.31,-31.881,7.811
2018,24640.82,-0.811,0.31,-19.974,7.698
2019,24596.47,-1.078,0.31,-26.508,7.733
2020,24552.19,-1.277,0.31,-31.357,7.765
2021,24508.0,-1.719,0.31,-42.129,7.878
2022,24463.88,-1.067,0.31,-26.093,7.689
2023,24419.85,-1.337,0.31,-32.652,7.738
2024,24375.89,-1.079,0.31,-26.291,7.664
2025,24332.02,-1.327,0.31,-32.285,7.708
